fase,grupo,candidata,n,r2_oof
Fusión,F,lanza,1793,0.9147
Fusión,F,o2,1794,0.5504
Fusión,F,enriq,1793,0.4457
Fusión,F,aire,1794,0.4914
Fusión,F,esteq,1793,0.0757
Fusión,F,caudal,1794,0.4714
Fusión,F,ppunta,1496,0.3338
Fusión,F,gn,1793,0.4901
Fusión,F,carbon,1794,0.72
Reducción,R,lanza,1194,0.3852
Reducción,R,o2,1196,0.8518
Reducción,R,enriq,1193,0.762
Reducción,R,aire,1196,-0.0373
Reducción,R,esteq,1193,-0.0497
Reducción,R,caudal,1196,0.4033
Reducción,R,ppunta,995,0.0378
Reducción,R,gn,1194,0.7262
Reducción,R,carbon,1196,0.9354
