Batch,fecha_batch,es_lockbox,rendimiento_proxy_batch,recuperacion_refinada_pct,sn_perdido_escoria_frac,recuperacion_real_pct,f_metal,f_dross,f_polvo,sn_metal_t,sn_dross_t,sn_polvo_t,feed_sn_total_t,ley_sn_conc_batch_pct,espesor_ladrillo_norm_mm,frac_carga_secundaria_F,feed_dross_Fe_total_t,T_media_F,T_media_R,R_sum_ln_sn_dep,R_sum_ln_feo_ret,R_n_validos,R_lnirf_twmean,R_lnirf_fin,F_lnirf_F0,F_lnirf_fin,F_sum_d_lnirf,F_sum_ln_sn_dep,F_sn_ext_kg,R_sdi_w10,idx_cronologico,recuperacion_refinada_pct_next,rendimiento_proxy_batch_next,recuperacion_real_pct_next,f_metal_next,f_dross_next,f_polvo_next,es_dev,R_sum_m6_ln_sn_dep,R_sum_m6_ln_feo_ret,F_sum_m6_ln_sn_dep,F_m6_sn_ext_kg,R_m6_masa_fin_kg,F_m6_masa_fin_kg,m6_k_anclaje,xG,xC,xG_gate,xG_late,xG_early,xG_late_gate,xC_late,xC_early,x_F_lanza,x_F_lanza_sq,x_F_o2,x_F_enriq,x_F_aire,x_F_esteq,x_F_caudal,x_F_ppunta,x_F_gn,x_F_carbon,x_R_lanza,x_R_lanza_sq,x_R_o2,x_R_enriq,x_R_aire,x_R_esteq,x_R_caudal,x_R_ppunta,x_R_gn,x_R_carbon
AP0001,2026-04-21 18:36:00,False,79.91765201995008,78.4385053607697,0.0185083848410752,67.62373749669,0.7991765201995008,0.0826369498433567,0.1181865299571424,33.74924000000001,3.48976,4.99101946,49.90738644348362,41.43282990669513,299.99971591319826,7.04913158954446e-05,0.008429022004681,1199.8433943567873,1231.134406421505,2.850706802139038,-0.1813975716583637,3,-1.5472863863410442,-1.5970443685546996,-1.5734949060900594,-1.489614631692871,0.0838802743971887,3.110668291458006,35394.40476075241,1.0367310855554006,1,72.14314023686171,73.05531072136027,67.26438959007012,0.7305531072136027,0.1293550997175824,0.1400917930688147,True,2.940393431109619,-0.2710523445015639,3.1139880445535373,35337.32356130793,52440.884088777406,72015.19277198386,1.1613370786487964,0.5769375686215016,-0.1093777211253538,0.5769375686215016,0.0585809521339262,0.5183566164875754,0.0585809521339262,-0.3470077868563254,0.2376300657309715,-1.6491152160619278,3.496372738340144,-2.705130984467813,-2.3378487611253838,0.609265812761517,-0.6945145996819097,-0.47575739640149584,,-2.193124503058845,-0.356025026665016,-1.5333140982083222,2.8562859962654747,0.28198402526894256,-0.08544808327641665,0.2062464286524133,-0.013567879215570105,0.46613411665398374,,0.5769375686215016,-0.10937772112535382
AP0002,2026-04-22 03:22:00,False,73.05531072136027,72.14314023686171,0.0124860256631811,67.26438959007012,0.7305531072136027,0.1293550997175824,0.1400917930688147,33.28864000000001,5.89424,6.383471948,49.48924713785589,41.43282990669513,299.99971591319826,3.2638419299333144e-05,0.0025644468226412,1309.4844819802286,1247.441652737465,2.833607282562219,-0.2384494891150629,4,-1.5732195909454847,-1.69516455207652,-1.6093021803505698,-1.408330942243071,0.2009712381074988,3.5658077327191355,34637.23283007919,0.4491123914115902,2,78.14326293566891,79.15175258246624,74.59717483983012,0.7915175258246625,0.0771214076027889,0.1313610665725484,True,2.9674403341626387,-0.370926121222175,3.840514651600993,35570.3534553853,50746.26391095861,68421.04607129241,1.0556276204278354,0.278882782340757,0.0263956513437312,0.278882782340757,0.2932926429517818,-0.0144098606110248,0.2932926429517818,-0.0231955270273835,0.0495911783711147,-0.9498556753659821,3.152619971005306,-0.8101754962470252,-0.6058261399817232,0.8082960629713486,-0.029639479610313078,0.31285089776426883,,0.08323275704053333,0.7139506627181852,0.6707529367725742,1.2690899738473869,-0.05218130755289188,0.10473203456596221,0.09666659637447465,-0.11459304895069801,0.01704919562263696,,0.278882782340757,0.02639565134373123
AP0003,2026-04-22 12:29:00,False,79.15175258246624,78.14326293566891,0.0127412168889959,74.59717483983012,0.7915175258246625,0.0771214076027889,0.1313610665725484,37.35171999999999,3.63936,6.198930052000001,50.07122599508495,41.432829906695126,299.99971591319826,3.2441315410357124e-05,0.0342140713633759,1267.0349252921192,1203.6354705983013,2.657359490607936,-0.1460572442131192,3,-1.5401396039748891,-1.6030755391266625,-1.4493206154299658,-1.4611931179159046,-0.0118725024859387,3.402298897426001,36675.62675843797,1.1967870484767429,3,71.85093529025706,72.52505027310832,71.4049721091537,0.7252505027310832,0.1228491993288523,0.1519002979400646,True,2.7690859583649843,-0.257090931050881,3.8171139312218063,37392.07403151761,53533.03978616287,68477.95237458248,1.036015316336036,-0.0491557420808898,0.5534762257302234,-0.0491557420808898,0.044857284003777,-0.0940130260846668,0.044857284003777,0.3129510661318622,0.2405251595983611,0.024612313937027785,1.312271921476333,-0.77062998775473,-0.44113244975645155,-0.1542848825864823,-0.22961459314323288,-0.26936722186377454,,-0.7959592411108457,0.40453648924319247,-0.14645018429823248,0.7849566857223175,-0.19930343811812087,-0.14415993618071749,-0.025610523269718202,-0.17990420921948092,-0.05794768219460471,,-0.049155742080889825,0.5534762257302234
AP0004,2026-04-22 21:08:00,False,72.52505027310832,71.85093529025706,0.0092949261022603,71.4049721091537,0.7252505027310832,0.1228491993288523,0.1519002979400646,35.99344,6.09688,7.538656284,50.40747014784682,41.43282990669514,299.99971591319826,2.62387222673284e-05,0.0022026860074982,1216.3569351554345,1205.694708808298,2.945621052079481,-0.0519318654925059,3,-1.596563380693758,-1.638809351842882,-1.5776844930381178,-1.554759468697971,0.0229250243401464,3.5841583262111114,35637.51147736219,2.426302397154421,4,70.15845553393244,71.60074551166002,66.48723551500777,0.7160074551166002,0.1224018118245637,0.1615907330588361,True,3.1530424589801718,-0.2591533644768641,3.8019588662777353,35762.55737853958,54347.138596246856,72134.26265976684,0.9473263864770098,0.3874995732961402,0.2742678943324934,0.3874995732961402,0.1662844238240113,0.2212151494721289,0.1662844238240113,-0.2414003188037312,0.5156682131362247,-0.35343680051977205,0.5002051259735556,-0.080885242265093,-0.39926911075275706,-0.3341184325724629,-0.05584661263112422,-0.23622887090379616,,0.021733003141205076,-0.7424443315506623,0.4006987106616751,0.4999930147660012,0.08015807296279076,-0.2259013883392234,0.7408365054678275,-0.2624253967942002,0.6917317262166252,,0.38749957329614027,0.27426789433249343
AP0005,2026-04-23 05:45:00,False,71.60074551166002,70.15845553393244,0.0201435050350516,66.48723551500777,0.7160074551166002,0.1224018118245637,0.1615907330588361,32.39488,5.537920000000001,7.310974724,48.723457591627046,41.43282990669513,299.99971591319826,0.0146762352216508,3.483878779855645e-21,1249.450937337607,1219.4803675128892,2.320192763332149,-0.1692197330454091,4,-1.6442400685490146,-1.7097967852945868,-1.8887566844052188,-1.5181204470699574,0.3706362373352614,3.9521832917785504,36333.88911343657,0.6279954328780579,5,72.57614671931469,73.67015516465584,66.61048864864912,0.7367015516465584,0.0874773512938275,0.175821097059614,True,2.463100194277727,-0.3126722276465599,3.6240110509439214,35538.91571284314,51391.09282909882,68065.75005507193,1.041762509953873,-1.7769064017465053,0.8605617256984408,-1.7769064017465053,0.1734502421841249,-1.9503566439306304,0.1734502421841249,3.1685843752380998,-2.3080226495396583,-1.015050255939098,2.0514014062550197,-0.8935360001643907,-0.36302665223496505,0.6322025706574753,-0.17314616605345567,-0.14177738823783811,,-0.1412279605883093,-0.06680841573537939,1.507364848286921,8.407857654802783,-1.5974959426393105,2.1614188233272724,-2.848970171294471,-0.545090303550772,-2.787542202672851,,-1.7769064017465053,0.8605617256984408
AP0006,2026-04-23 14:40:00,False,73.67015516465584,72.57614671931469,0.0148500901470345,66.61048864864912,0.7367015516465584,0.0874773512938275,0.175821097059614,33.169079999999994,3.93856,7.916128344,49.79558125591482,41.43282990669514,299.99971591319826,1.1348174603105027e-05,0.001049526786986,1230.02669141176,1198.7012417257256,2.764540583742776,-0.2117096842316631,2,-1.696172570352754,-1.720698168461121,-1.8715456745287355,-1.570176625371279,0.3013690491574563,3.672419569827229,35572.540311007186,0.6474437414261449,6,71.86118676988926,74.14683229482415,70.55223508172128,0.7414683229482415,0.0883803117158167,0.1701513653359418,True,2.815628549805538,-0.2621250955429805,3.5923088055385524,35859.34787817267,53083.82596589348,68591.80595502298,1.049512939721359,0.847403829988423,0.8584712936391325,0.847403829988423,0.3017614636858776,0.5456423663025453,0.3017614636858776,0.1270770148797683,0.7313942787593644,-0.3118260956842602,0.6740905915587608,0.3824072096224982,0.1909433360252808,-0.1963721163240586,-0.4810181631661556,-0.029196831279756114,,0.6470462344015838,-0.23781069043143196,-0.604410278070222,1.3277791074423013,0.5378009001232759,-0.35844306927921454,1.2493069133652401,-0.1522728296751417,1.3113048567807168,,0.847403829988423,0.8584712936391325
AP0007,2026-04-23 22:38:00,False,74.14683229482415,71.86118676988926,0.0308259362429222,70.55223508172128,0.7414683229482415,0.0883803117158167,0.1701513653359418,34.60576,4.12488,7.941293148,49.04984223379435,41.43282990669513,299.99971591319826,8.27745483211954e-05,0.007755194640619,1210.4768121249883,1169.5966858347035,2.035303375189242,-0.0948237576225441,2,-1.6527056228367671,-1.7028841890154442,-1.9609912931883613,-1.5973932599415246,0.3635980332468369,2.7703458592125987,33180.70017165049,1.0870657989638006,7,58.92715260043539,59.56529046993668,56.91757241104301,0.5956529046993667,0.2168194767028861,0.187527618597747,True,3.137894694034078,-0.2703577046798261,2.884434264763929,33378.66350303942,51672.18918666498,71046.12098433194,1.0121738742713513,-3.4821120652823527,-1.0424614001109884,-3.4821120652823527,0.0,-1.7410560326411764,0.0,-1.613758441185428,0.5712970410744396,-0.03428556274789838,0.38080615022180253,-0.7726514493313026,-0.7535408166754746,-0.018788630645165116,1.3948403308150512,-0.7606935946987868,,-1.4811935658794815,-0.1494870557141071,0.8867556989124152,4.030600709847388,-1.5626613657827106,-0.6914258185228108,-5.300546930644713,6.500030310346564,-5.3917637316478135,,-3.4821120652823527,-1.0424614001109884
AP0008,2026-04-24 07:23:00,False,59.56529046993668,58.92715260043539,0.0107132503588372,56.91757241104301,0.5956529046993667,0.2168194767028861,0.187527618597747,25.98176,9.457439999999998,8.179759624,45.648046639036,41.80029722790323,299.99971591319826,,0.0017468299636686,1195.196995634653,1186.4665460467224,2.8606786363376897,-0.2488373365261176,4,-1.6089459538730055,-1.641756096644619,-1.9092585142239649,-1.5064724965437493,0.4027860176802156,3.147698354206999,31142.5883897659,0.3723052710765135,8,76.67768621035799,77.74576970038642,65.78759067589957,0.7774576970038642,0.0746537175936125,0.1478885854025233,True,2.8756856975056766,-0.2636292348127999,3.4047572133693795,36471.34828846079,48003.96475852213,62947.83057325328,0.9126366995524212,-0.3148087283895329,0.7784624336262878,-0.3148087283895329,-0.3314296979685918,0.0166209695790588,-0.3314296979685918,0.5004621401290904,0.2780002934971972,-0.38988108531510784,2.7247545025921576,-0.1909804608545661,-0.7010050800762254,0.05415003687304393,0.06499557761683876,0.18240164257701333,,0.11502484770241073,-0.1515843055230791,0.0887642518154627,0.20328442339072383,-0.5015195822722331,-0.5698984769337573,0.08987472079270124,-0.0508255229852736,-0.25290087223281604,,-0.31480872838953294,0.7784624336262878
AP0009,2026-04-24 15:46:00,False,77.74576970038642,76.67768621035799,0.0137381557111669,65.78759067589957,0.7774576970038642,0.0746537175936125,0.1478885854025233,32.688880000000005,3.13888,6.218103236000001,49.68851977121447,42.415478561836736,299.99971591319826,0.5889689319920993,26.167411716411905,1245.9461460727225,1167.6481847391808,,,0,-1.559220688312816,-1.629611307609766,-1.5298585583692614,-1.4916702734230023,0.0381882849462591,,44651.28295804007,,9,68.16148386572002,68.50557650116588,68.30094269633042,0.6850557650116589,0.1225493909273428,0.1923948440609982,True,3.1319925470260817,-0.2379191422681396,4.228799814048518,37257.259858968224,45387.44648040485,57605.15908461922,1.378041577737627,-0.0228387222988518,-0.1903741845998299,-0.0228387222988518,-0.3192873778823463,0.2964486555834945,-0.3192873778823463,-0.0759291109844384,-0.1144450736153914,1.124186326383487,2.8704883775958536,0.013587396248180561,0.019666685637740475,1.5720621241997037,0.14156361326682051,1.16345338481111,,0.22264118986787604,0.3393478925315046,0.9922153585839095,1.0911531096957021,0.2644633088744147,-0.10224323966036103,0.6705160835910898,-0.16954948676130577,0.8484851174393994,,-0.02283872229885181,-0.19037418459982997
AP0010,2026-04-24 23:48:00,False,68.50557650116588,68.16148386572002,0.0050228412491355,68.30094269633042,0.6850557650116589,0.1225493909273428,0.1923948440609982,32.743759999999995,5.857520000000001,9.195938376,47.94042176779384,42.415478561836736,299.99971591319826,0.599878308490001,25.135725653255392,1227.4300561958028,1175.2480777040623,,,0,-1.7199513557420485,-1.9361161950481245,-1.8345726841990535,-1.7603666429602447,0.074206041238809,,46622.37939042586,,10,64.46025013766302,65.4900480917299,62.5415150064371,0.654900480917299,0.1697223205743878,0.1753771985083131,True,3.965633828326795,-0.3367177604349931,5.605489500481607,35822.44968473084,40988.5077799746,58100.96821197733,1.136441531399195,0.3031523360344177,0.3932520289202449,0.3031523360344177,-0.0081368373452589,0.3112891733796767,-0.0081368373452589,0.5912418806254867,-0.1979898517052417,-1.2123345045993827,3.264468334338005,0.3361438367221155,1.4412298263601324,-1.2521849068264619,0.15808997676993305,-0.4370919192463674,,0.6090994011287255,0.5035076250316902,-0.3517316288502661,0.37657307011884256,-0.24672621777034048,-0.7100561014787627,0.5902767949114545,-0.019172669366057056,0.3992865682906801,,0.30315233603441777,0.3932520289202449
