n,pendiente,se,t,p_uni,spearman,sd_score,controles,k_extra,muestra,se_bG,se_bC,R2_controles_ventana,p_perm
256,0.37840145154894045,0.23922649649292876,1.5817706529014253,0.05685096842984095,0.1446648260471504,1.303695934877866,v9 (5 controles),0,todo,0.7732785060674865,1.4174966581240296,0.077892913926779,0.026973026973026972
193,0.4148612360982725,0.2838321227069601,1.4616430027075977,0.0719195318984034,0.18087642219966882,1.1980381967134113,v9 (5 controles),0,DEV,0.7732785060674865,1.4174966581240296,0.077892913926779,
63,0.19412545593940642,0.48995115818910073,0.3962138933540026,0.34597362141495136,-0.02140937019969278,1.1782476461539308,v9 (5 controles),0,LB,0.7732785060674865,1.4174966581240296,0.077892913926779,
256,0.36613695533654705,0.23985417840807427,1.526498132184391,0.0634429276306305,0.12069838635843443,1.2844814814758903,+talon IRF F0,1,todo,0.7116567577504753,1.301749875206301,0.23980372320019555,0.03596403596403597
193,0.27686694887319985,0.34729452272539507,0.7972108131751846,0.21266430353657567,0.11222691095561134,0.9082354984250285,+talon IRF F0,1,DEV,0.7116567577504753,1.301749875206301,0.23980372320019555,
63,0.15994417122858298,0.3359144245401167,0.47614558811386076,0.31698533037609156,0.006048387096774193,1.4743828672236003,+talon IRF F0,1,LB,0.7116567577504753,1.301749875206301,0.23980372320019555,
256,0.3249426761427992,0.23099377694461573,1.406716148118177,0.07975578771398933,0.1148303387502861,1.3092092313907469,+KPI lag3,1,todo,0.7588062485458361,1.3937957496099773,0.12431464516316221,0.04595404595404595
193,0.36034064774493646,0.2741335815612385,1.3144710169864402,0.09434387265890498,0.16825690401153784,1.2198575765159523,+KPI lag3,1,DEV,0.7588062485458361,1.3937957496099773,0.12431464516316221,
63,0.3261787539817897,0.49629477574488423,0.6572278611884057,0.2555172067312427,-0.00048003072196620584,1.160987089325516,+KPI lag3,1,LB,0.7588062485458361,1.3937957496099773,0.12431464516316221,
256,0.3045503394340551,0.23210264318284582,1.3121364550516403,0.0947370488458098,0.0991302357518883,1.2927212969390236,+talon+lag3,2,todo,0.7056323063875424,1.290688283064013,0.2650924672522741,0.06293706293706294
193,0.21767461323817255,0.3318432584395062,0.6559561109114828,0.25592618184672,0.0896820415576091,0.9405524927946408,+talon+lag3,2,DEV,0.7056323063875424,1.290688283064013,0.2650924672522741,
63,0.1958193625647453,0.3433381520207022,0.5703396532318319,0.2842236755288573,-0.004368279569892473,1.4654530015960094,+talon+lag3,2,LB,0.7056323063875424,1.290688283064013,0.2650924672522741,
256,0.3433554841406308,0.2261131709165662,1.5185116494931026,0.06444273249699009,0.10534375715266651,1.336054760379168,+talon+lags1-3,4,todo,0.7132679347150777,1.302339094442523,0.2832646038571523,0.03796203796203796
193,0.28482474807781516,0.3285213802592239,0.8669899896715113,0.19297374726198435,0.1115141418727632,0.9480234899957454,+talon+lags1-3,4,DEV,0.7132679347150777,1.302339094442523,0.2832646038571523,
63,0.19157592579472169,0.3365322804876397,0.5692646349322734,0.28458828146954995,0.021985407066052228,1.5537924086069885,+talon+lags1-3,4,LB,0.7132679347150777,1.302339094442523,0.2832646038571523,
256,0.34638170618584757,0.23447789415845474,1.4772467461336496,0.06980475365746319,0.10140979056992447,1.2528248959213506,"+talon+lag3+estado R0 (Sn,FeO inv,T)",5,todo,0.7105866336079796,1.3269009025017469,0.3022908163946335,0.03896103896103896
193,0.3265027005594405,0.3148564308313607,1.0369891435830878,0.1498704583755715,0.12698807488916192,0.9986508805943528,"+talon+lag3+estado R0 (Sn,FeO inv,T)",5,DEV,0.7105866336079796,1.3269009025017469,0.3022908163946335,
63,0.24058870428399579,0.38942217865956114,0.6178094558253759,0.2683504747921138,0.02217741935483871,1.3135006441433288,"+talon+lag3+estado R0 (Sn,FeO inv,T)",5,LB,0.7105866336079796,1.3269009025017469,0.3022908163946335,
256,0.3607910046992423,0.24649650106902551,1.4636759675473499,0.07164125245609028,0.0923080224307622,1.1984858081055723,+talon+IRF fin F+T_F+lag3,4,todo,0.7077175513011114,1.3252392498400207,0.2870630833424005,0.04095904095904096
193,0.268117080655732,0.3299918070656506,0.8124961738895266,0.20825349056728693,0.09585325303135517,0.9496069247470693,+talon+IRF fin F+T_F+lag3,4,DEV,0.7077175513011114,1.3252392498400207,0.2870630833424005,
63,0.27750590210036824,0.4009125605977813,0.692185601984115,0.24441038969515205,0.008736559139784945,1.2486000378745667,+talon+IRF fin F+T_F+lag3,4,LB,0.7077175513011114,1.3252392498400207,0.2870630833424005,
256,0.4484912958992545,0.25225659111026416,1.7779170563008757,0.037708739236180185,0.11141064888990616,1.144352658083936,+todo,11,todo,0.7244538393633329,1.3731272368717966,0.3571870524608277,0.023976023976023976
193,0.4579887747327817,0.3341336545900261,1.3706753822649886,0.08523808612478168,0.14305626034934033,0.9357740531562476,+todo,11,DEV,0.7244538393633329,1.3731272368717966,0.3571870524608277,
63,0.23769931192515523,0.45510437351569916,0.5222962594029117,0.3007320366090115,0.052323348694316436,1.1705605260498133,+todo,11,LB,0.7244538393633329,1.3731272368717966,0.3571870524608277,
