N_batches,delta_sd,beta_pp_por_z,efecto_pp,potencia_KPI,potencia_dross
30,1.0,-0.75,0.75,0.1445,0.133
30,1.0,-1.1,1.1,0.1915,0.18
30,1.0,-1.5,1.5,0.2985,0.2585
30,1.5,-0.75,1.125,0.213,0.1635
30,1.5,-1.1,1.6500000000000001,0.3115,0.28
30,1.5,-1.5,2.25,0.4865,0.421
40,1.0,-0.75,0.75,0.148,0.147
40,1.0,-1.1,1.1,0.243,0.207
40,1.0,-1.5,1.5,0.35,0.2895
40,1.5,-0.75,1.125,0.2425,0.1905
40,1.5,-1.1,1.6500000000000001,0.3865,0.3265
40,1.5,-1.5,2.25,0.5655,0.5025
60,1.0,-0.75,0.75,0.1865,0.1665
60,1.0,-1.1,1.1,0.2905,0.2455
60,1.0,-1.5,1.5,0.464,0.38
60,1.5,-0.75,1.125,0.3125,0.245
60,1.5,-1.1,1.6500000000000001,0.5145,0.422
60,1.5,-1.5,2.25,0.7095,0.646
80,1.0,-0.75,0.75,0.2075,0.1865
80,1.0,-1.1,1.1,0.367,0.31
80,1.0,-1.5,1.5,0.527,0.4575
80,1.5,-0.75,1.125,0.364,0.2945
80,1.5,-1.1,1.6500000000000001,0.5915,0.514
80,1.5,-1.5,2.25,0.8065,0.732
100,1.0,-0.75,0.75,0.235,0.2175
100,1.0,-1.1,1.1,0.4,0.3485
100,1.0,-1.5,1.5,0.6015,0.5115
100,1.5,-0.75,1.125,0.393,0.357
100,1.5,-1.1,1.6500000000000001,0.6745,0.5985
100,1.5,-1.5,2.25,0.8995,0.821
150,1.0,-0.75,0.75,0.332,0.285
150,1.0,-1.1,1.1,0.5155,0.4515
150,1.0,-1.5,1.5,0.752,0.6675
150,1.5,-0.75,1.125,0.549,0.4625
150,1.5,-1.1,1.6500000000000001,0.831,0.743
150,1.5,-1.5,2.25,0.966,0.9135
200,1.0,-0.75,0.75,0.3835,0.3265
200,1.0,-1.1,1.1,0.6365,0.539
200,1.0,-1.5,1.5,0.84,0.7795
200,1.5,-0.75,1.125,0.642,0.561
200,1.5,-1.1,1.6500000000000001,0.9135,0.8375
200,1.5,-1.5,2.25,0.993,0.973
