N_batches,delta_sd,beta,potencia_KPI_pm,potencia_dross_pm
30,1.0,-0.75,0.282,0.2545
30,1.0,-1.1,0.4765,0.4415
30,1.0,-1.5,0.6445,0.5975
40,1.0,-0.75,0.331,0.2975
40,1.0,-1.1,0.5485,0.4935
40,1.0,-1.5,0.7835,0.7075
60,1.0,-0.75,0.443,0.378
60,1.0,-1.1,0.6995,0.62
60,1.0,-1.5,0.891,0.816
80,1.0,-0.75,0.5245,0.477
80,1.0,-1.1,0.7995,0.7125
80,1.0,-1.5,0.9625,0.92
100,1.0,-0.75,0.624,0.537
100,1.0,-1.1,0.8775,0.7935
100,1.0,-1.5,0.983,0.9555
120,1.0,-0.75,0.6765,0.5905
120,1.0,-1.1,0.924,0.8555
120,1.0,-1.5,0.9975,0.9745
