n,pendiente,se,t,p_uni,spearman,sd_score,metodo,muestra,p_perm
261,0.527789407681556,0.2270341886175623,2.3247133433749663,0.010043646654653139,0.15362814775818198,1.3343367130239272,ols,todo,0.003996003996003996
198,0.5935525012945254,0.26972876508485055,2.200553215404398,0.013883834361020963,0.1938341144269262,1.2389574368774636,ols,DEV,
63,0.3674470827116412,0.4717996950464996,0.7788200937167338,0.21804284970082183,0.022801459293394777,1.2368779674145125,ols,LB,
261,0.49126911736225765,0.22299516768277672,2.2030482654275083,0.013795673485890265,0.1413496129210791,1.3244740343615748,huber,todo,0.009966777408637873
198,0.5054099484699842,0.2520149238433939,2.005476266096265,0.022456077780905803,0.180033377161148,1.3240415070461806,huber,DEV,
63,0.469265573849985,0.5595161856300974,0.8386988364269088,0.20081916572909636,-0.03681835637480799,1.0378058761254019,huber,LB,
261,0.5653210253289361,0.2499796339226676,2.2614683302713408,0.011865135828130284,0.14088660308718218,1.2094972955227687,winsor,todo,0.00999000999000999
198,0.615471179347408,0.29417048444010757,2.0922261474288613,0.018209145270637783,0.18039976841599167,1.1397059446020121,winsor,DEV,
63,0.4586916784886136,0.534804018206576,0.8576818102952942,0.19553409338969718,-0.0012960829493087558,1.0911245490163615,winsor,LB,
261,0.47701152205739494,0.22563133319396414,2.1141191487236024,0.017252546040287167,0.13406564480531313,1.3426525288592566,rangos,todo,0.01098901098901099
198,0.5387745854207099,0.26833639959251204,2.007832654231321,0.02233053879183359,0.17359138408547892,1.2493081966871638,rangos,DEV,
63,0.30532527803053766,0.4731302607312822,0.6453302681562137,0.2593565908727322,-0.014352918586789554,1.2513949676294358,rangos,LB,
