n,pendiente,se,t,p_uni,spearman,sd_score,modo,W,muestra,p_perm
261,0.43415455235832157,0.201157792922927,2.1582785635586417,0.01545309017515299,0.13460222325713245,1.482358907837035,ols,60,todo,0.01998001998001998
198,0.572166879691307,0.23453882074926047,2.4395401915275943,0.007352983350615293,0.1781705017936939,1.421168842721575,ols,60,DEV,
63,-0.35610402969911237,0.4066910321259797,-0.8756131843812157,0.8093798222684174,-0.12298387096774194,1.3134961279728945,ols,60,LB,
261,0.48260973516437905,0.20921213135547048,2.306796130977611,0.01053309402358651,0.15932870323499437,1.4654881636661115,ols,80,todo,0.011988011988011988
198,0.5698004696777793,0.25087176236510256,2.2712818067125804,0.011564961933209881,0.17786440277065996,1.3303942508549742,ols,80,DEV,
63,0.15239017796568619,0.41550920010403913,0.36675524375279606,0.3569007974888817,0.008544546850998464,1.381245862063055,ols,80,LB,
261,0.527789407681556,0.2270341886175623,2.3247133433749663,0.010043646654653139,0.15362814775818198,1.3343367130239272,ols,100,todo,0.006496751624187906
198,0.5935525012945254,0.26972876508485055,2.200553215404398,0.013883834361020963,0.1938341144269262,1.2389574368774636,ols,100,DEV,
63,0.3674470827116412,0.4717996950464996,0.7788200937167338,0.21804284970082183,0.022801459293394777,1.2368779674145125,ols,100,LB,
241,0.5713330088411932,0.26667723391539966,2.142413885327917,0.016080095761571905,0.1558794280031549,1.179549596648723,ols,120,todo,0.014985014985014986
178,0.6885660054606286,0.30815626783984656,2.2344702260558487,0.012726074741050232,0.2068103016291656,1.139562984623355,ols,120,DEV,
63,0.1537642858839646,0.6081300242652707,0.25284771306882803,0.4001929478211853,0.015264976958525345,0.94565779896426,ols,120,LB,
211,0.42996408790288904,0.2898728234868008,1.4832852653483302,0.06899931773418534,0.13299140276695495,1.1444881622651313,ols,150,todo,0.06293706293706294
148,0.5896550124411069,0.33718754865854483,1.7487449189241113,0.040167560870770926,0.1828220495526344,1.1352141880264188,ols,150,DEV,
63,-0.37571930696445105,0.6221462924519033,-0.6039082954006304,0.7270476933369603,-0.06619623655913978,0.935329765107926,ols,150,LB,
261,0.55895004925556,0.39494811506664845,1.4152493148656649,0.07849770503384532,0.110466991988445,0.7351886444751641,ols,exp,todo,0.06893106893106893
198,1.0330736610479472,0.4656164709461323,2.218722329450121,0.01325281046820491,0.1729590886288078,0.7127045429977459,ols,exp,DEV,
63,-0.8070561467987724,0.7760196188431122,-1.0399945145741667,0.8508287754173931,-0.08669354838709678,0.7314298773869086,ols,exp,LB,
261,0.8646467736260798,0.33362618464449106,2.5916634047997142,0.00477565852198318,0.1723705968507232,0.8722982653756621,js,60,todo,0.002997002997002997
198,0.7859518535977361,0.3636337234356659,2.1613832902293693,0.015332871895910354,0.16467277164162605,0.9201469524243817,js,60,DEV,
63,0.6252731770679487,1.1512493162457742,0.543125774968506,0.2935216036185275,0.03811443932411674,0.5222390616926371,js,60,LB,
261,0.6461080330830139,0.28608914655334494,2.258415046033698,0.011959897775991933,0.1680003509695534,1.0511583161947067,js,80,todo,0.004995004995004995
198,0.7102336223129749,0.3351027987643731,2.1194499864872043,0.0170262281015569,0.18383642562914557,0.9991047054178167,js,80,DEV,
63,0.048420116507232415,0.6133541771640199,0.078943159287043,0.4685389170960848,0.005472350230414746,0.8992898080043623,js,80,LB,
261,0.7004456396081784,0.30193934220384266,2.3198223672862732,0.010175244286166505,0.16895471817819804,0.984049250461585,js,100,todo,0.005497251374312844
198,0.6820185218341571,0.3434349424811759,1.985873996707657,0.023523658362279317,0.19088134102291182,0.9719080831300083,js,100,DEV,
63,0.8837643835285066,0.7612323081443391,1.1609654163035523,0.12282798194951694,0.07291666666666667,0.7588862383060165,js,100,LB,
241,0.7746603683652618,0.3581301262866803,2.163069542340463,0.015267915642162592,0.1648040190665615,0.8624706893548544,js,120,todo,0.007992007992007992
178,0.8220315261485707,0.3931613173854631,2.0908250374556423,0.018271875416690512,0.19850754684662353,0.9010684103053346,js,120,DEV,
63,0.23354320015117064,1.117366948365411,0.20901208908391242,0.41721940065904517,0.02803379416282642,0.49130185548343797,js,120,LB,
211,0.4397196272045978,0.3720295439940025,1.1819481390749078,0.11861313963869213,0.11927798571811807,0.8707024481953337,js,150,todo,0.07892107892107893
148,0.6322649474011284,0.4146768928590887,1.524717094897251,0.06366483800163646,0.1684700725927955,0.9310981470979116,js,150,DEV,
63,-1.3150600902529568,0.9470653221750299,-1.388563237890276,0.9175171986829065,-0.20511712749615976,0.579901321387876,js,150,LB,
261,0.48390663611642865,0.48449323023248764,0.9987892625129612,0.15894839430901447,0.08672120193573207,0.5961315361291253,js,exp,todo,0.0959040959040959
198,1.0230957359437238,0.5674161728731411,1.8030782075936007,0.03568796654975959,0.15440144886870902,0.5829016837056519,js,exp,DEV,
63,-1.2088279690691157,0.9752813409695267,-1.2394659041332836,0.8924134959774799,-0.12552803379416283,0.5856202227394363,js,exp,LB,
