nula,W,n,pendiente,t,n_reps,p_perm
bloque10,60,261,0.8646467736260798,2.5916634047997142,500,0.007984031936127744
bloque10,80,261,0.6461080330830139,2.258415046033698,500,0.01996007984031936
bloque10,100,261,0.7004456396081784,2.3198223672862732,500,0.00998003992015968
bloque10,120,241,0.7746603683652618,2.163069542340463,500,0.017964071856287425
bloque10,150,211,0.4397196272045978,1.1819481390749078,500,0.11976047904191617
bloque10,exp,261,0.48390663611642865,0.9987892625129612,500,0.17764471057884232
bloque20,60,261,0.8646467736260798,2.5916634047997142,500,0.003992015968063872
bloque20,80,261,0.6461080330830139,2.258415046033698,500,0.005988023952095809
bloque20,100,261,0.7004456396081784,2.3198223672862732,500,0.003992015968063872
bloque20,120,241,0.7746603683652618,2.163069542340463,500,0.007984031936127744
bloque20,150,211,0.4397196272045978,1.1819481390749078,500,0.08183632734530938
bloque20,exp,261,0.48390663611642865,0.9987892625129612,500,0.09780439121756487
bloque40,60,261,0.8646467736260798,2.5916634047997142,500,0.005988023952095809
bloque40,80,261,0.6461080330830139,2.258415046033698,500,0.005988023952095809
bloque40,100,261,0.7004456396081784,2.3198223672862732,500,0.003992015968063872
bloque40,120,241,0.7746603683652618,2.163069542340463,500,0.005988023952095809
bloque40,150,211,0.4397196272045978,1.1819481390749078,500,0.05788423153692615
bloque40,exp,261,0.48390663611642865,0.9987892625129612,500,0.0658682634730539
circular,60,261,0.8646467736260798,2.5916634047997142,331,0.0030120481927710845
circular,80,261,0.6461080330830139,2.258415046033698,331,0.009036144578313253
circular,100,261,0.7004456396081784,2.3198223672862732,331,0.012048192771084338
circular,120,241,0.7746603683652618,2.163069542340463,331,0.018072289156626505
circular,150,211,0.4397196272045978,1.1819481390749078,331,0.06927710843373494
circular,exp,261,0.48390663611642865,0.9987892625129612,331,0.0783132530120482
signo20,60,261,0.8646467736260798,2.5916634047997142,500,0.001996007984031936
signo20,80,261,0.6461080330830139,2.258415046033698,500,0.001996007984031936
signo20,100,261,0.7004456396081784,2.3198223672862732,500,0.001996007984031936
signo20,120,241,0.7746603683652618,2.163069542340463,500,0.003992015968063872
signo20,150,211,0.4397196272045978,1.1819481390749078,500,0.01996007984031936
signo20,exp,261,0.48390663611642865,0.9987892625129612,500,0.07584830339321358
