modo,W,n,pendiente,t,p_perm
ols,60,261,0.43415455235832157,2.1582785635586417,0.01996007984031936
ols,80,261,0.48260973516437905,2.306796130977611,0.011976047904191617
ols,100,261,0.527789407681556,2.3247133433749663,0.005988023952095809
ols,120,241,0.5713330088411932,2.142413885327917,0.021956087824351298
ols,150,211,0.42996408790288904,1.4832852653483302,0.0718562874251497
ols,exp,261,0.55895004925556,1.4152493148656649,0.0718562874251497
js,60,261,0.8646467736260798,2.5916634047997142,0.003992015968063872
js,80,261,0.6461080330830139,2.258415046033698,0.005988023952095809
js,100,261,0.7004456396081784,2.3198223672862732,0.003992015968063872
js,120,241,0.7746603683652618,2.163069542340463,0.007984031936127744
js,150,211,0.4397196272045978,1.1819481390749078,0.08183632734530938
js,exp,261,0.48390663611642865,0.9987892625129612,0.09780439121756487
hard1,60,261,0.425246583492602,2.0110510297331468,0.027944111776447105
hard1,80,261,0.4920344660571812,2.2555541136129573,0.00998003992015968
hard1,100,261,0.60084704619153,2.555471287141127,0.001996007984031936
hard1,120,241,0.6734786327309141,2.417025760054969,0.005988023952095809
hard1,150,211,0.4219842001502202,1.4378568076769358,0.0658682634730539
hard1,exp,261,0.5491431638751961,1.3861751900839512,0.0658682634730539
hard1.5,60,261,0.668090339824228,2.6539324091391285,0.001996007984031936
hard1.5,80,261,0.5207056981576201,2.3215032264279234,0.011976047904191617
hard1.5,100,261,0.5398962486644291,2.2084332886737026,0.003992015968063872
hard1.5,120,241,0.5404254794411519,1.912804961090668,0.01996007984031936
hard1.5,150,211,0.3120646150502525,1.0080455151223098,0.10778443113772455
hard1.5,exp,261,0.36337905397448156,0.8923724645289587,0.12974051896207583
hard2,60,261,0.5810247246105886,1.0966627466540624,0.09381237524950099
hard2,80,261,0.23534201148155406,0.9259336136657684,0.08383233532934131
hard2,100,261,0.4336256696569651,1.426503460839156,0.05588822355289421
hard2,120,241,0.7048012626696827,2.1062557987607766,0.00998003992015968
hard2,150,211,0.48774489995149495,1.4118798103815184,0.03792415169660679
hard2,exp,261,0.26110640441912225,0.6480622073764355,0.12375249500998003
lineal,60,261,0.6134720802303314,2.471016886770885,0.00998003992015968
lineal,80,261,0.5134478506727133,2.298205740368823,0.003992015968063872
lineal,100,261,0.575631179641715,2.3337163502756066,0.001996007984031936
lineal,120,241,0.6351624617465245,2.1810375876219292,0.011976047904191617
lineal,150,211,0.40461257841664494,1.3134634521946058,0.06986027944111776
lineal,exp,261,0.4680748477538231,1.1578781630430446,0.08582834331337326
eb,60,261,0.8871872585285218,2.327899801006256,0.001996007984031936
eb,80,261,0.7254041730192675,2.0621403391453086,0.005988023952095809
eb,100,261,0.6380731938724753,1.765288962917589,0.017964071856287425
eb,120,241,0.6622618404547124,1.7064970578516376,0.033932135728542916
eb,150,211,0.46383285644821126,1.1685429292680762,0.10179640718562874
eb,exp,261,0.15305253554790899,0.2576358613370928,0.281437125748503
js_joint,60,261,0.6092894690255618,1.4973034353851913,0.06786427145708583
js_joint,80,261,0.5186479397810565,1.4804868949905952,0.03992015968063872
js_joint,100,261,0.6561310198649932,1.7929491399726187,0.023952095808383235
js_joint,120,241,0.7714042767194855,1.810940052630912,0.023952095808383235
js_joint,150,211,0.42970726462422687,1.00638046146977,0.10778443113772455
js_joint,exp,261,0.526454008037276,0.9632851202128992,0.08982035928143713
