xcols,controles,paso,start,n,pendiente,t,p_perm
dG+dC,full(+idx),5,100,261,0.6432733859082045,2.5699747348739437,0.0033222591362126247
dG+dC,full(+idx),5,120,241,0.6714963893958165,2.648689227517652,0.0033222591362126247
dG+dC,full(+idx),5,150,211,0.6205912371232156,2.3908819895089626,0.006644518272425249
dG+dC,full(+idx),10,100,261,0.6296194941372358,2.5851727587714723,0.0033222591362126247
dG+dC,full(+idx),10,120,241,0.6537444071231322,2.65147910004111,0.0033222591362126247
dG+dC,full(+idx),10,150,211,0.6278994475342633,2.503115376420934,0.0033222591362126247
dG+dC,full(+idx),20,100,261,0.4980763751409849,2.017598260944948,0.013289036544850499
dG+dC,full(+idx),20,120,241,0.5458627196857323,2.1925601198565188,0.013289036544850499
dG+dC,full(+idx),20,150,211,0.6547105374545249,2.6746041702793044,0.0033222591362126247
dG+dC,sin_idx,5,100,261,0.7422055516781914,2.6273493490009736,0.0033222591362126247
dG+dC,sin_idx,5,120,241,0.7460500169900536,2.6041539044959805,0.0033222591362126247
dG+dC,sin_idx,5,150,211,0.6384523815105729,2.189067725030252,0.009966777408637873
dG+dC,sin_idx,10,100,261,0.7436225308750563,2.646048921917311,0.0033222591362126247
dG+dC,sin_idx,10,120,241,0.7402341113617733,2.59780832494891,0.0033222591362126247
dG+dC,sin_idx,10,150,211,0.6626574795756646,2.2970062090203203,0.006644518272425249
dG+dC,sin_idx,20,100,261,0.6343582460528042,2.3646058542971717,0.0033222591362126247
dG+dC,sin_idx,20,120,241,0.6336621145104808,2.3248428423830374,0.006644518272425249
dG+dC,sin_idx,20,150,211,0.7331924009952382,2.5950245254595954,0.0033222591362126247
dG+dC,espesor_en_vez_idx,5,100,261,0.6961170275810227,2.641121596570382,0.0033222591362126247
dG+dC,espesor_en_vez_idx,5,120,241,0.7139758206590042,2.6735461604712345,0.0033222591362126247
dG+dC,espesor_en_vez_idx,5,150,211,0.6495802184241191,2.379434871438343,0.006644518272425249
dG+dC,espesor_en_vez_idx,10,100,261,0.6774054171839903,2.6265802722916725,0.0033222591362126247
dG+dC,espesor_en_vez_idx,10,120,241,0.6929095107476098,2.6530157659704003,0.0033222591362126247
dG+dC,espesor_en_vez_idx,10,150,211,0.6552549930097887,2.4681353555315915,0.0033222591362126247
dG+dC,espesor_en_vez_idx,20,100,261,0.5579829518465478,2.1337969520079136,0.009966777408637873
dG+dC,espesor_en_vez_idx,20,120,241,0.5969605302544959,2.2647534791820974,0.006644518272425249
dG+dC,espesor_en_vez_idx,20,150,211,0.6881355090400263,2.6482983548877033,0.0033222591362126247
solo_dG,full(+idx),5,100,261,0.7196810880183712,2.7501005644690535,0.0033222591362126247
solo_dG,full(+idx),5,120,241,0.7478843470098668,2.8162081838672495,0.0033222591362126247
solo_dG,full(+idx),5,150,211,0.6872551647778167,2.4969596744535094,0.0033222591362126247
solo_dG,full(+idx),10,100,261,0.6968223224444535,2.65938927164801,0.0033222591362126247
solo_dG,full(+idx),10,120,241,0.7267220042024493,2.7339459047420047,0.0033222591362126247
solo_dG,full(+idx),10,150,211,0.6893752863643434,2.5123308296670848,0.013289036544850499
solo_dG,full(+idx),20,100,261,0.5566887259795728,2.2342585712800176,0.006644518272425249
solo_dG,full(+idx),20,120,241,0.6030636483941416,2.4015010482913586,0.019933554817275746
solo_dG,full(+idx),20,150,211,0.719971416224361,2.6846700358043805,0.0033222591362126247
solo_dG,sin_idx,5,100,261,0.8222961380410644,2.9024078607980766,0.0033222591362126247
solo_dG,sin_idx,5,120,241,0.82440036287856,2.865089448499213,0.0033222591362126247
solo_dG,sin_idx,5,150,211,0.7096454891862531,2.40447563347332,0.006644518272425249
solo_dG,sin_idx,10,100,261,0.7933859292663409,2.794519092253166,0.0033222591362126247
solo_dG,sin_idx,10,120,241,0.7915663857517504,2.7462145244252287,0.0033222591362126247
solo_dG,sin_idx,10,150,211,0.7004164459471431,2.381638050780929,0.013289036544850499
solo_dG,sin_idx,20,100,261,0.6718616998382099,2.4739843928745615,0.0033222591362126247
solo_dG,sin_idx,20,120,241,0.6717128197843207,2.434236868354631,0.023255813953488372
solo_dG,sin_idx,20,150,211,0.735307880937271,2.5713993349509017,0.0033222591362126247
solo_dG,espesor_en_vez_idx,5,100,261,0.7760333310378955,2.8074900611502818,0.0033222591362126247
solo_dG,espesor_en_vez_idx,5,120,241,0.7949230762524847,2.831858632896689,0.0033222591362126247
solo_dG,espesor_en_vez_idx,5,150,211,0.7203804542908406,2.4759222481014915,0.006644518272425249
solo_dG,espesor_en_vez_idx,10,100,261,0.7548883078335357,2.719435321296341,0.0033222591362126247
solo_dG,espesor_en_vez_idx,10,120,241,0.7763308799661018,2.7550520667083696,0.0033222591362126247
solo_dG,espesor_en_vez_idx,10,150,211,0.7271441592195195,2.4989265596417707,0.013289036544850499
solo_dG,espesor_en_vez_idx,20,100,261,0.6159383426582196,2.325628826003485,0.009966777408637873
solo_dG,espesor_en_vez_idx,20,120,241,0.6533972344241913,2.4484662120410476,0.019933554817275746
solo_dG,espesor_en_vez_idx,20,150,211,0.7635823216331233,2.6783696191302213,0.0033222591362126247
solo_dC,full(+idx),5,100,261,-0.1996939210039271,-0.229526684427101,0.4318936877076412
solo_dC,full(+idx),5,120,241,-0.24094434880113882,-0.27405162209986467,0.4485049833887043
solo_dC,full(+idx),5,150,211,-0.09471736598667486,-0.10377815475370473,0.36212624584717606
solo_dC,full(+idx),10,100,261,0.10713670870303174,0.15528815633157858,0.2757475083056478
