bloque_excluido,batches,n,pendiente,t
0,0-19,241,0.6537444071231278,2.6514791000410907
1,20-39,241,0.6743906898786926,2.753981449064653
2,40-59,241,0.6684669001204483,2.5864155092064802
3,60-79,241,0.6889597347336842,2.6477591069719355
4,80-99,241,0.6552782693159703,2.545768643966947
5,100-119,241,0.8580569670731215,2.596373007141851
6,120-139,241,0.6200796684266354,2.2393841317998757
7,140-159,241,0.5690448466917404,2.0313822076811947
8,160-179,241,0.5785143223625732,2.461218213783262
9,180-199,241,0.4951036995380539,1.8867781513245587
10,200-219,241,0.7006909141314361,3.0432196273699375
11,220-239,241,0.6079233188247993,2.444461516144371
12,240-259,241,0.6036915851547534,2.2912598213721997
13,260-279,241,0.6192363563848728,2.430456285026281
14,280-299,241,0.6913446787399286,2.744441778112241
15,300-319,241,0.6878681141841362,2.6658849378651506
16,320-339,241,0.6392333690477459,2.4869381040714567
17,340-359,241,0.6372809136860651,2.4194403107999825
18,360-360,260,0.6519623064752444,2.705664190722072
