version,ini_idx,fin_idx,n,plan_medio,fecha_ini,delta_plan
1,1,1,1,25.055555555555554,1,
2,2,2,1,22.0,2,-3.0555555555555536
3,3,3,1,21.666666666666664,3,-0.3333333333333357
4,4,4,1,21.916666666666664,4,0.25
5,5,6,2,21.791666666666664,5,-0.125
6,7,7,1,20.833333333333332,7,-0.9583333333333321
7,8,8,1,22.0,8,1.1666666666666679
8,9,15,7,20.416666666666668,9,-1.5833333333333321
9,16,16,1,22.0,16,1.5833333333333321
10,17,25,9,21.875,17,-0.125
11,26,27,2,20.583333333333336,26,-1.2916666666666643
12,28,31,4,21.625,28,1.0416666666666643
13,32,34,3,22.625,32,1.0
14,35,48,14,21.625,35,-1.0
15,49,50,2,21.25,49,-0.375
16,51,58,8,22.083333333333332,51,0.8333333333333321
17,59,60,2,21.666666666666668,59,-0.4166666666666643
18,61,69,9,21.25,61,-0.41666666666666785
19,70,76,7,22.083333333333332,70,0.8333333333333321
20,77,93,17,21.041666666666668,77,-1.0416666666666643
21,94,96,3,20.833333333333332,94,-0.2083333333333357
22,97,105,9,20.833333333333332,97,0.0
23,106,111,6,22.291666666666668,106,1.4583333333333357
24,112,112,1,21.875,112,-0.41666666666666785
25,113,115,3,22.316666666666666,113,0.44166666666666643
26,116,124,9,21.666666666666668,116,-0.6499999999999986
27,125,126,2,22.083333333333336,125,0.41666666666666785
28,127,129,3,22.191666666666674,127,0.10833333333333783
29,130,142,13,21.666666666666668,130,-0.5250000000000057
30,143,149,7,21.666666666666668,143,0.0
31,150,151,2,21.041666666666668,150,-0.625
32,152,157,6,20.833333333333336,152,-0.20833333333333215
33,158,167,10,20.625,158,-0.2083333333333357
34,168,196,29,20.416666666666668,168,-0.20833333333333215
35,197,212,16,22.25,197,1.8333333333333321
36,213,224,12,22.0,213,-0.25
37,225,234,10,21.666666666666668,225,-0.33333333333333215
38,235,250,16,21.875,235,0.20833333333333215
39,251,257,7,22.5,251,0.625
40,258,276,19,22.291666666666664,258,-0.2083333333333357
41,277,283,7,21.875,277,-0.4166666666666643
42,284,295,12,21.666666666666668,284,-0.20833333333333215
43,296,298,3,22.541666666666668,296,0.875
44,299,301,3,22.375,299,-0.16666666666666785
45,302,304,3,21.458333333333332,302,-0.9166666666666679
46,305,332,28,22.291666666666668,305,0.8333333333333357
47,333,336,4,21.875,333,-0.41666666666666785
48,337,356,20,21.666666666666668,337,-0.20833333333333215
49,357,362,6,22.291666666666668,357,0.625
