regimen,tendencia,palanca,outcome,n,cov_iv,b_ols,t_ols,b_iv,se_iv,t_iv,ci_lo,ci_hi,t_dwh,p_dwh
TOTAL,lineal,gn,recuperacion_refinada_pct,361,HC1,-0.3768962946750305,-2.723471870610975,1.2786831774152798,1.3231374091136947,0.9664024073446819,-1.3146661444475618,3.8720324992781214,-1.4514248780658807,0.1466615864292938
TOTAL,lineal,gn,recuperacion_refinada_pct,361,HAC,-0.3768962946750305,-2.723471870610975,1.2786831774152798,1.6731468956635227,0.764238442380273,-2.0006847380852246,4.558051092915784,-1.4514248780658807,0.1466615864292938
TOTAL,lineal,gn,f_dross,361,HC1,0.4277731814421175,3.8722378421689685,-0.05330940493498826,0.8543108508249598,-0.06240047739474498,-1.7277586725519094,1.6211398626819329,0.5517276869541845,0.5811349377484634
TOTAL,lineal,gn,f_dross,361,HAC,0.4277731814421175,3.8722378421689685,-0.05330940493498826,1.0176268367969077,-0.0523860053679259,-2.047858005056927,1.9412391951869508,0.5517276869541845,0.5811349377484634
TOTAL,lineal,gn,f_polvo,361,HC1,-0.026092949456718553,-0.2837134239417764,-1.1092588415248144,0.9542753958367728,-1.162409558460995,-2.979638617364889,0.7611209343152603,1.3250116964811052,0.18516727192937033
TOTAL,lineal,gn,f_polvo,361,HAC,-0.026092949456718553,-0.2837134239417764,-1.1092588415248144,1.0165065393699932,-1.09124614408512,-3.1016116586900013,0.8830939756403724,1.3250116964811052,0.18516727192937033
TOTAL,lineal,gn,f_metal,361,HC1,-0.40168023198540675,-2.9503106091374653,1.162568246379137,1.3287310352034767,0.8749462574275657,-1.4417445826196773,3.766881075377951,-1.3159423765971683,0.18819338405897612
TOTAL,lineal,gn,f_metal,361,HAC,-0.40168023198540675,-2.9503106091374653,1.162568246379137,1.6551018538839934,0.7024149260971232,-2.08143138723349,4.406567879991764,-1.3159423765971683,0.18819338405897612
TOTAL,lineal,gn,sn_perdido_escoria_frac,361,HC1,-0.028286136178668233,-0.9301680206950868,-0.18219821854805562,0.20362603781536606,-0.8947687658356359,-0.5813052526661731,0.21690881557006186,0.730056255400631,0.46535579892307644
TOTAL,lineal,gn,sn_perdido_escoria_frac,361,HAC,-0.028286136178668233,-0.9301680206950868,-0.18219821854805562,0.2265433233756694,-0.8042533138172527,-0.6262231323643677,0.2618266952682564,0.730056255400631,0.46535579892307644
TOTAL,lineal,carbon,recuperacion_refinada_pct,361,HC1,0.30344085605974835,2.400513894626088,0.5147357453143684,0.1555211037983652,3.309748534075021,0.20991438186957262,0.8195571087591642,-1.504099305297316,0.13255579916436694
TOTAL,lineal,carbon,recuperacion_refinada_pct,361,HAC,0.30344085605974835,2.400513894626088,0.5147357453143684,0.16361973195154444,3.1459270784455633,0.1940410706893413,0.8354304199393955,-1.504099305297316,0.13255579916436694
TOTAL,lineal,carbon,f_dross,361,HC1,-0.37290571798169075,-3.361039206318903,-0.5047019997524558,0.12382097132121933,-4.076062353308034,-0.7473911035420456,-0.2620128959628659,1.0403545825269718,0.29817519411845383
TOTAL,lineal,carbon,f_dross,361,HAC,-0.37290571798169075,-3.361039206318903,-0.5047019997524558,0.14167000434068877,-3.562518418074907,-0.7823752082602058,-0.22702879124470576,1.0403545825269718,0.29817519411845383
TOTAL,lineal,carbon,f_polvo,361,HC1,0.05696363696028915,0.8309511324440298,-0.03794927978915119,0.11322179780280839,-0.33517644592824053,-0.2598640034826556,0.18396544390435324,1.135674051509505,0.2560930043275017
TOTAL,lineal,carbon,f_polvo,361,HAC,0.05696363696028915,0.8309511324440298,-0.03794927978915119,0.10474085126419308,-0.36231593815702173,-0.24324134826696964,0.16734278868866725,1.135674051509505,0.2560930043275017
TOTAL,lineal,carbon,f_metal,361,HC1,0.31594208102140764,2.469724186474121,0.5426512795429375,0.15769669943353054,3.44110740105671,0.2335657486532176,0.8517368104326573,-1.5872735957019386,0.11245069270994776
TOTAL,lineal,carbon,f_metal,361,HAC,0.31594208102140764,2.469724186474121,0.5426512795429375,0.16717079459097337,3.2460890125615203,0.21499652214462966,0.8703060369412452,-1.5872735957019386,0.11245069270994776
TOTAL,lineal,carbon,sn_perdido_escoria_frac,361,HC1,0.01326797497539375,0.5719307944113595,0.031360841904778614,0.029694624722279378,1.0561117440642078,-0.026840622550888968,0.0895623063604462,-0.9268548214462735,0.3540019168335027
TOTAL,lineal,carbon,sn_perdido_escoria_frac,361,HAC,0.01326797497539375,0.5719307944113595,0.031360841904778614,0.02893011651419253,1.084020587659701,-0.02534218646303875,0.08806387027259598,-0.9268548214462735,0.3540019168335027
TOTAL,cubica,gn,recuperacion_refinada_pct,361,HC1,-0.36643023254572266,-2.6320703701680386,0.03729207363675646,0.9732487888620225,0.038317102536917065,-1.8702755525328074,1.9448596998063206,-0.4066629644725784,0.684255545245307
TOTAL,cubica,gn,recuperacion_refinada_pct,361,HAC,-0.36643023254572266,-2.6320703701680386,0.03729207363675646,1.0584941559534289,0.0352312513271894,-2.037356472031964,2.1119406193054773,-0.4066629644725784,0.684255545245307
TOTAL,cubica,gn,f_dross,361,HC1,0.4136139957075674,3.821293752288027,1.0720002099061492,0.8009498676406742,1.338411120615947,-0.49786153066957217,2.6418619504818706,-0.8382738260409518,0.40187693243115663
TOTAL,cubica,gn,f_dross,361,HAC,0.4136139957075674,3.821293752288027,1.0720002099061492,0.9044019071406231,1.1853139643362856,-0.700627528089472,2.8446279479017704,-0.8382738260409518,0.40187693243115663
TOTAL,cubica,gn,f_polvo,361,HC1,-0.02296939577290583,-0.2520369510275137,-0.9542851438725454,0.8021087794929,-1.189720357475519,-2.5264183516786294,0.6178480639335387,1.3408994867819393,0.17995308888658224
TOTAL,cubica,gn,f_polvo,361,HAC,-0.02296939577290583,-0.2520369510275137,-0.9542851438725454,0.7990668758656578,-1.194249408522577,-2.5204562205692347,0.611885932824144,1.3408994867819393,0.17995308888658224
TOTAL,cubica,gn,f_metal,361,HC1,-0.39064459993466344,-2.8590377879821944,-0.11771506605678451,0.9936415429129991,-0.1184683419250833,-2.0652524901662628,1.8298223580526938,-0.26463349446689616,0.7912918148839354
TOTAL,cubica,gn,f_metal,361,HAC,-0.39064459993466344,-2.8590377879821944,-0.11771506605678451,1.0624008206674456,-0.11080099315325348,-2.200020674564978,1.964590542451409,-0.26463349446689616,0.7912918148839354
TOTAL,cubica,gn,sn_perdido_escoria_frac,361,HC1,-0.027651710634362933,-0.8933157750379948,-0.21317616030490066,0.1885161909914421,-1.1308108825229661,-0.5826678946481272,0.15631557403832586,0.9510157311375034,0.3415963902461743
