target,palanca,tramo,theta,se,ci_lo,ci_hi,t,p,n
sn_dep,gn,R0_R1_temprano,0.020495725904374366,0.006511618654915493,0.00773318785968085,0.03325826394906788,3.1475623789643374,0.001646379733332896,1326
sn_dep,gn,R2_R3_tardio,0.023012944311386754,0.005939702859244487,0.011371340628397977,0.034654547994375534,3.8744268622073688,0.00010687593436126317,1326
sn_dep,carbon,R0_R1_temprano,-0.0016599433188774254,0.0020909547953106076,-0.005758139410987536,0.002438252773232686,-0.7938685822382132,0.4272719415505075,1326
sn_dep,carbon,R2_R3_tardio,-0.006509520214338564,0.0029585460846488585,-0.012308163986852316,-0.0007108764418248112,-2.200242966677046,0.027789661345621615,1326
feo_ret,gn,R0_R1_temprano,-0.0027036257721948366,0.0008557879856564173,-0.004380939402483495,-0.0010263121419061784,-3.1592238001811483,0.0015818996315740104,1326
feo_ret,gn,R2_R3_tardio,-0.003846195601594215,0.0008668237497580618,-0.005545138932063976,-0.0021472522711244537,-4.437113776206204,9.117310869022708e-06,1326
feo_ret,carbon,R0_R1_temprano,0.0009007969090339402,0.0003157171660709011,0.0002820026342339229,0.0015195911838339574,2.8531768489004072,0.004328452588028789,1326
feo_ret,carbon,R2_R3_tardio,0.001184686973233802,0.0004899838242471875,0.0002243363247021109,0.002145037621765493,2.4178083328647806,0.015614299021638122,1326
dT,gn,R0_R1_temprano,0.6051098559289319,0.20938298702387118,0.19472674238672688,1.0154929694711368,2.8899666803394344,0.0038528266082724742,1432
dT,gn,R2_R3_tardio,0.08312527333062353,0.19924582237957703,-0.30738936260341215,0.4736399092646592,0.4171995795839782,0.676532432681391,1432
dT,carbon,R0_R1_temprano,-0.12461673444051607,0.07347787786065053,-0.2686307287078241,0.019397259826791968,-1.6959762321504366,0.08989038131031779,1432
dT,carbon,R2_R3_tardio,0.2418432335186055,0.09864826643136092,0.04849618417582652,0.4351902828613845,2.4515710439461103,0.014223410588552515,1432
