target,palanca,tercil,theta,se,ci_lo,ci_hi,t,p,n
sn_dep,gn,dev__gn_T1_bajo,0.018844712250719778,0.008248017397123584,0.0026788952084977544,0.0350105292929418,2.2847566079688058,0.022327103301321875,1326
sn_dep,gn,dev__gn_T2_medio,0.019435872585147486,0.005660846330333828,0.008340817655677454,0.030530927514617518,3.4333863615056526,0.0005960920185704747,1326
sn_dep,gn,dev__gn_T3_alto,0.025738096407531157,0.009086497441881917,0.007928888675827268,0.04354730413923505,2.8325651960124807,0.0046176148662898635,1326
sn_dep,carbon,dev__carbon_T1_bajo,-0.003150855792542355,0.002655737317616392,-0.008356005287469492,0.0020542937023847836,-1.1864335270064839,0.23545113800971973,1326
sn_dep,carbon,dev__carbon_T2_medio,-0.0035343792912603603,0.002508993558761781,-0.008451916303876431,0.0013831577213557099,-1.4086840832722662,0.15892860344718818,1326
sn_dep,carbon,dev__carbon_T3_alto,-0.002365486389538234,0.002719523617953935,-0.007695654735834012,0.002964681956757544,-0.8698164538530226,0.38440071814087784,1326
feo_ret,gn,dev__gn_T1_bajo,-0.0032509507465035893,0.0012853010087374387,-0.005770094432921971,-0.0007318070600852082,-2.5293302692550004,0.011428043330748566,1326
feo_ret,gn,dev__gn_T2_medio,-0.003713779200946203,0.0009123919181593832,-0.005502034500324011,-0.0019255239015683956,-4.070377134026141,4.693709107224236e-05,1326
feo_ret,gn,dev__gn_T3_alto,-0.0028317263552753024,0.0010289121480766051,-0.004848357108761191,-0.0008150956017894135,-2.7521556243346765,0.005920437863641589,1326
feo_ret,carbon,dev__carbon_T1_bajo,0.0012057683336950983,0.00052148844911142,0.0001836697550830664,0.0022278669123071302,2.3121669056134295,0.020768487280345502,1326
feo_ret,carbon,dev__carbon_T2_medio,0.00118989619039471,0.0003715634300686063,0.0004616452494880746,0.0019181471313013453,3.20240393457183,0.0013628574775903545,1326
feo_ret,carbon,dev__carbon_T3_alto,0.0006149953510079897,0.00041195620883500896,-0.00019242398151628909,0.0014224146835322684,1.4928658382092723,0.13547230900825033,1326
dT,gn,dev__gn_T1_bajo,0.20545070005320262,0.30844895301501934,-0.39909813892532253,0.8099995390317278,0.6660768274457348,0.5053619950999474,1432
dT,gn,dev__gn_T2_medio,0.3766651332724222,0.22190927655822076,-0.058269056617029025,0.8115993231618734,1.697383449283605,0.08962418955595548,1432
dT,gn,dev__gn_T3_alto,0.37661841437662336,0.20485332506642434,-0.024886724866844623,0.7781235536200913,1.8384784052419145,0.0659919410839641,1432
dT,carbon,dev__carbon_T1_bajo,0.05520444814674093,0.10419289731410677,-0.14900987803378846,0.25941877432727034,0.529829283663338,0.5962302998309432,1432
dT,carbon,dev__carbon_T2_medio,-0.10677337527904798,0.09648815412344332,-0.2958866822957468,0.08233993173765083,-1.1065956878234622,0.2684687725159147,1432
dT,carbon,dev__carbon_T3_alto,0.01503998367081387,0.07156423288225464,-0.1252233353596423,0.15530330270127002,0.21016062165522417,0.8335423125572788,1432
