X,y,muestra,n,gn0,gn1,gn2,gn3,gn_temp,gn_tard,c_temp,c_tard
gn0+gn1+gn2+,sn_fin,DEV,296,-2.65 (t-0.2),-7.32 (t-0.8),-1.29 (t-0.1),-8.32 (t-0.8),,,,
gn0+gn1+gn2+,sn_fin,LB,63,-42.2 (t-0.5),+5.3 (t+0.1),+21.4 (t+0.4),-79.7 (t-1.2),,,,
gn0+gn1+gn2+,sn_fin,TOTAL,359,+4.81 (t+0.3),-5.96 (t-0.7),+1.3 (t+0.1),-19 (t-1.6),,,,
gn0+gn1+gn2+,ley_sn_fin,DEV,296,-0.0126 (t-1.1),-0.00356 (t-0.3),+0.00917 (t+0.8),-0.00313 (t-0.2),,,,
gn0+gn1+gn2+,ley_sn_fin,LB,63,-0.0587 (t-0.4),+0.00606 (t+0.1),+0.0299 (t+0.4),-0.121 (t-1.3),,,,
gn0+gn1+gn2+,ley_sn_fin,TOTAL,359,-0.00104 (t-0.1),-0.00284 (t-0.3),+0.0104 (t+0.9),-0.022 (t-1.3),,,,
gn0+gn1+gn2+,feo_red,DEV,296,+19.5 (t+0.5),+34.7 (t+1.3),+10.5 (t+0.4),+87.6 (t+3.7),,,,
gn0+gn1+gn2+,feo_red,LB,63,+153 (t+0.8),-26.4 (t-0.4),-3.1 (t-0.0),+78.3 (t+1.2),,,,
gn0+gn1+gn2+,feo_red,TOTAL,359,+23.9 (t+0.8),+24.7 (t+1.1),+10.6 (t+0.5),+81.9 (t+4.0),,,,
gn0+gn1+gn2+,escoria_pp,DEV,296,-0.0117 (t-0.6),-0.0144 (t-0.8),+0.00311 (t+0.2),-0.0154 (t-0.8),,,,
gn0+gn1+gn2+,escoria_pp,LB,63,-0.011 (t-0.1),+0.00408 (t+0.1),+0.0337 (t+0.5),-0.0883 (t-1.1),,,,
gn0+gn1+gn2+,escoria_pp,TOTAL,359,+0.00147 (t+0.1),-0.0113 (t-0.7),+0.0079 (t+0.5),-0.0276 (t-1.4),,,,
gn0+gn1+gn2+,dross_pp,DEV,296,+0.18 (t+1.6),+0.0754 (t+1.0),+0.119 (t+1.6),+0.147 (t+1.8),,,,
gn0+gn1+gn2+,dross_pp,LB,63,-0.057 (t-0.1),+0.215 (t+0.9),-0.101 (t-0.4),-0.105 (t-0.6),,,,
gn0+gn1+gn2+,dross_pp,TOTAL,359,+0.218 (t+1.6),+0.107 (t+1.4),+0.0602 (t+0.8),+0.145 (t+1.9),,,,
gn0+gn1+gn2+,recuperacion_refinada_pct,DEV,296,-0.192 (t-1.7),-0.061 (t-0.6),-0.148 (t-1.8),-0.233 (t-2.2),,,,
gn0+gn1+gn2+,recuperacion_refinada_pct,LB,63,+1.05 (t+1.9),-0.228 (t-0.9),+0.147 (t+0.6),+0.512 (t+2.8),,,,
gn0+gn1+gn2+,recuperacion_refinada_pct,TOTAL,359,-0.188 (t-1.5),-0.061 (t-0.7),-0.0704 (t-0.8),-0.158 (t-1.6),,,,
