periodo,target,modelo,referencia,delta_mae_batch,ci_lo,ci_hi,n_batches
TOTAL,d_temperatura_horno_celsius,estado,gn_por_orden,-0.036435679418908115,-0.1784178530777012,0.10560594550738833,261
TOTAL,d_temperatura_horno_celsius,estado_hgb,gn_por_orden,-0.7017479527708497,-1.266834771570867,-0.22509430740288477,261
TOTAL,d_temperatura_horno_celsius,conjunto_lineal,gn_por_orden,-0.36595581630761315,-0.5535330156368856,-0.17405257964042203,261
TOTAL,d_temperatura_horno_celsius,conjunto_interacciones,gn_por_orden,-0.33954426993121617,-0.5272440999794006,-0.15619677938023702,261
TOTAL,d_temperatura_horno_celsius,conjunto_hgb,gn_por_orden,-0.5773083439950968,-1.0889023146396009,-0.11994195632896712,261
TOTAL,d_temperatura_horno_celsius,estado,estado_hgb,0.6653122733519415,0.1901137157350891,1.170537178620769,261
TOTAL,d_temperatura_horno_celsius,gn_por_orden,estado_hgb,0.7017479527708497,0.24046133061258912,1.2528431744020443,261
TOTAL,d_temperatura_horno_celsius,conjunto_lineal,estado_hgb,0.33579213646323647,-0.17166817374257454,0.9044069312764592,261
TOTAL,d_temperatura_horno_celsius,conjunto_interacciones,estado_hgb,0.36220368283963345,-0.10671855316966332,0.966889018763894,261
TOTAL,d_temperatura_horno_celsius,conjunto_hgb,estado_hgb,0.12443960877575284,-0.10810088092479744,0.3601710366544776,261
TOTAL,m6_ln_sn_dep,estado,gn_por_orden,0.0033252985791588107,0.0012344600209766186,0.005430958116592483,261
TOTAL,m6_ln_sn_dep,estado_hgb,gn_por_orden,-0.01879707407413362,-0.0271565571942219,-0.01014945148988942,261
TOTAL,m6_ln_sn_dep,conjunto_lineal,gn_por_orden,-0.0006976881528028699,-0.002683368713355705,0.0012845597576864054,261
TOTAL,m6_ln_sn_dep,conjunto_interacciones,gn_por_orden,-0.0008872428660489224,-0.0029293374197648108,0.0012788087236276634,261
TOTAL,m6_ln_sn_dep,conjunto_hgb,gn_por_orden,-0.019868759997823997,-0.028844222518483217,-0.010888930375406534,261
TOTAL,m6_ln_sn_dep,estado,estado_hgb,0.022122372653292432,0.014095414550259372,0.03113811750414171,261
TOTAL,m6_ln_sn_dep,gn_por_orden,estado_hgb,0.01879707407413362,0.010685095588072485,0.02712521596332471,261
TOTAL,m6_ln_sn_dep,conjunto_lineal,estado_hgb,0.018099385921330754,0.009763542262449663,0.02641985805782441,261
TOTAL,m6_ln_sn_dep,conjunto_interacciones,estado_hgb,0.017909831208084703,0.009356453087125688,0.025937671938463823,261
TOTAL,m6_ln_sn_dep,conjunto_hgb,estado_hgb,-0.0010716859236903754,-0.005987756367880082,0.0038376517607255642,261
TOTAL,m8_ln_feo_ret_dross50,estado,gn_por_orden,0.0004420235180244761,-2.6644658854194178e-05,0.0009337361665507405,261
TOTAL,m8_ln_feo_ret_dross50,estado_hgb,gn_por_orden,3.5209651458047434e-05,-0.0012209152452941393,0.0013350433878245394,261
TOTAL,m8_ln_feo_ret_dross50,conjunto_lineal,gn_por_orden,-9.258502489758479e-05,-0.0004013691029894855,0.00022139594178602516,261
TOTAL,m8_ln_feo_ret_dross50,conjunto_interacciones,gn_por_orden,-0.00015080998582117977,-0.000467620494919869,0.00017724887134434555,261
TOTAL,m8_ln_feo_ret_dross50,conjunto_hgb,gn_por_orden,-0.000792651323508539,-0.00212732080469019,0.000557914806182218,261
TOTAL,m8_ln_feo_ret_dross50,estado,estado_hgb,0.00040681386656642876,-0.0008655198975125523,0.0017648116995238753,261
TOTAL,m8_ln_feo_ret_dross50,gn_por_orden,estado_hgb,-3.5209651458047434e-05,-0.0013618374732717383,0.0012455755544621835,261
TOTAL,m8_ln_feo_ret_dross50,conjunto_lineal,estado_hgb,-0.00012779467635563172,-0.0014947705724290157,0.0012543952018326588,261
TOTAL,m8_ln_feo_ret_dross50,conjunto_interacciones,estado_hgb,-0.00018601963727922749,-0.0014509771381100926,0.0011479979468121972,261
TOTAL,m8_ln_feo_ret_dross50,conjunto_hgb,estado_hgb,-0.0008278609749665863,-0.001779029184466557,0.00012279011411295724,261
DEV,d_temperatura_horno_celsius,estado,gn_por_orden,-0.08116618955095144,-0.23987445975874466,0.08093693705035959,198
DEV,d_temperatura_horno_celsius,estado_hgb,gn_por_orden,-0.5537938068592853,-1.2493864295652632,0.03312098009196772,198
DEV,d_temperatura_horno_celsius,conjunto_lineal,gn_por_orden,-0.24481520968000128,-0.44375221945656734,-0.046490647241422677,198
DEV,d_temperatura_horno_celsius,conjunto_interacciones,gn_por_orden,-0.19686047051215352,-0.3833401361940375,-0.005128591895245433,198
DEV,d_temperatura_horno_celsius,conjunto_hgb,gn_por_orden,-0.46545231438496115,-1.115255552254934,0.09407317663848928,198
DEV,d_temperatura_horno_celsius,estado,estado_hgb,0.47262761730833375,-0.09389733248872854,1.096962996094756,198
DEV,d_temperatura_horno_celsius,gn_por_orden,estado_hgb,0.5537938068592853,-0.01617921541462487,1.2562172948697155,198
DEV,d_temperatura_horno_celsius,conjunto_lineal,estado_hgb,0.3089785971792839,-0.27771647569937913,1.0286493962619367,198
DEV,d_temperatura_horno_celsius,conjunto_interacciones,estado_hgb,0.35693333634713154,-0.2832498297464283,1.0775320606967604,198
DEV,d_temperatura_horno_celsius,conjunto_hgb,estado_hgb,0.08834149247432402,-0.19279124596059458,0.38216672845560257,198
DEV,m6_ln_sn_dep,estado,gn_por_orden,0.00178598930686766,-0.0005340079676445186,0.004216382839368334,198
DEV,m6_ln_sn_dep,estado_hgb,gn_por_orden,-0.014848991283624697,-0.024501030559725787,-0.0059902601366601,198
DEV,m6_ln_sn_dep,conjunto_lineal,gn_por_orden,-0.0006953220201029483,-0.0030423417065482323,0.00161628525356295,198
DEV,m6_ln_sn_dep,conjunto_interacciones,gn_por_orden,-0.0007283736209923944,-0.003021422530060237,0.0017408339725478084,198
DEV,m6_ln_sn_dep,conjunto_hgb,gn_por_orden,-0.016497981179621334,-0.026691839648956706,-0.006816367755786213,198
DEV,m6_ln_sn_dep,estado,estado_hgb,0.016634980590492357,0.007530997191489708,0.026058539002114214,198
DEV,m6_ln_sn_dep,gn_por_orden,estado_hgb,0.014848991283624697,0.005462882612365217,0.024089224399288445,198
DEV,m6_ln_sn_dep,conjunto_lineal,estado_hgb,0.014153669263521748,0.0049753326071895485,0.023636797698484303,198
DEV,m6_ln_sn_dep,conjunto_interacciones,estado_hgb,0.014120617662632302,0.0051958832362872485,0.023982031923742184,198
DEV,m6_ln_sn_dep,conjunto_hgb,estado_hgb,-0.0016489898959966393,-0.007320884701124385,0.004248543153002184,198
DEV,m8_ln_feo_ret_dross50,estado,gn_por_orden,0.0005050820825323799,-4.651841263558955e-06,0.001043271142897121,198
DEV,m8_ln_feo_ret_dross50,estado_hgb,gn_por_orden,0.0005880344547067366,-0.0010494019362997655,0.002103165831770142,198
DEV,m8_ln_feo_ret_dross50,conjunto_lineal,gn_por_orden,-0.00016140852900166334,-0.0005103401170845263,0.00018428945743599446,198
DEV,m8_ln_feo_ret_dross50,conjunto_interacciones,gn_por_orden,-8.507811382629866e-05,-0.0004746552417294549,0.0002705663226026841,198
DEV,m8_ln_feo_ret_dross50,conjunto_hgb,gn_por_orden,-0.0002442585861967992,-0.0018545210449714676,0.0013790707964544378,198
DEV,m8_ln_feo_ret_dross50,estado,estado_hgb,-8.295237217435663e-05,-0.0016976262020575812,0.0015688823620893931,198
DEV,m8_ln_feo_ret_dross50,gn_por_orden,estado_hgb,-0.0005880344547067366,-0.0022065650590078036,0.0009671572655010144,198
DEV,m8_ln_feo_ret_dross50,conjunto_lineal,estado_hgb,-0.0007494429837083998,-0.0023495456315888426,0.0009188576334776525,198
DEV,m8_ln_feo_ret_dross50,conjunto_interacciones,estado_hgb,-0.0006731125685330354,-0.002189765526108934,0.0008630581502564412,198
DEV,m8_ln_feo_ret_dross50,conjunto_hgb,estado_hgb,-0.0008322930409035359,-0.002034943835708444,0.00023602703362354252,198
LB,d_temperatura_horno_celsius,estado,gn_por_orden,0.10414592385322799,-0.15337003279751443,0.3662174460737594,63
LB,d_temperatura_horno_celsius,estado_hgb,gn_por_orden,-1.1667466970643383,-1.7967861123712667,-0.5311694567327525,63
LB,d_temperatura_horno_celsius,conjunto_lineal,gn_por_orden,-0.7466834371372504,-1.17420993532473,-0.31714006028796204,63
LB,d_temperatura_horno_celsius,conjunto_interacciones,gn_por_orden,-0.7879790681054131,-1.218142226514246,-0.35030873832461684,63
LB,d_temperatura_horno_celsius,conjunto_hgb,gn_por_orden,-0.9288558656269515,-1.5634354269834292,-0.3354152358838199,63
LB,d_temperatura_horno_celsius,estado,estado_hgb,1.2708926209175657,0.6268220655542898,1.9601137758057927,63
