periodo,target,modelo,n,batches,mae,r2
TOTAL,d_temperatura_horno_celsius,conjunto_hgb,962,261,11.989669297214819,0.07189570758041952
TOTAL,d_temperatura_horno_celsius,conjunto_interacciones,962,261,12.26117862587488,-0.011003301076527139
TOTAL,d_temperatura_horno_celsius,conjunto_lineal,962,261,12.233179341444044,-0.008970635187294906
TOTAL,d_temperatura_horno_celsius,estado,962,261,12.55776270028205,-0.0363082181442449
TOTAL,d_temperatura_horno_celsius,estado_hgb,962,261,11.843657519689431,0.08808956169368509
TOTAL,d_temperatura_horno_celsius,gn_por_orden,962,261,12.607116517204766,-0.030499012203425657
TOTAL,m6_ln_sn_dep,conjunto_hgb,962,261,0.24645395665614536,0.7782776104770058
TOTAL,m6_ln_sn_dep,conjunto_interacciones,962,261,0.26682510175901697,0.7530869744213194
TOTAL,m6_ln_sn_dep,conjunto_lineal,962,261,0.267131216660476,0.7532418028456641
TOTAL,m6_ln_sn_dep,estado,962,261,0.27146925658501353,0.7468787150125547
TOTAL,m6_ln_sn_dep,estado_hgb,962,261,0.24802572070467163,0.7755990272223808
TOTAL,m6_ln_sn_dep,gn_por_orden,962,261,0.2677663514720903,0.7514950159833294
TOTAL,m8_ln_feo_ret_dross50,conjunto_hgb,962,261,0.047603784485636104,0.4118129498715254
TOTAL,m8_ln_feo_ret_dross50,conjunto_interacciones,962,261,0.048464246428182145,0.3848090228579687
TOTAL,m8_ln_feo_ret_dross50,conjunto_lineal,962,261,0.04852357602077193,0.38347211577969187
TOTAL,m8_ln_feo_ret_dross50,estado,962,261,0.049056844353270054,0.377889098278258
TOTAL,m8_ln_feo_ret_dross50,estado_hgb,962,261,0.04851933000342317,0.3989120716766883
TOTAL,m8_ln_feo_ret_dross50,gn_por_orden,962,261,0.04862108815704321,0.3826649248693529
DEV,d_temperatura_horno_celsius,conjunto_hgb,720,198,13.545760591080294,-0.023066510623348302
DEV,d_temperatura_horno_celsius,conjunto_interacciones,720,198,13.886206704700236,-0.11313184708567148
DEV,d_temperatura_horno_celsius,conjunto_lineal,720,198,13.834053194176104,-0.10975122548003546
DEV,d_temperatura_horno_celsius,estado,720,198,13.978925771516845,-0.12210265842063328
DEV,d_temperatura_horno_celsius,estado_hgb,720,198,13.431218432963215,-0.00917066502516728
DEV,d_temperatura_horno_celsius,gn_por_orden,720,198,14.078773703037596,-0.11783823923577663
DEV,m6_ln_sn_dep,conjunto_hgb,720,198,0.24856238456592483,0.7710601780898233
DEV,m6_ln_sn_dep,conjunto_interacciones,720,198,0.26639234585520244,0.7497673717977438
DEV,m6_ln_sn_dep,conjunto_lineal,720,198,0.2665985115672507,0.7498439513272563
DEV,m6_ln_sn_dep,estado,720,198,0.26952401133322923,0.745702958286198
DEV,m6_ln_sn_dep,estado_hgb,720,198,0.2511064452510978,0.766865433608583
DEV,m6_ln_sn_dep,gn_por_orden,720,198,0.26727186592262153,0.7475786965286793
DEV,m8_ln_feo_ret_dross50,conjunto_hgb,720,198,0.049315724032309154,0.35087569611044667
DEV,m8_ln_feo_ret_dross50,conjunto_interacciones,720,198,0.049795406838616614,0.32976659648869044
DEV,m8_ln_feo_ret_dross50,conjunto_lineal,720,198,0.049721676597484395,0.32996229461647786
DEV,m8_ln_feo_ret_dross50,estado,720,198,0.050381842642873584,0.31918047519434745
DEV,m8_ln_feo_ret_dross50,estado_hgb,720,198,0.05031442613003192,0.33443465390314675
DEV,m8_ln_feo_ret_dross50,gn_por_orden,720,198,0.04988367821364956,0.32618816902460546
LB,d_temperatura_horno_celsius,conjunto_hgb,242,63,7.359976191499356,0.36454785522928257
LB,d_temperatura_horno_celsius,conjunto_interacciones,242,63,7.4263843417663695,0.2971202045321908
LB,d_temperatura_horno_celsius,conjunto_lineal,242,63,7.470248870505692,0.2892687542845237
LB,d_temperatura_horno_celsius,estado,242,63,8.329508934624805,0.12636063732660963
LB,d_temperatura_horno_celsius,estado_hgb,242,63,7.120335794246771,0.4077029079600013
LB,d_temperatura_horno_celsius,gn_por_orden,242,63,8.22863232795006,0.14768296193243402
LB,m6_ln_sn_dep,conjunto_hgb,242,63,0.2401809479989504,0.7969368092673779
LB,m6_ln_sn_dep,conjunto_interacciones,242,63,0.2681126399852421,0.7616323636042229
LB,m6_ln_sn_dep,conjunto_lineal,242,63,0.2687161243758573,0.7619901376507492
LB,m6_ln_sn_dep,estado,242,63,0.2772567631192477,0.7498633461656254
LB,m6_ln_sn_dep,estado_hgb,242,63,0.23885992866571762,0.7981890874738893
LB,m6_ln_sn_dep,gn_por_orden,242,63,0.26923754814819567,0.7615873411577552
LB,m8_ln_feo_ret_dross50,conjunto_hgb,242,63,0.04251041062776586,0.5736575473923631
LB,m8_ln_feo_ret_dross50,conjunto_interacciones,242,63,0.04450376917399694,0.5309101096793447
LB,m8_ln_feo_ret_dross50,conjunto_lineal,242,63,0.04495897926361088,0.52548593773053
LB,m8_ln_feo_ret_dross50,estado,242,63,0.045114700681722394,0.5337569408600127
LB,m8_ln_feo_ret_dross50,estado_hgb,242,63,0.0431785481391327,0.5701812023060483
LB,m8_ln_feo_ret_dross50,gn_por_orden,242,63,0.0448646218729252,0.5325876544816128
