variable,theta,se,ci_lo,ci_hi,p,n,batches,rank,target,periodo,modelo,q_bh
gn_0,0.0379483130043969,0.016027552767236643,0.006406353206377204,0.0694902728024166,0.018540030135710994,1084,298,10,m6_ln_sn_dep,DEV,v11_estructura,0.08157613259712837
gn_1,0.011544248053403977,0.009422064667500016,-0.006998219987265389,0.030086716094073346,0.2214572759398889,1084,298,10,m6_ln_sn_dep,DEV,v11_estructura,0.36847654372931815
gn_2,0.024145778862211177,0.008448965059293292,0.007518354819042693,0.04077320290537966,0.004566870327892892,1084,298,10,m6_ln_sn_dep,DEV,v11_estructura,0.05207454093132893
gn_3,0.027947994479883317,0.011400907789029194,0.005511195776740481,0.050384793183026154,0.014806868841783501,1084,298,10,m6_ln_sn_dep,DEV,v11_estructura,0.07849662103716361
d_carbon,-0.003172843054250764,0.002346269400301654,-0.007790262580138754,0.0014445764716372257,0.17731044703004387,1084,298,10,m6_ln_sn_dep,DEV,v11_estructura,0.33435684297093987
gn_0,0.04506912773962018,0.018420927779280647,0.008817045347850778,0.08132121013138957,0.014999694863928338,1084,298,12,m6_ln_sn_dep,DEV,conjunto,0.07849662103716361
gn_1,0.016212266212634864,0.010936583993608561,-0.00531075091068001,0.037735283335949735,0.13929721483279003,1084,298,12,m6_ln_sn_dep,DEV,conjunto,0.27859442966558007
gn_2,0.031237872432295234,0.011356376000401298,0.008888711555527635,0.05358703330906284,0.00631206556743381,1084,298,12,m6_ln_sn_dep,DEV,conjunto,0.05207454093132893
gn_3,0.03482930673420632,0.015304811074870129,0.004709690679866447,0.06494892278854619,0.023575465968232966,1084,298,12,m6_ln_sn_dep,DEV,conjunto,0.08429223556022097
d_carbon,-0.0025731759343476882,0.002458734177681503,-0.007411924289304324,0.0022655724206089474,0.29616044727649765,1084,298,12,m6_ln_sn_dep,DEV,conjunto,0.4545718493081127
d_exceso,0.003257603575583185,0.006519085465016624,-0.009571849220089081,0.016087056371255452,0.6176545350291983,1084,298,12,m6_ln_sn_dep,DEV,conjunto,0.7279499877129837
d_aire,-0.0024391487490691964,0.0018501582760714298,-0.006080229755716231,0.0012019322575778386,0.18840363633075682,1084,298,12,m6_ln_sn_dep,DEV,conjunto,0.3360713512927014
gn_0,0.04534569430895895,0.02396451372533554,-0.001816073896153611,0.0925074625140715,0.059436566576744405,1084,298,15,m6_ln_sn_dep,DEV,acoplado,0.16173190116492628
gn_1,0.020180599411407596,0.011182434723144452,-0.0018262478973356325,0.042187446720150824,0.07213923684195597,1084,298,15,m6_ln_sn_dep,DEV,acoplado,0.17634035672478127
gn_2,0.02919298925180887,0.011694756617205634,0.006177900895863696,0.05220807760775405,0.01309358474322056,1084,298,15,m6_ln_sn_dep,DEV,acoplado,0.07849662103716361
gn_3,0.0330298379497515,0.01563858775584463,0.002253354886099058,0.06380632101340394,0.0355149369513025,1084,298,15,m6_ln_sn_dep,DEV,acoplado,0.11161837327552214
d_carbon,0.0022398561088583808,0.004055858783192398,-0.0057420071577166856,0.010221719375433447,0.5811910521072556,1084,298,15,m6_ln_sn_dep,DEV,acoplado,0.7087044480370627
d_exceso,0.004155954372458759,0.006973316870506896,-0.009567418345926844,0.017879327090844364,0.5516427950621787,1084,298,15,m6_ln_sn_dep,DEV,acoplado,0.7001620091173807
d_aire,-0.0034142591465432257,0.0020510167627400154,-0.007450626345886035,0.0006221080527995838,0.09703384023084985,1084,298,15,m6_ln_sn_dep,DEV,acoplado,0.2169639932566258
C_x_exceso,0.00034614824902411996,0.0005662525310164667,-0.0007682274032188713,0.0014605239012671113,0.5414708287990809,1084,298,15,m6_ln_sn_dep,DEV,acoplado,0.7001620091173807
C_x_GN,-0.00035005833843550845,0.0006260910468030909,-0.0015821952039295408,0.0008820785270585239,0.5765030128830761,1084,298,15,m6_ln_sn_dep,DEV,acoplado,0.7087044480370627
C_x_Sn,-0.000753817795255386,0.000743592606941595,-0.0022171957953079973,0.0007095602047972251,0.3115266912981599,1084,298,15,m6_ln_sn_dep,DEV,acoplado,0.46729003694723986
gn_0,0.10266274705277041,0.030193312147724954,0.042307176064570316,0.1630183180409705,0.0011827690992012511,242,63,10,m6_ln_sn_dep,LB,v11_estructura,0.026020920182427524
gn_1,0.02152807712674063,0.013421148477554452,-0.0053004164057666135,0.04835657065924788,0.1137874367004778,242,63,10,m6_ln_sn_dep,LB,v11_estructura,0.26821324365112625
gn_2,0.020053513718195314,0.01848689131851831,-0.016901255466014436,0.05700828290240506,0.2822358394905356,242,63,10,m6_ln_sn_dep,LB,v11_estructura,0.44351346205655595
gn_3,0.0319586963316616,0.020946285702599113,-0.009912332175477517,0.07382972483880072,0.13215873508537465,242,63,10,m6_ln_sn_dep,LB,v11_estructura,0.2951680112940895
d_carbon,-0.007134272692660756,0.004099828007305757,-0.01532971210400068,0.0010611667186791688,0.08679621751015093,242,63,10,m6_ln_sn_dep,LB,v11_estructura,0.24775652992454353
gn_0,0.11280675877815183,0.033069666262802014,0.04670143784101094,0.17891207971529272,0.0011433530388794222,242,63,12,m6_ln_sn_dep,LB,conjunto,0.026020920182427524
gn_1,0.037698414757512934,0.01659217159089464,0.004531136341584141,0.07086569317344173,0.026562599461678337,242,63,12,m6_ln_sn_dep,LB,conjunto,0.1230020615505252
gn_2,0.03481634743120371,0.01740742781323533,1.9395047731650406e-05,0.06961329981467576,0.04987633684951579,242,63,12,m6_ln_sn_dep,LB,conjunto,0.17325464379305483
gn_3,0.05552907631022128,0.022098209632749038,0.011355384676923312,0.09970276794351926,0.014591197497061843,242,63,12,m6_ln_sn_dep,LB,conjunto,0.10700211497845352
d_carbon,-0.007087262302888947,0.0041162119719784385,-0.015315452792945642,0.0011409281871677477,0.09009328360892492,242,63,12,m6_ln_sn_dep,LB,conjunto,0.24775652992454353
d_exceso,0.017374882000083035,0.010227934708119068,-0.0030704681595240847,0.03782023215969016,0.09437635433659157,242,63,12,m6_ln_sn_dep,LB,conjunto,0.24915357544860176
d_aire,-0.003206258885711113,0.0036486542221203454,-0.010499814751233263,0.004087296979811037,0.3829292655084539,242,63,12,m6_ln_sn_dep,LB,conjunto,0.539905448204159
gn_0,0.1118042849823791,0.03287487753873193,0.04608834115649357,0.17752022880826462,0.0011801446931275618,242,63,15,m6_ln_sn_dep,LB,acoplado,0.026020920182427524
gn_1,0.035517653399953844,0.021197881675353702,-0.006856308290522008,0.07789161509042969,0.09886734603517029,242,63,15,m6_ln_sn_dep,LB,acoplado,0.25097095532004765
gn_2,0.03292054770968889,0.018753860702352364,-0.004567885668725083,0.07040898108810287,0.08413023809256048,242,63,15,m6_ln_sn_dep,LB,acoplado,0.24775652992454353
gn_3,0.05038241964756834,0.022384355325487146,0.005636730924765104,0.09512810837037157,0.027955013988755727,242,63,15,m6_ln_sn_dep,LB,acoplado,0.1230020615505252
d_carbon,-0.012604725687728113,0.007081157969333526,-0.02675975877603975,0.0015503074005835255,0.07997011593771655,242,63,15,m6_ln_sn_dep,LB,acoplado,0.24775652992454353
d_exceso,0.017114237699876404,0.013052155242701355,-0.008976648866181491,0.0432051242659343,0.19461918966409308,242,63,15,m6_ln_sn_dep,LB,acoplado,0.3669961862237184
d_aire,-0.002490855163154102,0.003467247959105399,-0.009421785075897908,0.004440074749589703,0.4752121180802086,242,63,15,m6_ln_sn_dep,LB,acoplado,0.6389040412430412
C_x_exceso,0.0004083594293722819,0.0016661719905963893,-0.0029222709223087075,0.003738989781053271,0.8071973927569399,242,63,15,m6_ln_sn_dep,LB,acoplado,0.8834452884903521
C_x_GN,-0.00030644901123974403,0.0009089894565167552,-0.002123493044100389,0.0015105950216209006,0.7371563797431963,242,63,15,m6_ln_sn_dep,LB,acoplado,0.8388331217767405
C_x_Sn,0.0014891780536027076,0.0014612002436218772,-0.0014317196140796588,0.0044100757212850745,0.3120935889785036,242,63,15,m6_ln_sn_dep,LB,acoplado,0.4681403834677554
gn_0,0.04225520348123563,0.01967517541456277,0.003215386898223871,0.0812950200642474,0.034183216180803624,364,100,10,m6_ln_sn_dep,T1,v11_estructura,0.08352222862780508
gn_1,0.03753762845095519,0.017395069031668292,0.0030220376043030434,0.07205321929760734,0.0333505358048004,364,100,10,m6_ln_sn_dep,T1,v11_estructura,0.08352222862780508
gn_2,0.02724269131765044,0.012302896393332497,0.002831075740388704,0.051654306894912176,0.029099889099724975,364,100,10,m6_ln_sn_dep,T1,v11_estructura,0.07836030543906433
gn_3,0.05040176917510417,0.022845488558715286,0.005071363509627759,0.09573217484058058,0.02968193387843346,364,100,10,m6_ln_sn_dep,T1,v11_estructura,0.07836030543906433
d_carbon,-0.011507324710350965,0.0038131814426149466,-0.019073503968262292,-0.003941145452439639,0.0032374600603057068,364,100,10,m6_ln_sn_dep,T1,v11_estructura,0.03052462342573952
gn_0,0.07486733849289988,0.025833699380351162,0.023607674260219584,0.12612700272558017,0.004623672015261574,364,100,12,m6_ln_sn_dep,T1,conjunto,0.033906928111918214
gn_1,0.05854789479901278,0.02010478031247106,0.018655648895086842,0.09844014070293872,0.004436051766306182,364,100,12,m6_ln_sn_dep,T1,conjunto,0.033906928111918214
gn_2,0.051487224998870214,0.016922604150563104,0.01790910697833624,0.08506534301940419,0.003003943288067089,364,100,12,m6_ln_sn_dep,T1,conjunto,0.03052462342573952
gn_3,0.08777503470659263,0.028571509374875244,0.03108296147255494,0.14446710794063033,0.0027449957279262333,364,100,12,m6_ln_sn_dep,T1,conjunto,0.03052462342573952
d_carbon,-0.011347185007695985,0.004070646233168768,-0.019424230267460853,-0.00327013974793112,0.006367718020171596,364,100,12,m6_ln_sn_dep,T1,conjunto,0.04202693893313253
d_exceso,0.026190942669846916,0.01427516247853322,-0.002134076706709072,0.054515962046402903,0.0695500112895816,364,100,12,m6_ln_sn_dep,T1,conjunto,0.1480742175842705
d_aire,-0.005666655692425398,0.0031672410527674062,-0.011951149079086894,0.0006178376942360996,0.07664943484960887,364,100,12,m6_ln_sn_dep,T1,conjunto,0.15610044803660655
gn_0,0.07761987010706278,0.03136595853609599,0.01538300347698443,0.13985673673714114,0.015036510465947799,364,100,15,m6_ln_sn_dep,T1,acoplado,0.055133871708475266
gn_1,0.06256404033377809,0.020287745538916952,0.022308751725987362,0.10281932894156881,0.0026483572745390955,364,100,15,m6_ln_sn_dep,T1,acoplado,0.03052462342573952
gn_2,0.042599563499162184,0.017073702295852655,0.008721633977391417,0.07647749302093296,0.014248622785439874,364,100,15,m6_ln_sn_dep,T1,acoplado,0.055133871708475266
gn_3,0.08635272174941747,0.026951231040508977,0.03287563225271752,0.1398298112461174,0.0018237881616287744,364,100,15,m6_ln_sn_dep,T1,acoplado,0.03052462342573952
d_carbon,0.0017417681525931398,0.006523932059419991,-0.011203128430706092,0.01468666473589237,0.7900388724205123,364,100,15,m6_ln_sn_dep,T1,acoplado,0.8690427596625635
d_exceso,0.02814697858449037,0.013817641629004155,0.0007297798332741683,0.055564177335706566,0.04431585243420069,364,100,15,m6_ln_sn_dep,T1,acoplado,0.10085676760887054
d_aire,-0.011859047465634508,0.004681776039856338,-0.02114870684744858,-0.0025693880838204355,0.012878653299548794,364,100,15,m6_ln_sn_dep,T1,acoplado,0.053124444860638775
C_x_exceso,0.0005494398963892607,0.0007832705805450783,-0.001004738867207218,0.0021036186599857395,0.4846561867418673,364,100,15,m6_ln_sn_dep,T1,acoplado,0.5923575615733933
C_x_GN,-0.0012952624259666436,0.0008701645511361172,-0.003021857679000513,0.0004313328270672259,0.13979087120166547,364,100,15,m6_ln_sn_dep,T1,acoplado,0.24935668917053844
C_x_Sn,-0.0020304880428133085,0.0011403585424735751,-0.004293206793675756,0.0002322307080491388,0.07805022401830328,364,100,15,m6_ln_sn_dep,T1,acoplado,0.15610044803660655
gn_0,0.15758792351900458,0.045390580721129226,0.06752316380978834,0.24765268322822082,0.0007677551046266651,359,100,10,m6_ln_sn_dep,T2,v11_estructura,0.012667959226339974
gn_1,0.0230632585990797,0.014223767850908156,-0.005159782686122168,0.051286299884281565,0.10809991737419612,359,100,10,m6_ln_sn_dep,T2,v11_estructura,0.28999481008518113
gn_2,0.032726973852097066,0.018931851749341994,-0.004837927313868284,0.07029187501806242,0.08698514624623502,359,100,10,m6_ln_sn_dep,T2,v11_estructura,0.2733818882024529
