variable,theta,se,ci_lo,ci_hi,p,n,batches,rank,target,escenario,fraccion_fe_dross,periodo
gn_0,0.045069127739619706,0.018420927779280612,0.008817045347850376,0.08132121013138904,0.014999694863929184,1084,298,12,ysn,base,0.3,DEV
gn_1,0.016212266212633927,0.010936583993607068,-0.005310750910678008,0.03773528333594586,0.13929721483275892,1084,298,12,ysn,base,0.3,DEV
gn_2,0.031237872432295158,0.011356376000401597,0.008888711555526969,0.05358703330906335,0.006312065567435298,1084,298,12,ysn,base,0.3,DEV
gn_3,0.03482930673420635,0.015304811074870313,0.004709690679866117,0.06494892278854658,0.023575465968234493,1084,298,12,ysn,base,0.3,DEV
gn_0,0.11280675877815999,0.03306966626280491,0.04670143784101331,0.17891207971530665,0.0011433530388796067,242,63,12,ysn,base,0.3,LB
gn_1,0.03769841475751378,0.016592171590895436,0.0045311363415833986,0.07086569317344416,0.026562599461682018,242,63,12,ysn,base,0.3,LB
gn_2,0.03481634743120472,0.01740742781323548,1.939504773236511e-05,0.06961329981467708,0.049876336849511205,242,63,12,ysn,base,0.3,LB
gn_3,0.055529076310221734,0.022098209632749746,0.011355384676922348,0.09970276794352112,0.014591197497064095,242,63,12,ysn,base,0.3,LB
gn_0,0.045069127739619706,0.018420927779280612,0.008817045347850376,0.08132121013138904,0.014999694863929184,1084,298,12,ysn,base,0.5,DEV
gn_1,0.016212266212633927,0.010936583993607068,-0.005310750910678008,0.03773528333594586,0.13929721483275892,1084,298,12,ysn,base,0.5,DEV
gn_2,0.031237872432295158,0.011356376000401597,0.008888711555526969,0.05358703330906335,0.006312065567435298,1084,298,12,ysn,base,0.5,DEV
gn_3,0.03482930673420635,0.015304811074870313,0.004709690679866117,0.06494892278854658,0.023575465968234493,1084,298,12,ysn,base,0.5,DEV
gn_0,0.11280675877815999,0.03306966626280491,0.04670143784101331,0.17891207971530665,0.0011433530388796067,242,63,12,ysn,base,0.5,LB
gn_1,0.03769841475751378,0.016592171590895436,0.0045311363415833986,0.07086569317344416,0.026562599461682018,242,63,12,ysn,base,0.5,LB
gn_2,0.03481634743120472,0.01740742781323548,1.939504773236511e-05,0.06961329981467708,0.049876336849511205,242,63,12,ysn,base,0.5,LB
gn_3,0.055529076310221734,0.022098209632749746,0.011355384676922348,0.09970276794352112,0.014591197497064095,242,63,12,ysn,base,0.5,LB
gn_0,0.045069127739619706,0.018420927779280612,0.008817045347850376,0.08132121013138904,0.014999694863929184,1084,298,12,ysn,base,0.6,DEV
gn_1,0.016212266212633927,0.010936583993607068,-0.005310750910678008,0.03773528333594586,0.13929721483275892,1084,298,12,ysn,base,0.6,DEV
gn_2,0.031237872432295158,0.011356376000401597,0.008888711555526969,0.05358703330906335,0.006312065567435298,1084,298,12,ysn,base,0.6,DEV
gn_3,0.03482930673420635,0.015304811074870313,0.004709690679866117,0.06494892278854658,0.023575465968234493,1084,298,12,ysn,base,0.6,DEV
gn_0,0.11280675877815999,0.03306966626280491,0.04670143784101331,0.17891207971530665,0.0011433530388796067,242,63,12,ysn,base,0.6,LB
gn_1,0.03769841475751378,0.016592171590895436,0.0045311363415833986,0.07086569317344416,0.026562599461682018,242,63,12,ysn,base,0.6,LB
gn_2,0.03481634743120472,0.01740742781323548,1.939504773236511e-05,0.06961329981467708,0.049876336849511205,242,63,12,ysn,base,0.6,LB
gn_3,0.055529076310221734,0.022098209632749746,0.011355384676922348,0.09970276794352112,0.014591197497064095,242,63,12,ysn,base,0.6,LB
gn_0,0.04466269294820775,0.01829158393529586,0.008665157110509247,0.08066022878590626,0.015201432881570661,1084,298,12,ysn,Sn_II,0.3,DEV
gn_1,0.016670638293495983,0.011053735617922304,-0.0050829312964394,0.038424207883431365,0.13258034869950816,1084,298,12,ysn,Sn_II,0.3,DEV
gn_2,0.03183524403656117,0.011401308180649964,0.009397657369304958,0.05427283070381738,0.005573926784620512,1084,298,12,ysn,Sn_II,0.3,DEV
gn_3,0.03551303480508807,0.015329233524922463,0.005345355771395884,0.06568071383878026,0.02120107540222963,1084,298,12,ysn,Sn_II,0.3,DEV
gn_0,0.11873903666267487,0.03803080688184497,0.04271653693606976,0.19476153638927995,0.0027268676053021496,242,63,12,ysn,Sn_II,0.3,LB
gn_1,0.03687017487735758,0.016201528159041315,0.0044837815550197585,0.0692565681996954,0.026329214894456037,242,63,12,ysn,Sn_II,0.3,LB
gn_2,0.03464665896662258,0.01696916046773267,0.000725790523656164,0.06856752740958899,0.04543768080414738,242,63,12,ysn,Sn_II,0.3,LB
gn_3,0.05507994260966642,0.02178070421884778,0.011540935255260953,0.09861894996407189,0.014002697554266034,242,63,12,ysn,Sn_II,0.3,LB
gn_0,0.04466269294820775,0.01829158393529586,0.008665157110509247,0.08066022878590626,0.015201432881570661,1084,298,12,ysn,Sn_II,0.5,DEV
gn_1,0.016670638293495983,0.011053735617922304,-0.0050829312964394,0.038424207883431365,0.13258034869950816,1084,298,12,ysn,Sn_II,0.5,DEV
gn_2,0.03183524403656117,0.011401308180649964,0.009397657369304958,0.05427283070381738,0.005573926784620512,1084,298,12,ysn,Sn_II,0.5,DEV
gn_3,0.03551303480508807,0.015329233524922463,0.005345355771395884,0.06568071383878026,0.02120107540222963,1084,298,12,ysn,Sn_II,0.5,DEV
gn_0,0.11873903666267487,0.03803080688184497,0.04271653693606976,0.19476153638927995,0.0027268676053021496,242,63,12,ysn,Sn_II,0.5,LB
gn_1,0.03687017487735758,0.016201528159041315,0.0044837815550197585,0.0692565681996954,0.026329214894456037,242,63,12,ysn,Sn_II,0.5,LB
gn_2,0.03464665896662258,0.01696916046773267,0.000725790523656164,0.06856752740958899,0.04543768080414738,242,63,12,ysn,Sn_II,0.5,LB
