periodo,target,modelo,n,mae,r2
TOTAL,dross_pp,acoplado,256,3.234842125521202,-0.09071061908395306
TOTAL,dross_pp,conjunto,256,3.2159784837789616,-0.08403000082860923
TOTAL,dross_pp,solo_contexto,256,3.2720477128040506,-0.11354852003885285
TOTAL,dross_pp,v11_gn,256,3.171987687808731,-0.06539105734492878
TOTAL,feo_neto_kg,acoplado,186,836.5262012827487,-0.10374782649472825
TOTAL,feo_neto_kg,conjunto,186,817.8598479380564,-0.08501518110792783
TOTAL,feo_neto_kg,solo_contexto,186,809.7830235608037,-0.07239014437651736
TOTAL,feo_neto_kg,v11_gn,186,766.3607458025605,0.004975288472015782
TOTAL,polvo_pp,acoplado,256,2.8381993964735766,-0.1340913728897346
TOTAL,polvo_pp,conjunto,256,2.8457089504748705,-0.13577539642656133
TOTAL,polvo_pp,solo_contexto,256,2.8081198015264586,-0.11856118096042123
TOTAL,polvo_pp,v11_gn,256,2.8465856537757475,-0.1313754101706721
TOTAL,recuperacion_refinada_pct,acoplado,256,3.914332848004165,-0.17394637109237854
TOTAL,recuperacion_refinada_pct,conjunto,256,3.895961343213148,-0.16252519327303006
TOTAL,recuperacion_refinada_pct,solo_contexto,256,3.9277008448125295,-0.17421737804151594
TOTAL,recuperacion_refinada_pct,v11_gn,256,3.8852816059176254,-0.15274177068820416
DEV,dross_pp,acoplado,193,3.127873158934896,-0.05753728302796235
DEV,dross_pp,conjunto,193,3.0974336666046467,-0.045207949483025756
DEV,dross_pp,solo_contexto,193,3.128913647703826,-0.06038534692061148
DEV,dross_pp,v11_gn,193,3.0146906163698777,-0.011097879900353158
DEV,feo_neto_kg,acoplado,133,883.8873522514697,-0.19729603451795552
DEV,feo_neto_kg,conjunto,133,855.6189168362362,-0.17014186175480916
DEV,feo_neto_kg,solo_contexto,133,846.8970829500522,-0.15248023926841459
DEV,feo_neto_kg,v11_gn,133,787.7607249386556,-0.051261245101268615
DEV,polvo_pp,acoplado,193,2.9388731139966784,-0.1384368541021801
DEV,polvo_pp,conjunto,193,2.94494813141846,-0.13811406749137545
DEV,polvo_pp,solo_contexto,193,2.9061087250982798,-0.12526169160436473
DEV,polvo_pp,v11_gn,193,2.9384466795190427,-0.12829191669785134
DEV,recuperacion_refinada_pct,acoplado,193,4.007595127757301,-0.19265200377624359
DEV,recuperacion_refinada_pct,conjunto,193,3.9710299376261537,-0.17272473726448379
DEV,recuperacion_refinada_pct,solo_contexto,193,4.026860241691724,-0.1894564999358328
DEV,recuperacion_refinada_pct,v11_gn,193,3.8938770452796128,-0.1329177537876356
LB,dross_pp,acoplado,63,3.5625407056982965,-0.3578583190162392
LB,dross_pp,conjunto,63,3.5791395903605903,-0.36839055712462776
LB,dross_pp,solo_contexto,63,3.710537785253943,-0.44844039374277633
LB,dross_pp,v11_gn,63,3.653866017772202,-0.3968452810013281
LB,feo_neto_kg,acoplado,53,717.6765205499204,0.024201136958448388
LB,feo_neto_kg,conjunto,53,723.1059580614924,0.019768533270408506
LB,feo_neto_kg,solo_contexto,53,716.6477424519352,0.018744713082927578
LB,feo_neto_kg,v11_gn,53,712.6589113666995,0.03400667340405372
LB,polvo_pp,acoplado,63,2.5297862618393108,-0.13339388427013987
LB,polvo_pp,conjunto,63,2.5416905072667295,-0.14367067543540446
LB,polvo_pp,solo_contexto,63,2.5079315118540553,-0.10756656659906927
LB,polvo_pp,v11_gn,63,2.565170130466921,-0.16234645345169563
LB,recuperacion_refinada_pct,acoplado,63,3.6286245941572544,-0.17966639046938004
LB,recuperacion_refinada_pct,conjunto,63,3.665989300011399,-0.19873019005705306
LB,recuperacion_refinada_pct,solo_contexto,63,3.6239268194524565,-0.1926729766458133
LB,recuperacion_refinada_pct,v11_gn,63,3.858949545649947,-0.2984817550169776
R3_completo,dross_pp,acoplado,186,3.2489919613784766,-0.11093614839600696
R3_completo,dross_pp,conjunto,186,3.2259342152620207,-0.1024743012569731
R3_completo,dross_pp,solo_contexto,186,3.294691942641045,-0.13602401501720585
R3_completo,dross_pp,v11_gn,186,3.1612552878081117,-0.0737129678585724
R3_completo,feo_neto_kg,acoplado,186,836.5262012827487,-0.10374782649472825
R3_completo,feo_neto_kg,conjunto,186,817.8598479380564,-0.08501518110792783
R3_completo,feo_neto_kg,solo_contexto,186,809.7830235608037,-0.07239014437651736
R3_completo,feo_neto_kg,v11_gn,186,766.3607458025605,0.004975288472015782
R3_completo,polvo_pp,acoplado,186,2.7293217364497453,-0.11093764764661418
R3_completo,polvo_pp,conjunto,186,2.742671924539573,-0.11695712091374766
R3_completo,polvo_pp,solo_contexto,186,2.6837168751666187,-0.0880031092973923
R3_completo,polvo_pp,v11_gn,186,2.759723605349041,-0.12481077385468908
R3_completo,recuperacion_refinada_pct,acoplado,186,3.943932718541498,-0.15868158613707317
R3_completo,recuperacion_refinada_pct,conjunto,186,3.9337130779115927,-0.1518772674156963
R3_completo,recuperacion_refinada_pct,solo_contexto,186,3.9688342033387487,-0.15744375959455614
R3_completo,recuperacion_refinada_pct,v11_gn,186,3.932819964554984,-0.1503177030434475
