Batch,pos,y,R3_observado,pred,modelo,target,train_end
AP0101,100,4067.0777767773907,True,4482.854009849149,solo_contexto,feo_neto_kg,99
AP0102,101,5343.514250301641,True,4909.155226804768,solo_contexto,feo_neto_kg,99
AP0104,103,4073.521854105109,True,4654.195492913857,solo_contexto,feo_neto_kg,99
AP0108,107,3350.0856878768172,True,4799.358761219151,solo_contexto,feo_neto_kg,99
AP0109,108,4723.06918826802,True,4331.899598295666,solo_contexto,feo_neto_kg,99
AP0111,110,3199.829254422213,True,4839.726001794614,solo_contexto,feo_neto_kg,99
AP0112,111,4217.1189033487335,True,4713.586163823202,solo_contexto,feo_neto_kg,99
AP0113,112,2562.5309742805766,True,4228.025920909488,solo_contexto,feo_neto_kg,99
AP0114,113,4098.247519360009,True,4955.722016483878,solo_contexto,feo_neto_kg,99
AP0116,115,3138.5397925570196,True,4503.51907296319,solo_contexto,feo_neto_kg,99
AP0117,116,2353.80972811884,True,4156.560019826861,solo_contexto,feo_neto_kg,99
AP0118,117,4496.442913413832,True,4410.272906759242,solo_contexto,feo_neto_kg,99
AP0101,100,4067.0777767773907,True,4594.993344182876,v11_gn,feo_neto_kg,99
AP0102,101,5343.514250301641,True,4932.963733726613,v11_gn,feo_neto_kg,99
AP0104,103,4073.521854105109,True,4720.004874332013,v11_gn,feo_neto_kg,99
AP0108,107,3350.0856878768172,True,4614.403673439556,v11_gn,feo_neto_kg,99
AP0109,108,4723.06918826802,True,4231.481527533308,v11_gn,feo_neto_kg,99
AP0111,110,3199.829254422213,True,4870.334618487665,v11_gn,feo_neto_kg,99
AP0112,111,4217.1189033487335,True,4638.942193495326,v11_gn,feo_neto_kg,99
AP0113,112,2562.5309742805766,True,4191.559825625977,v11_gn,feo_neto_kg,99
AP0114,113,4098.247519360009,True,4767.189921303949,v11_gn,feo_neto_kg,99
AP0116,115,3138.5397925570196,True,4333.165177377913,v11_gn,feo_neto_kg,99
AP0117,116,2353.80972811884,True,4305.669002052448,v11_gn,feo_neto_kg,99
AP0118,117,4496.442913413832,True,4572.0859472744305,v11_gn,feo_neto_kg,99
AP0101,100,4067.0777767773907,True,4452.512932143815,conjunto,feo_neto_kg,99
AP0102,101,5343.514250301641,True,4865.683421215634,conjunto,feo_neto_kg,99
AP0104,103,4073.521854105109,True,4642.609374818082,conjunto,feo_neto_kg,99
AP0108,107,3350.0856878768172,True,4862.868563554754,conjunto,feo_neto_kg,99
AP0109,108,4723.06918826802,True,4362.470200747986,conjunto,feo_neto_kg,99
AP0111,110,3199.829254422213,True,4821.611721949358,conjunto,feo_neto_kg,99
AP0112,111,4217.1189033487335,True,4696.145451637799,conjunto,feo_neto_kg,99
