Batch,pos,score,modelo,train_end
AP0101,100,413.1164229966474,v11_gn,99
AP0102,101,271.50760593867403,v11_gn,99
AP0103,102,,v11_gn,99
AP0104,103,297.59990424214004,v11_gn,99
AP0105,104,89.64444709637718,v11_gn,99
AP0106,105,-4.239350444121822,v11_gn,99
AP0107,106,-425.55015760390626,v11_gn,99
AP0108,107,-354.8552595752826,v11_gn,99
AP0109,108,-203.67221090840854,v11_gn,99
AP0110,109,-68.25349495959595,v11_gn,99
AP0111,110,110.68983097946364,v11_gn,99
AP0112,111,-371.8084534571493,v11_gn,99
AP0113,112,-348.5609155104719,v11_gn,99
AP0114,113,-634.2753538879865,v11_gn,99
AP0115,114,220.50950554821452,v11_gn,99
AP0116,115,-716.838016831619,v11_gn,99
AP0117,116,217.85156807243897,v11_gn,99
AP0118,117,389.09043903743986,v11_gn,99
AP0119,118,-11.103471784472262,v11_gn,99
AP0120,119,-618.8290891805165,v11_gn,99
AP0101,100,537.0192010958917,conjunto,99
AP0102,101,840.1342427645868,conjunto,99
AP0103,102,,conjunto,99
AP0104,103,391.7609967027727,conjunto,99
AP0105,104,206.1297678930589,conjunto,99
AP0106,105,14.729750850118364,conjunto,99
AP0107,106,-632.7673395578686,conjunto,99
AP0108,107,-378.5209264203219,conjunto,99
AP0109,108,-215.57062427012104,conjunto,99
AP0110,109,-52.129537070982856,conjunto,99
AP0111,110,207.37731181023094,conjunto,99
AP0112,111,44.04788694801459,conjunto,99
AP0113,112,-328.3229509302133,conjunto,99
AP0114,113,-631.5656003144986,conjunto,99
AP0115,114,323.9119960282314,conjunto,99
AP0116,115,379.2364705890287,conjunto,99
AP0117,116,620.3751664441899,conjunto,99
AP0118,117,587.6128957518405,conjunto,99
AP0119,118,204.65494980653278,conjunto,99
AP0120,119,-699.3312774524599,conjunto,99
AP0101,100,65.96291354034761,acoplado,99
AP0102,101,651.9297033224092,acoplado,99
AP0103,102,,acoplado,99
AP0104,103,-150.87184292599355,acoplado,99
AP0105,104,-225.19603373119236,acoplado,99
AP0106,105,-442.514414442317,acoplado,99
AP0107,106,-599.8599595266686,acoplado,99
AP0108,107,-812.0600486911123,acoplado,99
AP0109,108,-791.1544238184445,acoplado,99
AP0110,109,-87.13140718610613,acoplado,99
AP0111,110,581.153145890531,acoplado,99
AP0112,111,-506.5865758216352,acoplado,99
AP0113,112,-403.62881876812565,acoplado,99
AP0114,113,-1056.8312593160927,acoplado,99
AP0115,114,-132.14218980171157,acoplado,99
AP0116,115,1078.6929366334507,acoplado,99
AP0117,116,324.9321616155492,acoplado,99
AP0118,117,930.3062460674435,acoplado,99
AP0119,118,318.4891232301395,acoplado,99
AP0120,119,-1060.2623414264128,acoplado,99
AP0121,120,153.05244315089237,v11_gn,119
AP0122,121,-174.1155717859243,v11_gn,119
AP0123,122,-517.1921161407162,v11_gn,119
AP0124,123,91.98087385431417,v11_gn,119
AP0125,124,-179.46031773092645,v11_gn,119
AP0126,125,54.05541280228001,v11_gn,119
AP0127,126,135.93319661100304,v11_gn,119
AP0128,127,-203.30803342116582,v11_gn,119
AP0129,128,51.59007040942626,v11_gn,119
AP0130,129,-493.93607807308365,v11_gn,119
AP0131,130,-175.26800495167603,v11_gn,119
AP0132,131,95.62221336610823,v11_gn,119
AP0133,132,-696.9717334549821,v11_gn,119
AP0134,133,18.910138776333074,v11_gn,119
AP0135,134,241.73299712749494,v11_gn,119
AP0136,135,44.46991663684718,v11_gn,119
AP0137,136,103.84005212188376,v11_gn,119
AP0138,137,345.35329840913886,v11_gn,119
AP0139,138,152.6177358771786,v11_gn,119
AP0140,139,103.35818667627733,v11_gn,119
AP0121,120,133.487241981267,conjunto,119
AP0122,121,-174.8255218140622,conjunto,119
AP0123,122,-654.4723272745096,conjunto,119
AP0124,123,62.815536282191545,conjunto,119
AP0125,124,-231.13776966986387,conjunto,119
AP0126,125,170.37970215805979,conjunto,119
AP0127,126,275.0599362682848,conjunto,119
AP0128,127,-194.21790752591426,conjunto,119
AP0129,128,80.68792397877596,conjunto,119
AP0130,129,-335.39194974915165,conjunto,119
AP0131,130,-155.49630397855395,conjunto,119
AP0132,131,177.5031464996202,conjunto,119
AP0133,132,-389.7705096143574,conjunto,119
AP0134,133,51.5881238809846,conjunto,119
AP0135,134,1314.3253929583898,conjunto,119
AP0136,135,-100.31315933222606,conjunto,119
AP0137,136,91.70021734549988,conjunto,119
AP0138,137,452.42905472243893,conjunto,119
AP0139,138,385.3473700014981,conjunto,119
AP0140,139,210.08979920176142,conjunto,119
AP0121,120,-269.63042954396815,acoplado,119
AP0122,121,-251.4726864690145,acoplado,119
AP0123,122,-900.0777007215271,acoplado,119
AP0124,123,-307.75560005444896,acoplado,119
AP0125,124,-767.4440533810085,acoplado,119
AP0126,125,-340.2403765744501,acoplado,119
AP0127,126,-270.66032601381767,acoplado,119
AP0128,127,-619.387282293688,acoplado,119
AP0129,128,-624.4733604025503,acoplado,119
AP0130,129,-527.2882980257712,acoplado,119
AP0131,130,-323.84122516881246,acoplado,119
AP0132,131,-55.04098508717581,acoplado,119
AP0133,132,-534.963157233638,acoplado,119
AP0134,133,-65.99794142282087,acoplado,119
AP0135,134,1632.7564965637152,acoplado,119
AP0136,135,-311.8011882094038,acoplado,119
AP0137,136,-124.45333259359755,acoplado,119
AP0138,137,261.29913958181567,acoplado,119
AP0139,138,243.56636782304503,acoplado,119
AP0140,139,104.29472866477198,acoplado,119
AP0141,140,119.91377799906302,v11_gn,139
AP0142,141,292.7403998253262,v11_gn,139
AP0143,142,23.93476130353027,v11_gn,139
AP0144,143,-623.8258986803254,v11_gn,139
AP0145,144,84.82755368192703,v11_gn,139
AP0146,145,-112.05375873096959,v11_gn,139
AP0147,146,-473.7441522742028,v11_gn,139
AP0148,147,-6.472924404767447,v11_gn,139
AP0149,148,135.97524319620868,v11_gn,139
AP0150,149,-47.10120925983439,v11_gn,139
AP0151,150,286.01594707846,v11_gn,139
AP0152,151,85.54343930113318,v11_gn,139
AP0153,152,-115.71656480578358,v11_gn,139
AP0154,153,-373.0698279242878,v11_gn,139
AP0155,154,-219.24592582410182,v11_gn,139
AP0156,155,-42.3744723749995,v11_gn,139
AP0157,156,-50.41826477431484,v11_gn,139
AP0158,157,-867.0821856410133,v11_gn,139
AP0159,158,-353.89802117890554,v11_gn,139
AP0160,159,127.45625092690562,v11_gn,139
AP0141,140,245.80169036235014,conjunto,139
AP0142,141,444.2335677816418,conjunto,139
AP0143,142,51.00464338079375,conjunto,139
AP0144,143,-877.9656798801688,conjunto,139
AP0145,144,160.9495819365352,conjunto,139
AP0146,145,-44.358333307800876,conjunto,139
AP0147,146,-521.6394624000503,conjunto,139
AP0148,147,286.1541446542424,conjunto,139
AP0149,148,366.2899621108561,conjunto,139
AP0150,149,83.74737054025329,conjunto,139
AP0151,150,417.9440778871693,conjunto,139
AP0152,151,230.69697055508226,conjunto,139
AP0153,152,58.36880137972264,conjunto,139
AP0154,153,-454.17697442308975,conjunto,139
AP0155,154,-136.4472251544765,conjunto,139
AP0156,155,248.40451709798452,conjunto,139
AP0157,156,-121.72173635147212,conjunto,139
AP0158,157,-461.13249076103364,conjunto,139
AP0159,158,-445.8677798252045,conjunto,139
AP0160,159,43.481803567567226,conjunto,139
AP0141,140,284.94296980054384,acoplado,139
AP0142,141,1041.2361334202274,acoplado,139
AP0143,142,-130.7881717098897,acoplado,139
AP0144,143,-1217.1686148776625,acoplado,139
AP0145,144,-218.28322729535216,acoplado,139
AP0146,145,-92.24967863426396,acoplado,139
AP0147,146,-1011.4658372742313,acoplado,139
AP0148,147,-249.4909676303409,acoplado,139
AP0149,148,236.00443557859737,acoplado,139
AP0150,149,-164.99442766634007,acoplado,139
AP0151,150,38.388592424555476,acoplado,139
AP0152,151,32.37959139368629,acoplado,139
AP0153,152,-228.9023401972695,acoplado,139
AP0154,153,-608.4558695995503,acoplado,139
AP0155,154,-390.0215700077501,acoplado,139
AP0156,155,-19.688079054977067,acoplado,139
AP0157,156,-175.70185889469542,acoplado,139
AP0158,157,-219.42324024265895,acoplado,139
AP0159,158,-597.864432257567,acoplado,139
AP0160,159,-199.00839871270952,acoplado,139
AP0161,160,-261.0299539205499,v11_gn,159
AP0162,161,79.33273581800717,v11_gn,159
AP0163,162,180.49191771667827,v11_gn,159
AP0164,163,,v11_gn,159
AP0165,164,-342.8649367450551,v11_gn,159
AP0166,165,26.74096893698215,v11_gn,159
AP0167,166,118.0630186316173,v11_gn,159
AP0168,167,-142.06826767241228,v11_gn,159
AP0169,168,392.7441032620085,v11_gn,159
AP0170,169,-164.8526308607038,v11_gn,159
AP0171,170,707.2227037024584,v11_gn,159
AP0172,171,173.7892583913253,v11_gn,159
AP0173,172,276.2177848766545,v11_gn,159
AP0174,173,335.7685302736553,v11_gn,159
AP0175,174,207.16973506155517,v11_gn,159
AP0176,175,301.991007512577,v11_gn,159
AP0177,176,-140.21466014718524,v11_gn,159
AP0178,177,158.5706911105531,v11_gn,159
AP0179,178,403.03390040262286,v11_gn,159
AP0180,179,350.8994651856245,v11_gn,159
AP0161,160,-520.7656911035981,conjunto,159
AP0162,161,-56.01703681314005,conjunto,159
AP0163,162,78.98987588164263,conjunto,159
AP0164,163,,conjunto,159
AP0165,164,-524.2225468751652,conjunto,159
AP0166,165,-61.93841525510325,conjunto,159
AP0167,166,597.8355076432844,conjunto,159
AP0168,167,-202.98516326812887,conjunto,159
AP0169,168,1055.1926611598758,conjunto,159
AP0170,169,-236.01816391774491,conjunto,159
AP0171,170,995.0253397305725,conjunto,159
AP0172,171,139.95794173933197,conjunto,159
AP0173,172,318.1457724668741,conjunto,159
AP0174,173,458.07909263367355,conjunto,159
AP0175,174,206.10456021956574,conjunto,159
AP0176,175,379.38920254118614,conjunto,159
AP0177,176,-93.03292337279592,conjunto,159
AP0178,177,94.10518621444325,conjunto,159
AP0179,178,454.93416235084965,conjunto,159
AP0180,179,474.78293919038106,conjunto,159
AP0161,160,-293.0686937973201,acoplado,159
AP0162,161,-491.16990408623394,acoplado,159
AP0163,162,-128.3204187486413,acoplado,159
AP0164,163,,acoplado,159
AP0165,164,-628.1360467456556,acoplado,159
AP0166,165,-271.179147367257,acoplado,159
AP0167,166,618.3106426268552,acoplado,159
AP0168,167,-341.8016855074645,acoplado,159
AP0169,168,1060.1716215161798,acoplado,159
AP0170,169,-287.2778425450764,acoplado,159
AP0171,170,922.6497525928464,acoplado,159
AP0172,171,153.98883495300336,acoplado,159
AP0173,172,-56.586515739575646,acoplado,159
AP0174,173,398.5749365918689,acoplado,159
AP0175,174,201.88647683374862,acoplado,159
AP0176,175,176.170024500387,acoplado,159
AP0177,176,-64.49944124476991,acoplado,159
AP0178,177,111.16613322855216,acoplado,159
AP0179,178,213.45999795700828,acoplado,159
AP0180,179,107.08481768036773,acoplado,159
AP0181,180,402.15723736888265,v11_gn,179
AP0182,181,1165.2200557796145,v11_gn,179
AP0183,182,446.82152649483766,v11_gn,179
AP0184,183,355.29433451781614,v11_gn,179
AP0185,184,484.83919667346345,v11_gn,179
AP0186,185,118.61570164189285,v11_gn,179
AP0187,186,1026.1692521946416,v11_gn,179
AP0188,187,354.9742290278257,v11_gn,179
AP0189,188,265.4574683760327,v11_gn,179
AP0190,189,429.5361716616246,v11_gn,179
AP0191,190,321.1342084582652,v11_gn,179
AP0192,191,42.694986169471676,v11_gn,179
AP0193,192,261.71226751413434,v11_gn,179
AP0194,193,19.502724053160648,v11_gn,179
AP0195,194,451.62345695812576,v11_gn,179
AP0196,195,799.1565383365744,v11_gn,179
AP0197,196,5.178543671758575,v11_gn,179
AP0198,197,145.0561914769405,v11_gn,179
AP0199,198,131.71137302156788,v11_gn,179
AP0200,199,754.9660199325475,v11_gn,179
AP0181,180,588.7121935360478,conjunto,179
AP0182,181,1910.0673685040315,conjunto,179
AP0183,182,931.7219251707185,conjunto,179
AP0184,183,507.4288513110296,conjunto,179
AP0185,184,731.1206718233902,conjunto,179
AP0186,185,198.9045767159564,conjunto,179
AP0187,186,1504.3846781646625,conjunto,179
AP0188,187,397.28556289363996,conjunto,179
AP0189,188,377.3176510683593,conjunto,179
AP0190,189,561.7759699058425,conjunto,179
AP0191,190,470.0710595181526,conjunto,179
AP0192,191,717.50671669233,conjunto,179
AP0193,192,474.33228906345846,conjunto,179
AP0194,193,302.17143948938275,conjunto,179
AP0195,194,666.2740122829747,conjunto,179
AP0196,195,1189.1729776986986,conjunto,179
AP0197,196,76.01690780458244,conjunto,179
AP0198,197,219.7681475895938,conjunto,179
AP0199,198,200.74930090618165,conjunto,179
AP0200,199,1404.7708687432942,conjunto,179
AP0181,180,1172.9796328753876,acoplado,179
AP0182,181,1853.2277621927005,acoplado,179
AP0183,182,708.5773202304244,acoplado,179
AP0184,183,400.37652372007904,acoplado,179
AP0185,184,586.7236872162706,acoplado,179
AP0186,185,86.47951200834235,acoplado,179
AP0187,186,1350.4133092590164,acoplado,179
AP0188,187,340.3414892411199,acoplado,179
AP0189,188,249.4622402074524,acoplado,179
AP0190,189,468.7905017011794,acoplado,179
AP0191,190,468.6356445601118,acoplado,179
AP0192,191,796.7734436311507,acoplado,179
AP0193,192,517.5560699694446,acoplado,179
AP0194,193,311.5548342648965,acoplado,179
AP0195,194,545.3580943390677,acoplado,179
AP0196,195,1214.2346372567115,acoplado,179
AP0197,196,-436.447877182009,acoplado,179
AP0198,197,16.361132899046567,acoplado,179
AP0199,198,-234.22385180587713,acoplado,179
AP0200,199,751.8091833194999,acoplado,179
AP0201,200,452.2799261204724,v11_gn,199
AP0202,201,113.95748475157983,v11_gn,199
AP0203,202,689.8869018229994,v11_gn,199
AP0204,203,235.71242772512858,v11_gn,199
AP0205,204,528.4762754845324,v11_gn,199
AP0206,205,466.33411477084826,v11_gn,199
AP0207,206,131.38836344985634,v11_gn,199
AP0208,207,40.8651277323681,v11_gn,199
AP0209,208,966.6785715611692,v11_gn,199
AP0210,209,92.29188270950121,v11_gn,199
AP0211,210,15.942849085844587,v11_gn,199
AP0212,211,820.061165484457,v11_gn,199
AP0213,212,273.960893755731,v11_gn,199
AP0214,213,240.4239335441813,v11_gn,199
AP0215,214,664.9946784311633,v11_gn,199
AP0216,215,380.70736287746223,v11_gn,199
AP0217,216,-173.51865239630393,v11_gn,199
AP0218,217,,v11_gn,199
AP0219,218,,v11_gn,199
AP0220,219,-786.665889610369,v11_gn,199
AP0201,200,593.4751974937772,conjunto,199
AP0202,201,77.46474338696038,conjunto,199
AP0203,202,983.2571173843269,conjunto,199
AP0204,203,390.7975113827448,conjunto,199
AP0205,204,720.4616304032304,conjunto,199
AP0206,205,1188.414717860626,conjunto,199
AP0207,206,237.1781444294355,conjunto,199
AP0208,207,92.0356998514806,conjunto,199
AP0209,208,1505.690115717885,conjunto,199
AP0210,209,183.11882783839178,conjunto,199
AP0211,210,48.85916185894328,conjunto,199
AP0212,211,1221.1087668059693,conjunto,199
AP0213,212,390.0524929463247,conjunto,199
AP0214,213,443.304962391892,conjunto,199
AP0215,214,899.7434698682,conjunto,199
AP0216,215,577.4553881120632,conjunto,199
AP0217,216,8.879718965290621,conjunto,199
AP0218,217,,conjunto,199
AP0219,218,,conjunto,199
AP0220,219,983.4400116414313,conjunto,199
AP0201,200,443.8357825910059,acoplado,199
AP0202,201,-83.42981180484433,acoplado,199
AP0203,202,667.3233716146481,acoplado,199
AP0204,203,333.4505054902302,acoplado,199
