periodo,target,modelo,delta_mae,ci_lo,ci_hi,n_batches
TOTAL,d_temperatura_horno_celsius,fenomenologico,-1.558103097824533,-2.013830431416714,-1.1303790979425221,262
TOTAL,d_temperatura_horno_celsius,reciente_150,-1.7425861945976324,-2.2690893514227453,-1.2511189960111802,262
TOTAL,d_temperatura_horno_celsius,selector_pasado,-1.5017541824060119,-2.001053459793362,-0.9807303585165317,262
TOTAL,ley_feo_escoria_pct,fenomenologico,0.011919119005238898,-0.015059831208051341,0.044012013749773135,261
TOTAL,ley_feo_escoria_pct,persistencia,0.23637959804929734,0.17326069189214507,0.2914104807364781,261
TOTAL,ley_feo_escoria_pct,reciente_150,0.011668459510318606,-0.011892892385404903,0.038656464625483195,261
TOTAL,ley_feo_escoria_pct,selector_pasado,0.01141993938854788,-0.004444613866092441,0.03331069709196077,261
TOTAL,ley_sn_escoria_pct,fenomenologico,-0.008329556947079753,-0.03242830716712108,0.016251010551172607,261
TOTAL,ley_sn_escoria_pct,persistencia,3.336356494672013,3.149918442717285,3.5296563167236323,261
TOTAL,ley_sn_escoria_pct,reciente_150,0.007933461556202715,-0.017715298537352275,0.034895569344821076,261
TOTAL,ley_sn_escoria_pct,selector_pasado,-0.014048457900776629,-0.03086060798217525,0.0016691425822509497,261
TOTAL,m6_ln_sn_dep,fenomenologico,-0.008004062813392094,-0.013907829676489035,-0.002165808246695374,261
TOTAL,m6_ln_sn_dep,reciente_150,-0.003273677294475117,-0.010156995220652651,0.0037117519728214927,261
TOTAL,m6_ln_sn_dep,selector_pasado,-0.006273958563286654,-0.011282395542159344,-0.0017485858000615853,261
TOTAL,m8_ln_feo_ret_dross50,fenomenologico,-0.0013366944657233933,-0.002685808813365765,-6.571589059044318e-05,261
TOTAL,m8_ln_feo_ret_dross50,reciente_150,-0.0006722749849410695,-0.002183773292213704,0.000809534259816277,261
TOTAL,m8_ln_feo_ret_dross50,selector_pasado,-0.0010760454344603577,-0.0021462736922088325,4.132153865621161e-06,261
TOTAL,temperatura_horno_celsius,fenomenologico,-0.7379721963779001,-1.5614878892225763,0.09989353763921528,262
TOTAL,temperatura_horno_celsius,persistencia,-0.2740917710671362,-2.295937153207212,1.4187201212356833,262
TOTAL,temperatura_horno_celsius,reciente_150,-0.8909382152994891,-1.693134651025633,-0.14180577338901754,262
TOTAL,temperatura_horno_celsius,selector_pasado,-0.37108354996905757,-1.0998897031152375,0.4023399286052025,262
DEV,d_temperatura_horno_celsius,fenomenologico,-1.6233683850748686,-2.1729683111391953,-1.05335053509861,199
DEV,d_temperatura_horno_celsius,reciente_150,-1.8062660228414649,-2.3970109992218247,-1.20049863105049,199
DEV,d_temperatura_horno_celsius,selector_pasado,-1.4891907103077735,-2.1357781588608744,-0.8952916480808143,199
DEV,ley_feo_escoria_pct,fenomenologico,0.02337817582077108,-0.010940143931986853,0.06443356480918681,198
DEV,ley_feo_escoria_pct,persistencia,0.2001287209380745,0.12791054711705122,0.26855598815499376,198
DEV,ley_feo_escoria_pct,reciente_150,0.013758762808537448,-0.014701662288741297,0.047656880685649,198
DEV,ley_feo_escoria_pct,selector_pasado,0.015053556466722207,-0.005923541232563021,0.0437152825225167,198
DEV,ley_sn_escoria_pct,fenomenologico,-0.001738744052415123,-0.0288014911814984,0.025829459770534677,198
DEV,ley_sn_escoria_pct,persistencia,3.165888338916443,2.9985607288946285,3.3334575930710924,198
DEV,ley_sn_escoria_pct,reciente_150,0.0030794537585665666,-0.024079743727684993,0.03190829191154005,198
DEV,ley_sn_escoria_pct,selector_pasado,-0.009277295309561007,-0.02356682457000114,0.004259333452968371,198
DEV,m6_ln_sn_dep,fenomenologico,-0.009646277918445858,-0.016612879108131164,-0.0025296161003051346,198
DEV,m6_ln_sn_dep,reciente_150,-0.003392132412458217,-0.01205812468255947,0.004827417158888055,198
DEV,m6_ln_sn_dep,selector_pasado,-0.00736568595239778,-0.0132300040635729,-0.00208836384353663,198
DEV,m8_ln_feo_ret_dross50,fenomenologico,-0.0015042962687559624,-0.003076233418907897,5.6267934598641515e-05,198
DEV,m8_ln_feo_ret_dross50,reciente_150,-0.00121233882156486,-0.0027502087802834785,0.00044740236568249244,198
DEV,m8_ln_feo_ret_dross50,selector_pasado,-0.0011607134548183248,-0.002514345297398155,6.573879461666457e-05,198
DEV,temperatura_horno_celsius,fenomenologico,-0.641668989419808,-1.744328773582932,0.42397808885993793,199
DEV,temperatura_horno_celsius,persistencia,-1.1430391963568172,-3.7092199918659943,1.0343159950543896,199
DEV,temperatura_horno_celsius,reciente_150,-0.8698283054092888,-1.837470541329157,0.1413167602322235,199
DEV,temperatura_horno_celsius,selector_pasado,-0.2779889735113472,-1.3274175287239454,0.710029517452706,199
LB,d_temperatura_horno_celsius,fenomenologico,-1.3519476666687107,-1.662008128489221,-1.056409601264934,63
