periodo,modelo,n,mae,r2
TOTAL,base,1037,14.245905376475926,0.8778684103000839
TOTAL,fenomenologico,1037,13.539646272276302,0.8925313338089793
TOTAL,incremental_base,1037,11.624432299931378,0.9189412866084266
TOTAL,incremental_fenomenologico,1037,10.096702737627428,0.9386725534845495
TOTAL,incremental_reciente_150,1037,9.944906733320947,0.9401564723451296
TOTAL,incremental_selector_pasado,1037,10.181294705318585,0.9363990809390244
TOTAL,persistencia,1037,14.062670554885116,0.8820622092087645
TOTAL,reciente_150,1037,13.389242575640571,0.8944552169244389
TOTAL,selector_pasado,1037,13.905309404680835,0.8881407750918033
DEV,base,785,16.503078407505257,0.8580067042337025
DEV,fenomenologico,785,15.904652490525462,0.874292656438127
DEV,incremental_base,785,13.075250930356532,0.9077292191252276
DEV,incremental_fenomenologico,785,11.491092020663945,0.9300523360297732
DEV,incremental_reciente_150,785,11.351396873262896,0.9315796913097802
DEV,incremental_selector_pasado,785,11.663669901239395,0.9269921012096942
DEV,persistencia,785,15.467886644178716,0.8680463986045655
DEV,reciente_150,785,15.678824387201828,0.87675889346049
DEV,selector_pasado,785,16.26666861731549,0.8693752592606505
LB,base,252,7.214632244102817,0.8600163111088803
LB,fenomenologico,252,6.172464203523953,0.891787727437515
LB,incremental_base,252,7.105017121821272,0.8683769106133694
LB,incremental_fenomenologico,252,5.753069455152565,0.9031163320993612
LB,incremental_reciente_150,252,5.563578321200191,0.9087058919765836
LB,incremental_selector_pasado,252,5.563578321200191,0.9087058919765836
LB,persistencia,252,9.685310911649102,0.7633460501824021
LB,reciente_150,252,6.257013519785072,0.8894832083310718
LB,selector_pasado,252,6.54948804786257,0.8830770954252791
