kpi,n,coef_sn,p_sn,coef_feo,p_feo,w_puntual,r2adj,w_ci_lo,w_ci_med,w_ci_hi,frac_ambos_positivos,outcome,variante
recuperacion_refinada_pct,285,2.1235619005899453,0.0012689552529685487,12.82687352553134,4.330218900140356e-07,6.040263541160686,0.12209206598099764,3.8208586273350735,6.056542411020147,13.604750843131805,1.0,recuperacion_refinada_pct,actual
recuperacion_refinada_pct_next,285,0.5353325617350831,0.5118407646819453,4.526113188955964,0.08597089413979711,8.454769077162497,0.009881914055870467,-65.04261630286015,4.209882539000294,98.07478156664168,0.754,recuperacion_refinada_pct,next
recuperacion_refinada_pct_mean_cur_next,285,1.3294472311625156,0.006647076516352037,8.676493357243656,2.4862407396914205e-05,6.526391686608443,0.11263237391056236,3.4005890357457553,6.794947570817683,17.59671688008497,1.0,recuperacion_refinada_pct,mean_cur_next
rendimiento_proxy_batch,285,1.569149787317839,0.026842745020714563,13.236848446671669,7.586499098059851e-07,8.435681891973822,0.12194755218972952,4.231990956789804,8.439355370215598,34.37653995234437,0.985,rendimiento_proxy_batch,actual
rendimiento_proxy_batch_next,285,0.48555742318536177,0.5604851688344895,4.848283662403519,0.05446788865022399,9.984985154995117,0.01485837815238833,-95.46814504940721,4.199567054420786,85.31014921761641,0.745,rendimiento_proxy_batch,next
rendimiento_proxy_batch_mean_cur_next,285,1.0273536052515988,0.035135959586231724,9.042566054537584,1.692196809735749e-05,8.801804956262416,0.11895118659257853,3.847944912505657,9.011665119643094,49.1911100267318,0.99,rendimiento_proxy_batch,mean_cur_next
f_dross,285,-0.01192917316736753,0.0410992257528793,-0.07405697272106875,9.927409842960649e-06,6.208055804207197,0.11540048867067243,2.6476429399322403,6.185933560380335,29.838104863127647,0.0,f_dross,actual
f_dross_next,285,-0.004560428227565827,0.4838382572897002,-0.051888744704688745,0.056194048966243,11.378042173987872,0.08747932005456183,-122.74227452622007,6.6373704457185605,91.81389864221289,0.002,f_dross,next
f_dross_mean_cur_next,285,-0.008244800697466673,0.033515310506354985,-0.06297285871287873,0.0006263751079391176,7.6378873211850955,0.1835308492144715,2.975353744829636,7.694168299656993,33.05378456674259,0.0,f_dross,mean_cur_next
recuperacion_real_pct,285,1.496353873176433,0.027069705937388392,7.181169811009794,0.0016912421557867133,4.799111987972295,0.13876861168474208,1.6273074002575558,4.7400979640957726,16.57800226570886,0.984,recuperacion_real_pct,actual
recuperacion_real_pct_next,285,0.4095787993274742,0.5989780615120656,4.412956740825127,0.04732583735081651,10.77437784394889,0.030218485141926488,-48.985966282645066,4.085957477383714,113.2900166701775,0.713,recuperacion_real_pct,next
recuperacion_real_pct_mean_cur_next,285,0.9529663362519557,0.04199953045791699,5.797063275917462,0.0007393716081072583,6.083177396084609,0.14289013402917305,1.0704955589850293,6.108550697833624,39.65599338822324,0.978,recuperacion_real_pct,mean_cur_next
