fase,target,variable,rol,n,sd_target,rango_rel_sd,forma,x_extremo,teoria,tipo_teorico,concuerda,comentario,shap_slope_global,shap_slope_avance_bajo,shap_slope_avance_medio,shap_slope_avance_alto
Reducción,v5_ln_sn_dep,tasa_feed_Carbon_kg_min,palanca,1039,0.6776,0.0516,monótona +,66.1125,signo esperado +1 (v5.SIGNO_TEORICO_V5),mono+,sí,forma + como se esperaba,9.192821418249225e-05,0.000141890546151811,0.00016581574043009951,0.00014009795752598808
Reducción,v5_ln_sn_dep,tasa_feed_Carbon_kg_min,palanca,1039,0.6776,0.0516,monótona +,66.1125,signo esperado +1 (v5.SIGNO_TEORICO_V5),mono+,sí,forma + como se esperaba,0.0006366635424347744,,,
Reducción,v5_ln_sn_dep,tasa_gn_nm3_min,palanca,1039,0.6776,0.2021,monótona +,29.7816,+ (calor + CO/H2 reductor),mono+,sí,forma + como se esperaba,0.002852439154220409,0.005662724104756258,0.0018429788393735389,0.0030498102800776777
Reducción,v5_ln_sn_dep,tasa_gn_nm3_min,palanca,1039,0.6776,0.2021,monótona +,29.7816,+ (calor + CO/H2 reductor),mono+,sí,forma + como se esperaba,0.005324269930062375,,,
Reducción,v5_ln_sn_dep,tasa_o2_nm3_min,palanca,1039,0.6776,0.0962,no monótona compleja,31.4144,signo esperado +0 (v5.SIGNO_TEORICO_V5),sin_restriccion,n/a,sin prediccion falsable,0.0007860953583013281,0.000518539580458503,0.0007566775024321121,0.0012880623109980112
Reducción,v5_ln_sn_dep,tasa_o2_nm3_min,palanca,1039,0.6776,0.0962,no monótona compleja,31.4144,signo esperado +0 (v5.SIGNO_TEORICO_V5),sin_restriccion,n/a,sin prediccion falsable,0.002880345822420477,,,
Reducción,v5_ln_sn_dep,tasa_aire_nm3_min,palanca,1039,0.6776,0.0916,óptimo interior,120.3372,"~0 / - (enfria, diluye)",mono-_debil,no,signo opuesto,0.000651678136406847,0.0006980554209030767,0.0006315108929705046,0.0006237484115248975
Reducción,v5_ln_sn_dep,tasa_aire_nm3_min,palanca,1039,0.6776,0.0916,óptimo interior,120.3372,"~0 / - (enfria, diluye)",mono-_debil,no,signo opuesto,-0.00013455470710113323,,,
Reducción,v5_ln_sn_dep,v5_dosis_C_sn,palanca,1039,0.6776,0.0641,óptimo interior,0.2761,"+ (SnO2+2C; 1er orden en C mientras hay SnOx), concava/saturante",mono+_sat,sí,forma + como se esperaba,-0.031160398462686534,0.029925457089114198,-0.04911052572879446,-0.020985530120641912
Reducción,v5_ln_sn_dep,v5_exceso_C_pos,palanca,1039,0.6776,0.0247,plana,296.9771,~0 (exceso ya no limita al Sn),sin_restriccion,n/a,sin prediccion falsable,-3.3969639661964725e-06,-5.969526815978224e-06,-2.9883870929279413e-06,-5.88955710769589e-06
Reducción,v5_ln_sn_dep,v5_C_x_avance,palanca,1039,0.6776,0.0376,plana,608.1466,no cubierta,no_cubierta,n/a,sin prediccion falsable,2.1151987928328976e-06,4.860286771920638e-06,1.1560057573037296e-06,5.718151570658288e-06
Reducción,v5_ln_sn_dep,Cx_sn_v4,palanca,1039,0.6776,0.4329,monótona +,770.454,signo esperado +1 (v5.SIGNO_TEORICO_V5),mono+,sí,forma + como se esperaba,0.00021287249276750184,0.00018115933145690223,0.0004300223494047215,0.0010215744027097305
Reducción,v5_ln_sn_dep,Cx_av_v4,palanca,1039,0.6776,0.0561,óptimo interior,36.6416,no cubierta,no_cubierta,n/a,sin prediccion falsable,-2.7480954827375597e-05,-0.0005197330313281323,0.000350741761446064,0.0004083093644377021
Reducción,v5_ln_sn_dep,exceso_o2_combustion_pct,palanca,1039,0.6776,0.1042,monótona -,65.4768,- (atmosfera oxidante frena la reduccion / reoxida Sn),mono-,sí,forma - como se esperaba,-0.0012818413427473961,-0.0007893752676319797,-0.0016566789625710378,-0.001366924542802961
Reducción,v5_ln_sn_dep,exceso_o2_combustion_pct,palanca,1039,0.6776,0.1042,monótona -,65.4768,- (atmosfera oxidante frena la reduccion / reoxida Sn),mono-,sí,forma - como se esperaba,0.0005370416712150445,,,
Reducción,v5_ln_sn_dep,v5_gn_esp_nm3_t,palanca,1039,0.6776,0.0856,óptimo interior,12.7023,signo esperado +1 (v5.SIGNO_TEORICO_V5),mono+,parcial,forma compleja,0.0021712759598627833,0.0011281973993296295,0.0029383616389502417,0.001914667880518832
Reducción,v5_ln_sn_dep,temperatura_horno_celsius_prev,estado,1039,0.6776,0.0538,valle,1121.5915,"+ con meseta (cinetica, viscosidad; ventana de volatilizacion/refractario)",mono+_sat,no,signo opuesto,,,,
Reducción,v5_ln_sn_dep,basicidad_B2_prev,estado,1039,0.6776,0.1443,óptimo interior,0.5342,"no monotona, optimo ~1.4 (viscosidad/liquidus)",optimo_interior,sí,optimo interior (maximo) detectado,,,,
Reducción,v5_ln_sn_dep,posicion_vertical_lanza_mm_prev,estado,1039,0.6776,0.5114,monótona -,4377.3287,"no monotona, valle 3300-4200mm",valle,no,no se detecto valle,,,,
Reducción,v5_ln_sn_dep,avance_reduccion_sn_prev,estado,1039,0.6776,0.5049,monótona -,0.9829,"+ en escala log (queda poco Sn, cada kg pesa mas)",mono+,no,signo opuesto,,,,
Reducción,v5_ln_sn_dep,ley_feo_escoria_pct_prev,estado,1039,0.6776,0.0766,valle,18.4657,no cubierta explicitamente,no_cubierta,n/a,sin prediccion falsable,,,,
Reducción,v5_ln_feo_ret,tasa_feed_Carbon_kg_min,palanca,1039,0.1087,0.0923,no monótona compleja,63.5667,signo esperado -1 (v5.SIGNO_TEORICO_V5),mono-,parcial,forma compleja,1.269976849400528e-05,9.37274553689678e-06,1.5468067575859833e-05,-2.1483424682550622e-05
Reducción,v5_ln_feo_ret,tasa_gn_nm3_min,palanca,1039,0.1087,0.2631,monótona -,29.7816,- (reductor no selectivo; exp19: GN total de Reduccion sube dross),mono-,sí,forma - como se esperaba,-0.00046467944020139895,-0.0006135292617167416,-0.0002838685543607171,-0.0002856622893893094
Reducción,v5_ln_feo_ret,tasa_o2_nm3_min,palanca,1039,0.1087,0.0545,valle,10.0732,signo esperado +1 (v5.SIGNO_TEORICO_V5),mono+,no,signo opuesto,-5.9949277246428484e-05,-0.00012732640725617855,-4.6906139475299726e-05,-9.241614280782698e-05
Reducción,v5_ln_feo_ret,tasa_aire_nm3_min,palanca,1039,0.1087,0.0952,valle,119.4308,+ debil (aporta O2),mono+_debil,no,signo opuesto,5.792033159482693e-05,3.180819863323206e-05,4.376138828768259e-05,0.00011950183309593515
Reducción,v5_ln_feo_ret,v5_dosis_C_sn,palanca,1039,0.1087,0.3098,no monótona compleja,1.2917,"aprox 0 con SnOx abundante (marginal, sin condicionar por avance)",sin_restriccion,n/a,sin prediccion falsable,0.03058418858242462,0.004775299613126907,0.045527179818007454,0.022284586299718717
Reducción,v5_ln_feo_ret,v5_exceso_C_pos,palanca,1039,0.1087,0.1431,valle,481.433,- (reductor disponible para FeO+C->Fe+CO),mono-,parcial,forma compleja,4.640182919833141e-06,8.662071424538751e-06,3.6199475321347654e-06,3.2866793894547922e-06
Reducción,v5_ln_feo_ret,v5_C_x_avance,palanca,1039,0.1087,0.2072,monótona -,1920.073,"- (crece con el avance: selectividad FeO/Sn del carbon, exp15)",mono-,sí,forma - como se esperaba,-2.120506955350478e-06,-4.352680710744711e-06,6.832913737717918e-07,-3.815892276138361e-06
Reducción,v5_ln_feo_ret,Cx_sn_v4,palanca,1039,0.1087,0.0399,plana,38.2188,no cubierta,no_cubierta,n/a,sin prediccion falsable,8.806522727190944e-07,2.49597087077556e-07,-2.8634423662728964e-06,-4.9816908584785295e-05
Reducción,v5_ln_feo_ret,Cx_av_v4,palanca,1039,0.1087,0.0285,plana,24.4644,signo esperado -1 (v5.SIGNO_TEORICO_V5),mono-,no,sin efecto detectado pese a teoria -,1.5937848732530847e-05,-1.048629496844367e-05,5.534972018085368e-05,1.5013423559715664e-05
Reducción,v5_ln_feo_ret,exceso_o2_combustion_pct,palanca,1039,0.1087,0.2464,monótona +,65.4768,+ (retiene FeO; lanza oxidante),mono+,sí,forma + como se esperaba,0.00037809004540589143,0.00026634821347553794,0.0004603046143332362,0.00041147878360214054
Reducción,v5_ln_feo_ret,v5_gn_esp_nm3_t,palanca,1039,0.1087,0.1304,no monótona compleja,13.9715,signo esperado -1 (v5.SIGNO_TEORICO_V5),mono-,parcial,forma compleja,-7.480819002926291e-05,0.0003957434157684421,-0.00022410783231248044,-0.0001957386518360749
Reducción,v5_ln_feo_ret,temperatura_horno_celsius_prev,estado,1039,0.1087,0.0743,monótona -,1137.9942,- (mas reduccion de FeO a T alta),mono-,sí,forma - como se esperaba,,,,
Reducción,v5_ln_feo_ret,basicidad_B2_prev,estado,1039,0.1087,0.7693,monótona +,4.4786,aprox 0,sin_restriccion,n/a,sin prediccion falsable,,,,
Reducción,v5_ln_feo_ret,posicion_vertical_lanza_mm_prev,estado,1039,0.1087,0.2691,monótona +,6520.752,"no monotona, sin confirmar",valle,no,no se detecto valle,,,,
Reducción,v5_ln_feo_ret,avance_reduccion_sn_prev,estado,1039,0.1087,0.1767,monótona -,0.9883,- (menos SnOx que compita),mono-,sí,forma - como se esperaba,,,,
Reducción,v5_ln_feo_ret,ley_feo_escoria_pct_prev,estado,1039,0.1087,0.0851,no monótona compleja,14.1985,no cubierta explicitamente,no_cubierta,n/a,sin prediccion falsable,,,,
Fusión,v5_d_lnirf,tasa_feed_Carbon_kg_min,palanca,1470,0.0673,0.2309,monótona +,63.4452,signo esperado -1 (v5.SIGNO_TEORICO_V5),mono-,no,signo opuesto,0.0003828009454909513,,,
