fase,target,parametrizacion,politica,n_train,n_test,r2_lockbox,mae_lockbox,theta_Cx_sn_v4,theta_tasa_gn_nm3_min,theta_exceso_o2_combustion_pct,theta_tasa_aire_nm3_min,theta_v5_dosis_C_sn,theta_tasa_feed_Carbon_kg_min,theta_Cx_av_v4,theta_v5_exceso_C_pos,theta_v5_C_x_avance,theta_relacion_C_Sn_carga
Reducción,v5_ln_sn_dep,P2,fijo_DEV,1039,242,0.8048284015973838,0.23169792185643667,0.0007119823003759646,0.005933694598600929,-0.0006530428763334463,0.0008913128883893222,,,,,,
Reducción,v5_ln_sn_dep,P2,progresivo_expandido_10,1102,242,0.8116255926398765,0.22643671550487474,0.0005717583409346859,0.008478142512842402,-0.00039492101406770827,0.0009549180917155318,,,,,,
Reducción,v5_ln_sn_dep,P2,ventana_movil_150,150,242,0.7990289476459034,0.23029949470967456,0.0009947891435874625,0.012299404054032046,0.00043345694657603775,0.00021215780726853775,,,,,,
Reducción,v5_ln_sn_dep,P3,fijo_DEV,1039,242,0.8021655080757059,0.23243270360421786,,0.00666128354485669,-0.000909213533208433,0.0017628621241755071,0.09299330215993658,,,,,
Reducción,v5_ln_sn_dep,P3,progresivo_expandido_10,1102,242,0.8092136485125059,0.22749658548502705,,0.0094155508454327,-0.0005137602959880557,0.001574804713805734,0.02728910572809834,,,,,
Reducción,v5_ln_sn_dep,P3,ventana_movil_150,150,242,0.8006767971915617,0.22832510825142738,,0.013639860379817449,0.0006132622676728126,0.0009786258422437941,-0.3012298176413956,,,,,
Reducción,v5_ln_feo_ret,P2,fijo_DEV,1039,242,0.12161491463889129,0.05610570603485676,,-0.0028927533593667816,-3.298648888062417e-05,0.00014265797709432448,,0.0009309077189306237,-3.0405280305988603e-05,,,
Reducción,v5_ln_feo_ret,P2,progresivo_expandido_10,1102,242,0.2859726375589413,0.04951199941457785,,-0.002077640609434698,0.00012382912099658913,2.849148632463785e-05,,0.0018231445510605532,-0.0013280309749265902,,,
Reducción,v5_ln_feo_ret,P2,ventana_movil_150,150,242,0.22402177498142273,0.05252354792202496,,-0.0036312378861152444,0.00014839417210417,-0.00032941981809275636,,-0.0014473856345801797,0.0030530859941323664,,,
Reducción,v5_ln_feo_ret,P3,fijo_DEV,1039,242,0.15124216131810464,0.05516772443505107,,-0.002673527314803731,-9.073072111380216e-06,0.00017952165055783132,,,,-3.353225400827413e-05,3.9035594413579774e-05,
Reducción,v5_ln_feo_ret,P3,progresivo_expandido_10,1102,242,0.29175971939832046,0.049330000404093466,,-0.001974605363599728,0.00012784851227333894,6.0128552737153625e-05,,,,-3.070039954389012e-05,3.2176867022628766e-05,
Reducción,v5_ln_feo_ret,P3,ventana_movil_150,150,242,0.20538585032838097,0.053025941005667605,,-0.0036639477619062545,0.000145876903709423,-0.0002855928104198497,,,,7.749565123691928e-05,1.5646737016198385e-05,
Reducción,v5_sdi_w10,P2,fijo_DEV,1039,242,0.1414476680194221,0.4759352692147679,,-0.0231423427001206,-0.0009267274235180604,0.0039182234274286725,,0.01374828893444106,-0.0031714546418383856,,,
Reducción,v5_sdi_w10,P2,progresivo_expandido_10,1102,242,0.21636574520976215,0.4527172387417612,,-0.01029917118654837,0.001464813536063218,0.001791291964145167,,0.03416259368323874,-0.03092766538898483,,,
Reducción,v5_sdi_w10,P2,ventana_movil_150,150,242,0.1550661341740439,0.4831884048605888,,-0.0250194011911272,0.0016375783392003902,-0.0009203349030642623,,-0.0019070382007390133,0.01435015090283106,,,
Reducción,v5_sdi_w10,P3,fijo_DEV,1039,242,0.1799316164564243,0.4655358033017754,,-0.02066765823581637,-0.0006603724391389152,0.004457635796691172,,,,-0.0003253458269060919,0.0004436594035455577,
Reducción,v5_sdi_w10,P3,progresivo_expandido_10,1102,242,0.2283927034446438,0.4475115458563562,,-0.009052451360679207,0.0013977550211627132,0.0022931503671953287,,,,-0.000187250052036644,0.0002734008709086104,
Reducción,v5_sdi_w10,P3,ventana_movil_150,150,242,0.13420503057947875,0.48642467103173903,,-0.025532268046375976,0.0015635321249638406,-0.0007145149467999558,,,,0.0004212922222205271,0.0002856946489150127,
Fusión,v5_d_lnirf,P2P3,fijo_DEV,1470,313,0.03891885038567866,0.04034124413896913,,-0.0009535181550891305,0.0004029069851456305,8.618311095891402e-07,,,,,,0.05512366469923677
Fusión,v5_d_lnirf,P2P3,progresivo_expandido_10,1533,313,0.05284708703791596,0.04013102185301704,,-0.0019719660828759577,2.727111624784771e-05,0.0003487960065120207,,,,,,0.06862412852649033
Fusión,v5_d_lnirf,P2P3,ventana_movil_150,150,313,0.08536810276425555,0.040461655047065864,,0.0013859614979921434,0.0007631988342683739,5.486498364085438e-05,,,,,,0.07369862938237545
Fusión,sn_extraido_est_kg,P2P3,fijo_DEV,1452,312,0.6177497456980753,1209.494959237108,,180.06278582382396,29.042117081272504,6.666502308953426,,,,,,-145.28911927390996
Fusión,sn_extraido_est_kg,P2P3,progresivo_expandido_10,1515,312,0.6632835119714375,1114.266765692252,,140.14301048885326,27.375858216133782,13.500798302666851,,,,,,423.1659808366147
Fusión,sn_extraido_est_kg,P2P3,ventana_movil_150,150,312,0.6305920941007588,1178.677476680122,,81.06830408142088,29.70393509656678,35.39041979809092,,,,,,-1980.783410646378
