fase,target,parametrizacion,bloque,tipo,n_train,n_test,r2,mae
Reducción,v5_ln_sn_dep,P2,1,walkforward_bloque,137.0,181.0,0.6630680146851355,0.3173065332744972
Reducción,v5_ln_sn_dep,P2,2,walkforward_bloque,318.0,175.0,0.7820061142760324,0.24315140537020308
Reducción,v5_ln_sn_dep,P2,3,walkforward_bloque,493.0,184.0,0.7605365076909727,0.2770322015037208
Reducción,v5_ln_sn_dep,P2,4,walkforward_bloque,677.0,178.0,0.6653095998336309,0.2637531356635231
Reducción,v5_ln_sn_dep,P2,5,walkforward_bloque,855.0,184.0,0.8266701901995144,0.22764419516948653
Reducción,v5_ln_sn_dep,P2,global_walkforward,walkforward_global,,902.0,0.744256902880787,0.2658453365836439
Reducción,v5_ln_sn_dep,P2,global_oof_aleatorio,oof_aleatorio,,1039.0,0.7624809472877668,0.2461297842003628
Reducción,v5_ln_sn_dep,P2,brecha,brecha_aleatorio_menos_walkforward,,,0.018224044406979778,0.0197155523832811
Reducción,v5_ln_sn_dep,P3,1,walkforward_bloque,137.0,181.0,0.656952000493628,0.3222559293951482
Reducción,v5_ln_sn_dep,P3,2,walkforward_bloque,318.0,175.0,0.7820694693558332,0.2432491106811474
Reducción,v5_ln_sn_dep,P3,3,walkforward_bloque,493.0,184.0,0.7597495860923604,0.2777443818612021
Reducción,v5_ln_sn_dep,P3,4,walkforward_bloque,677.0,178.0,0.6589880301465856,0.2664234961412416
Reducción,v5_ln_sn_dep,P3,5,walkforward_bloque,855.0,184.0,0.8219353984059784,0.2306583249061665
Reducción,v5_ln_sn_dep,P3,global_walkforward,walkforward_global,,902.0,0.7407591278946699,0.26814456535261577
Reducción,v5_ln_sn_dep,P3,global_oof_aleatorio,oof_aleatorio,,1039.0,0.7602745539845867,0.24683388762800992
Reducción,v5_ln_sn_dep,P3,brecha,brecha_aleatorio_menos_walkforward,,,0.019515426089916743,0.021310677724605848
Reducción,v5_ln_feo_ret,P2,1,walkforward_bloque,137.0,181.0,0.13962769363418837,0.06278440571263942
Reducción,v5_ln_feo_ret,P2,2,walkforward_bloque,318.0,175.0,-0.059086849180612244,0.058473854320081224
Reducción,v5_ln_feo_ret,P2,3,walkforward_bloque,493.0,184.0,0.33718516277245714,0.05402920873393311
Reducción,v5_ln_feo_ret,P2,4,walkforward_bloque,677.0,178.0,0.03553424995668719,0.08045753016393224
Reducción,v5_ln_feo_ret,P2,5,walkforward_bloque,855.0,184.0,0.3340936571175792,0.07214658915811248
Reducción,v5_ln_feo_ret,P2,global_walkforward,walkforward_global,,902.0,0.1435944971509021,0.0655595223074482
Reducción,v5_ln_feo_ret,P2,global_oof_aleatorio,oof_aleatorio,,1039.0,0.20602293085779488,0.06296097763869193
Reducción,v5_ln_feo_ret,P2,brecha,brecha_aleatorio_menos_walkforward,,,0.06242843370689277,0.002598544668756267
Reducción,v5_ln_feo_ret,P3,1,walkforward_bloque,137.0,181.0,0.10332449941175093,0.06520204396161497
Reducción,v5_ln_feo_ret,P3,2,walkforward_bloque,318.0,175.0,-0.054991521998387194,0.0586223030684103
Reducción,v5_ln_feo_ret,P3,3,walkforward_bloque,493.0,184.0,0.33970289087416816,0.05384393835158136
Reducción,v5_ln_feo_ret,P3,4,walkforward_bloque,677.0,178.0,0.035167461573049175,0.08035756493973253
Reducción,v5_ln_feo_ret,P3,5,walkforward_bloque,855.0,184.0,0.33546226875122287,0.07250704012212031
Reducción,v5_ln_feo_ret,P3,global_walkforward,walkforward_global,,902.0,0.13974765983089787,0.06608946739740311
Reducción,v5_ln_feo_ret,P3,global_oof_aleatorio,oof_aleatorio,,1039.0,0.2031900540327456,0.06311231486833072
Reducción,v5_ln_feo_ret,P3,brecha,brecha_aleatorio_menos_walkforward,,,0.06344239420184772,0.002977152529072394
Reducción,v5_sdi_w10,P2,1,walkforward_bloque,137.0,181.0,0.039241574844307014,0.5678836242029134
Reducción,v5_sdi_w10,P2,2,walkforward_bloque,318.0,175.0,0.2651335805035945,0.4304344557779895
Reducción,v5_sdi_w10,P2,3,walkforward_bloque,493.0,184.0,0.19538000950512613,0.46289354682454414
Reducción,v5_sdi_w10,P2,4,walkforward_bloque,677.0,178.0,0.03496398945820656,0.6916114117325637
Reducción,v5_sdi_w10,P2,5,walkforward_bloque,855.0,184.0,0.10553688084089596,0.6572229163904864
Reducción,v5_sdi_w10,P2,global_walkforward,walkforward_global,,902.0,0.09033435420906366,0.5624403838823031
Reducción,v5_sdi_w10,P2,global_oof_aleatorio,oof_aleatorio,,1039.0,0.15565763758659967,0.5434245973664332
Reducción,v5_sdi_w10,P2,brecha,brecha_aleatorio_menos_walkforward,,,0.06532328337753601,0.01901578651586988
Reducción,v5_sdi_w10,P3,1,walkforward_bloque,137.0,181.0,0.024958918176217537,0.5708678877614634
