fase,Batch,avance_prev,palanca,valor,pred_sn_dep,sn_dep_lo,sn_dep_hi,pred_feo_ret,feo_ret_lo,feo_ret_hi,pred_dT,dT_lo,dT_hi,pred_temperatura,support_score,derivada__exceso_o2_combustion_pct,derivada__relacion_C_Sn_carga,derivada__v5_dosis_C_sn,derivada__v5_exceso_C_pos,J_costo,J_temperatura,J_soporte,J_sn,J_feo,J_incertidumbre,J
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,3.294660545117927,1.0746841510641705,0.6916388697333791,1.4577294323949619,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-17.526182827884853,-31.910735179394408,-3.141630476375296,1068.0727046773568,0.06657223126652873,-5.271007860241145,0.17368793824122855,0.007788351275829,0.0,-34.27868284445098,-0.0,-811.550348377019,1169.8474326409028,-1104.738699041644,-512.3575150931067,-1293.0778127153178
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,5.916107315446935,1.0947524246065146,0.7117071432757232,1.477797705937306,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-17.3018206303335,-31.686372981843057,-2.9172682788239417,1068.2970668749083,0.07343677593422877,-5.271007860241145,0.3118853878759907,0.013985271419381742,0.0,-38.210852999944485,-0.0,-797.821259041619,1191.6927518054213,-1104.738699041644,-512.3575150931067,-1261.435574370893
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,8.537554085775941,1.1148206981488584,0.731775416818067,1.4978659794796498,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-17.077458432782144,-31.4620107842917,-2.6929060812725876,1068.5214290724596,0.08113508541827193,-5.271007860241145,0.45008283751075273,0.02018219156293448,0.0,-42.143023155438,-0.0,-782.4246400735326,1213.5380709699398,-1104.738699041644,-512.3575150931067,-1228.1258063937814
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,11.15900085610495,1.1348889716912025,0.7518436903604111,1.517934253021994,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-16.853096235230794,-31.23764858674035,-2.468543883721237,1068.7457912700108,0.08989326119494793,-5.271007860241145,0.588280287145515,0.026379111706487227,0.0,-46.07519331093151,-0.0,-764.9082885201806,1235.3833901344585,-1104.738699041644,-512.3575150931067,-1192.6963058314043
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,13.780447626433958,1.1549572452335464,0.771911963902755,1.5380025265643378,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-16.628734037679436,-31.01328638918899,-2.2441816861698793,1068.9701534675623,0.09942848990605464,-5.271007860241145,0.7264777367802772,0.03257603185003997,0.0,-50.007363466425026,-0.0,-745.8378310979672,1257.2287092989768,-1104.738699041644,-512.3575150931067,-1155.712699400166
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,16.401894396762966,1.1750255187758905,0.791980237445099,1.5580708001066819,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-16.404371840128086,-30.78892419163764,-2.019819488618529,1069.1945156651136,0.1101220996990856,-5.271007860241145,0.8646751864150393,0.03877295199359271,0.0,-53.939533621918535,-0.0,-724.4506115119052,1279.0740284634956,-1104.738699041644,-512.3575150931067,-1116.412330805079
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,19.02334116709197,1.1950937923182343,0.8120485109874429,1.5781390736490257,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-16.18000964257673,-30.56456199408629,-1.7954572910671747,1069.4188778626649,0.12166667030720318,-5.271007860241145,1.0028726360498013,0.04496987213714544,0.0,-57.871703777412044,-0.0,-701.3614702956701,1300.9193476280138,-1104.738699041644,-512.3575150931067,-1075.410040579819
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,21.64478793742098,1.2151620658605782,0.8321167845297868,1.5982073471913696,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-15.955647445025377,-30.340199796534932,-1.5710950935158206,1069.6432400602164,0.1342807004805569,-5.271007860241145,1.1410700856845635,0.05116679228069819,0.0,-61.80387393290556,-0.0,-676.1334099489626,1322.7646667925324,-1104.738699041644,-512.3575150931067,-1032.2688312240864
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,24.266234707749987,1.2352303394029223,0.8521850580721309,1.6182756207337137,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-15.731285247474025,-30.115837598983582,-1.3467328959644682,1069.8676022577677,0.14815945378831968,-5.271007860241145,1.2792675353193257,0.05736371242425094,0.0,-65.73604408839907,-0.0,-648.3759033334371,1344.6099859570509,-1104.738699041644,-512.3575150931067,-986.598175599536
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,26.887681478078996,1.2552986129452663,0.8722533316144749,1.6383438942760578,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-15.506923049922671,-29.891475401432228,-1.122370698413114,1070.091964455319,0.16316903371153108,-5.271007860241145,1.4174649849540877,0.06356063256780367,0.0,-69.66821424389258,-0.0,-618.3567434870143,1366.4553051215696,-1104.738699041644,-512.3575150931067,-938.6658667440879
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,29.509128248408004,1.2753668864876102,0.8923216051568188,1.6584121678184016,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-15.282560852371317,-29.667113203880874,-0.89800850086176,1070.3163266528704,0.1790768385061428,-5.271007860241145,1.55566243458885,0.06975755271135642,0.0,-73.6003843993861,-0.0,-586.5411338977908,1388.3006242860881,-1104.738699041644,-512.3575150931067,-888.9371081458394
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,32.130575018737005,1.295435160029954,0.9123898786991627,1.6784804413607455,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-15.058198654819964,-29.442751006329523,-0.6736463033104076,1070.5406888504217,0.1961041680841406,-5.271007860241145,1.693859884223612,0.07595447285490915,0.0,-77.5325545548796,-0.0,-552.4864747417953,1410.1459434506064,-1104.738699041644,-512.3575150931067,-836.9692999808192
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,34.75202178906601,1.3155034335722982,0.9324581522415067,1.6985487149030896,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-14.83383645726861,-29.218388808778165,-0.44928410575905353,1070.765051047973,0.21601545215759885,-5.271007860241145,1.8320573338583739,0.08215139299846189,0.0,-81.4647247103731,-0.0,-512.6639065948788,1431.9912626151252,-1104.738699041644,-512.3575150931067,-779.2335828248774
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,37.37346855939502,1.335571707114642,0.9525264257838506,1.7186169884454334,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-14.609474259717258,-28.994026611226815,-0.2249219082077012,1070.9894132455245,0.23760796282286173,-5.271007860241145,1.9702547834931359,0.08834831314201462,0.0,-85.39689486586663,-0.0,-469.478885264353,1453.8365817796434,-1104.738699041644,-512.3575150931067,-718.1354124853268
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,39.99491532972403,1.355639980656986,0.9725946993261947,1.7386852619877775,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-14.385112062165904,-28.76966441367546,-0.0005597106563470788,1071.2137754430757,0.2610125052483014,-5.271007860241145,2.1084522331278985,0.09454523328556738,0.0,-89.32906502136014,-0.0,-422.6698004134737,1475.6819009441622,-1104.738699041644,-512.3575150931067,-653.4131786254222
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,42.61636210005304,1.37570825419933,0.9926629728685386,1.7587535355301214,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-14.16074986461455,-28.545302216124107,0.22380248689500704,1071.4381376406272,0.2859539116805224,-5.271007860241145,2.2466496827626603,0.10074215342912012,0.0,-93.26123517685365,-0.0,-372.7869875490316,1497.5272201086805,-1104.738699041644,-512.3575150931067,-585.6172167519554
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,45.23780887038205,1.395776527741674,1.0127312464108826,1.7788218090724655,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-13.936387667063197,-28.320940018572756,0.4481646844463594,1071.6624998381785,0.31222328570747493,-5.271007860241145,2.3848471323974225,0.10693907357267286,0.0,-97.19340533234717,-0.0,-320.2482394951266,1519.3725392731992,-1104.738699041644,-512.3575150931067,-515.1653196890252
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,47.859255640711055,1.415844801284018,1.0327995199532265,1.7988900826148093,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-13.712025469511843,-28.0965778210214,0.6725268819977135,1071.8868620357298,0.33965312541135306,-5.271007860241145,2.5230445820321847,0.11313599371622561,0.0,-101.12557548784068,-0.0,-265.3885600873703,1541.2178584377177,-1104.738699041644,-512.3575150931067,-442.39249127224394
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,50.48070241104006,1.435913074826362,1.0528677934955706,1.8189583561571534,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-13.48766327196049,-27.872215623470048,0.8968890795490676,1072.1112242332813,0.36779849504573625,-5.271007860241145,2.661242031666947,0.11933291385977834,0.0,-105.0577456433342,-0.0,-209.09782081860396,1563.0631776022362,-1104.738699041644,-512.3575150931067,-368.1886029944526
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,53.10214918136907,1.4559813483687059,1.0729360670379144,1.8390266296994973,-0.16802513262549032,-0.2604609796304192,-0.07558928562056144,-13.263301074409137,-27.647853425918694,1.12125127710042,1072.3355864308326,0.3957741868752403,-5.271007860241145,2.799439481301709,0.1255298340033311,0.0,-108.9899157988277,-0.0,-153.14643715959585,1584.9084967667548,-1104.738699041644,-512.3575150931067,-294.3240703264195
