signature,masa_finF_med,masa_finR_med,frac_dM_pos_R,media_dlnM_R,sd_dlnM_R,autocorr_dlnM_R,frac_feo_ret_pos,sd_ln_ratio_bal,rho_ratio_calcarga,sn_finF_pct_feed,ratio_bal_dev,cierre_sn_dev,cierre_sn_IQR_dev,corr_invR_bal_dev,ratio_bal_lb,cierre_sn_lb,cierre_sn_IQR_lb,corr_invR_bal_lb,F_sd_ln_masa_carga,F_frac_ln_sn_dep_neg,R2_feo,n_feo,R2_feo_sinCaOprev,R2_sn,n_sn,aC,pG,gG,pCaO,cCaO
"('G', 'cierre', 0.0, 0.0, False)",68515.21125087213,53178.34192549449,0.09748427672955975,-0.02219309945156567,0.02539390341623668,0.32478320578059966,0.12311901504787962,0.12509012973250677,0.11366140707978144,21.450503140643892,1.1136054182718562,0.9900391390540606,0.08350006309024516,0.9408848267085838,1.063381713483399,0.9851665530559733,0.07175207969206676,0.9916268003400159,0.05464129272136807,0.0011838989739542227,0.290274684590911,1086,0.2671398159060624,0.6953243559089595,1004,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('G', 'cierre', 0.01, 0.0, False)",68515.21125087213,51329.79884709983,0.03459119496855346,-0.03219305353471791,0.02539389994190831,0.32467695009833625,0.09986320109439124,0.12520357591689407,0.10636940563097187,21.450503140643892,1.1582098645173153,0.9905394285004576,0.08378296284314601,0.939881031290927,1.102175977026351,0.9855631079265811,0.07162515131668024,0.9915630596162118,0.05464129272136807,0.0011838989739542227,0.2823121048857734,1086,0.27327779894834225,0.6989984710981041,1003,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('G', 'cierre', 0.02, 0.0, False)",68515.21125087213,49378.84633535679,0.012578616352201259,-0.04219300628740453,0.02539389650902472,0.3245694913860983,0.08344733242134063,0.1255615638334915,0.09971380909383082,21.450503140643892,1.201125744178952,0.9912520589447454,0.08362921420983849,0.9385639043332663,1.1468722095851742,0.9859441195073608,0.07150314808879354,0.991490987657235,0.05464129272136807,0.0011838989739542227,0.28122281953961603,1086,0.2662019418507453,0.6888697005689854,1000,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('G', 'cierre', 0.0, 0.0, True)",70828.65818030847,53001.54310254494,0.06918238993710692,-0.02681661882641452,0.027606665064452758,0.44039171956190887,0.11080711354309165,0.1327736338008281,0.0596394300668799,22.091769050670525,1.1219470947677368,0.9906044062528252,0.08322821787827661,0.9386652843114001,1.0713309769873751,0.9854539536158277,0.07182528443508351,0.9918421620637122,0.06630352579291313,0.0011838989739542227,0.3550025626218951,1086,0.334628929882235,0.7021410253637432,997,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('G', 'cierre', 0.01, 0.0, True)",70828.65818030847,51176.42540070403,0.0220125786163522,-0.03693631758404489,0.02765305830966391,0.44185159348965897,0.08891928864569083,0.13300976250645433,0.0548195874973855,22.091769050670525,1.1653466847084768,0.9910811926927467,0.08352446830575666,0.93747733575938,1.115547884085946,0.9858445767893909,0.07169475700592376,0.991777280854072,0.06630352579291313,0.0011838989739542227,0.35504612259528645,1086,0.3381735640345217,0.6822043896198903,995,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('G', 'cierre', 0.02, 0.0, True)",70828.65818030847,49276.427482146726,0.0110062893081761,-0.04705938719475013,0.027700490668438504,0.44331881923752564,0.07387140902872777,0.13348161318485846,0.047025349066181,22.091769050670525,1.2121365034505212,0.9916375030560871,0.08338557793462309,0.935967215932349,1.1616003331425815,0.9862197783019172,0.07156930994244082,0.9917036373344269,0.06630352579291313,0.0011838989739542227,0.3502825409074031,1086,0.3335273959074059,0.6825311298308994,989,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('G', 'G', 0.0, 0.0, False)",68515.21125087213,59208.21191250344,0.24290220820189273,-0.01921010004411535,0.03401016222257129,-0.1194977040216962,0.16415868673050615,0.12056412438780363,0.15725067976717017,21.450503140643892,1.0120090881768342,0.9883817449278993,0.08328462455579067,0.9469380154782052,0.9366891898005337,0.9839446479758542,0.07160759221593538,0.9930475480614763,0.05464129272136807,0.0011838989739542227,-0.0012778875168502069,1087,-0.02982958132750979,0.7093430186520596,1037,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('G', 'G', 0.0, 0.0, True)",70828.65818030847,59216.132317943804,0.20031545741324921,-0.023298962000245164,0.03476664577872229,-0.02215664406494202,0.15321477428180574,0.1262080264885957,0.10291470898823096,22.091769050670525,1.0125549381194725,0.9888450097189899,0.08314397964828246,0.9462123406931506,0.9460933439590651,0.9833997167813637,0.0716712211981787,0.9928592695258599,0.06630352579291313,0.0011838989739542227,-0.0020871068313248475,1087,-0.046076841473853936,0.7040618096113871,1032,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
"('G', 'CaO', 0.0, 0.0, False)",68515.21125087213,58557.271739514676,0.292259083728278,-0.013015166369935358,0.039398424237838854,-0.23431505976416642,0.16552667578659372,0.14289892256782794,0.16013452503022602,21.450503140643892,1.0119308394400206,0.9885841366777612,0.0819414856467876,0.9203733227701271,0.942015340697334,0.9843808744580794,0.07114345594786475,0.9938404199299572,0.05464129272136807,0.0011838989739542227,0.06814873678279221,1085,0.049882684597661986,0.7203353397623491,1026,0.0,0.7032481880328203,0.30127827594660544,0.2559002986377795,0.0793932902045327
"('G', 'CaO', 0.0, 0.0, True)",70828.65818030847,72718.52196799652,0.292259083728278,-0.013015104317310356,0.03939845691236815,-0.39052581176808215,0.16552667578659372,0.14615426380563215,0.12690245532412012,22.091769050670525,0.8142591835402133,0.9851348169244589,0.08230407356886427,0.9186210209559628,0.760870277558106,0.9805966778181355,0.07144964822782152,0.9939233405445598,0.06630352579291313,0.0011838989739542227,0.30377452713745845,1085,0.2746545094603974,0.6747588475791477,1058,-0.5648045138059945,1.0396932689942853,0.34137086695821106,0.37315422108735624,0.09336589323336346
