Batch,orden_escalon_fase,residuo_ln_masa,R,z_residuo,flag_qc
AP0001,0,-0.11487827733349931,True,-0.4801667939687522,False
AP0001,1,-0.17114277038619896,True,-1.1238359461578633,False
AP0001,2,-0.13368935202771404,True,-0.4904098671727993,False
AP0002,0,-0.04310628638180347,True,1.0168392610610189,False
AP0002,1,-0.05986945348251638,True,0.81028226425353,False
AP0002,2,-0.08302648332444562,True,0.3856936245486079,False
AP0002,3,-0.043172324895744296,True,1.123548186311397,False
AP0003,0,-0.0919179034539841,True,-0.0012638365948279026,False
AP0003,1,-0.06293138616091198,True,0.7570607020935304,False
AP0003,2,-0.08521093073162866,True,0.34791838501126654,False
AP0004,0,-0.14383390498081106,True,-1.0841175739378694,False
AP0004,1,-0.14188752196310794,True,-0.6153303106676633,False
AP0004,2,-0.14600366663049869,True,-0.7033590012781789,False
AP0005,0,-0.049624833837643934,True,0.8808766817595802,False
AP0005,1,-0.07860471046795148,True,0.48463185029460126,False
AP0005,2,-0.0788166450448422,True,0.45849356878281694,False
AP0005,3,-0.07996019772478213,True,0.48545738967878355,False
AP0006,0,-0.09478161573132127,True,-0.06099458339718544,False
AP0006,1,-0.09549670075072036,True,0.1910205252697933,False
AP0007,0,-0.10605788389672277,True,-0.29619276444118836,False
AP0007,1,-0.10417221886174843,True,0.040225365835322234,False
AP0007,2,-0.1218354859487718,True,-0.28542318307906467,False
AP0007,3,-0.12524189231486815,True,-0.2999599327127375,False
AP0008,0,-0.08272980956274267,True,0.19037961661002517,False
AP0008,1,-0.08561619668021869,True,0.3627603761393663,False
AP0008,2,-0.08467908378640487,True,0.35711551454021223,False
AP0008,3,-0.08721452461479906,True,0.3596300757213824,False
AP0009,0,-0.07063078382084065,True,0.4427387131798611,False
AP0009,1,-0.08678499414664564,True,0.3424447018429326,False
AP0009,2,-0.08435411402997062,True,0.3627351556225882,False
AP0010,0,-0.0523879588921794,True,0.823243963444326,False
AP0010,1,-0.09304484031340188,True,0.23363800134727675,False
AP0010,2,-0.1134161553701265,True,-0.13982927758764307,False
AP0010,3,-0.12132285386076092,True,-0.23198366290131073,False
AP0011,0,-0.06253808994843091,True,0.6115345284813098,False
AP0011,1,-0.043723005429367134,True,1.0909348059593664,False
AP0011,2,-0.04840234118486997,True,0.9844424242663701,False
AP0011,3,-0.03732387289631589,True,1.2249904037705486,False
AP0012,0,-0.11498026126126781,True,-0.4822939546530352,False
AP0012,1,-0.20289617694116124,True,-1.675763789862831,False
AP0012,2,-0.18132654956340843,True,-1.314190994555975,False
AP0013,0,-0.045883957006834564,True,0.9589031541004577,False
AP0013,1,-0.17019478651127962,True,-1.1073583850796316,False
AP0013,2,-0.19372600766726578,True,-1.5286124992652397,False
AP0013,3,-0.19485309461535572,True,-1.507375967254734,False
AP0014,0,-0.05035510231094875,True,0.8656448857366662,False
AP0014,1,-0.05517194266057501,True,0.8919329373631109,False
AP0014,2,-0.05572594257644781,True,0.8577967582122651,False
AP0015,0,-0.09433606404924966,True,-0.05170135414374588,False
AP0015,1,-0.1306362293704435,True,-0.41976383975015147,False
AP0015,2,-0.1189969905913113,True,-0.23633761493898583,False
AP0015,3,-0.13094562589130376,True,-0.39889198889553507,False
AP0016,0,-0.0851751203848039,True,0.13937580497660976,False
AP0016,1,-0.08858063844147068,True,0.31123337080075086,False
AP0016,2,-0.0913906431237681,True,0.24105377700224292,False
AP0017,0,-0.1362487883456449,True,-0.9259087047065155,False
AP0017,1,-0.09849733702770536,True,0.1388643981080474,False
AP0017,2,-0.09636161302643309,True,0.1550917262846952,False
AP0017,3,-0.11497845294504039,True,-0.12193914216258135,False
AP0018,0,-0.08565808653444762,True,0.12930219212563487,False
AP0018,1,-0.1168796802016665,True,-0.18065177766628307,False
AP0018,2,-0.11540790558920477,True,-0.17427224077221254,False
