target,n_estado,n_palancas,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox,sd_target_dev,fase,grupo,estado,parametrizacion,targets,con_signos,n_comun
m6_ln_sn_dep,22,4,1046,234,0.7660329858903986,0.24461022112934339,0.8069103212119922,0.2364689206412995,0.6808457221790304,Reducción,Sn,CURADO,cinetica,v6,True,1280
v5_ln_sn_dep,20,4,1046,234,0.766366161900212,0.24393391447064797,0.8004352603954099,0.2388081120753273,0.6772530771084531,Reducción,Sn,CURADO,cinetica,v5,True,1280
m6_ln_sn_dep,22,4,1046,234,0.765864522916788,0.24483042630270974,0.807044133575991,0.2367409568309133,0.6808457221790304,Reducción,Sn,CURADO,cinetica,v6,False,1280
v5_ln_sn_dep,20,4,1046,234,0.7660875264163495,0.2442246903806427,0.8004352603954099,0.2388081120753273,0.6772530771084531,Reducción,Sn,CURADO,cinetica,v5,False,1280
m6_ln_feo_ret,22,5,1046,234,0.326549421123818,0.04756969694632877,0.47337707461914635,0.042646780219070514,0.07572384699476428,Reducción,FeO,CURADO,cinetica,v6,True,1280
v5_ln_feo_ret,20,5,1046,234,0.1965984124575817,0.06324491430638754,0.19030772930273732,0.051520405787901555,0.1086315898648081,Reducción,FeO,CURADO,cinetica,v5,True,1280
m6_ln_feo_ret,22,5,1046,234,0.3253930727283101,0.047601006274053656,0.47313765337571556,0.042656146908452645,0.07572384699476428,Reducción,FeO,CURADO,cinetica,v6,False,1280
v5_ln_feo_ret,20,5,1046,234,0.19636537843305057,0.06333335968832311,0.1773094823133241,0.05193455137171301,0.1086315898648081,Reducción,FeO,CURADO,cinetica,v5,False,1280
m6_ln_sn_dep,22,4,1046,234,0.7650255227563805,0.24535939303095272,0.8049510075413766,0.2377608339258367,0.6808457221790304,Reducción,Sn,CURADO,dosis_sobrante,v6,True,1280
v5_ln_sn_dep,20,4,1046,234,0.7646677391586046,0.24524805866796837,0.7993418443502943,0.24024721316463268,0.6772530771084531,Reducción,Sn,CURADO,dosis_sobrante,v5,True,1280
m6_ln_sn_dep,22,4,1046,234,0.7648358088810158,0.2456048721361181,0.8051191001759805,0.23799239583540907,0.6808457221790304,Reducción,Sn,CURADO,dosis_sobrante,v6,False,1280
v5_ln_sn_dep,20,4,1046,234,0.7643374696657609,0.24554175932042255,0.7993418443502943,0.24024721316463268,0.6772530771084531,Reducción,Sn,CURADO,dosis_sobrante,v5,False,1280
m6_ln_feo_ret,22,5,1046,234,0.32634740050329014,0.04755308400621661,0.4712699626546495,0.04267225004536532,0.07572384699476428,Reducción,FeO,CURADO,dosis_sobrante,v6,True,1280
v5_ln_feo_ret,20,5,1046,234,0.19571730098081164,0.06325526669007982,0.19030772941621676,0.051520405785333644,0.1086315898648081,Reducción,FeO,CURADO,dosis_sobrante,v5,True,1280
m6_ln_feo_ret,22,5,1046,234,0.32600145528756885,0.04757488897852433,0.4703328475531594,0.04267067318569038,0.07572384699476428,Reducción,FeO,CURADO,dosis_sobrante,v6,False,1280
v5_ln_feo_ret,20,5,1046,234,0.19335952965210002,0.06346393254318426,0.1893436691529583,0.051534645984707805,0.1086315898648081,Reducción,FeO,CURADO,dosis_sobrante,v5,False,1280
m6_ln_sn_dep,26,4,1417,303,0.19957715083344152,0.12256391258245872,-0.6821363458676166,0.1447872160467507,0.20230705144174962,Fusión,Sn,CURADO,fusion_v5,v6,True,1720
v5_ln_sn_dep,24,4,1417,303,0.18378866534882743,0.14596548964724668,-0.2944853504843705,0.14414585222707557,0.2374041840829543,Fusión,Sn,CURADO,fusion_v5,v5,True,1720
m6_ln_sn_dep,26,4,1417,303,0.20429406372689152,0.1228599419452689,-0.6639369037620468,0.14455820525548463,0.20230705144174962,Fusión,Sn,CURADO,fusion_v5,v6,False,1720
v5_ln_sn_dep,24,4,1417,303,0.18883967965527781,0.14630711960338927,-0.28002767774299797,0.14456597977915803,0.2374041840829543,Fusión,Sn,CURADO,fusion_v5,v5,False,1720
