fase,Batch,avance_prev,palanca,valor,pred_sn_dep,sn_dep_lo,sn_dep_hi,pred_feo_ret,feo_ret_lo,feo_ret_hi,pred_dT,dT_lo,dT_hi,pred_temperatura,support_score,derivada__exceso_o2_combustion_pct,derivada__relacion_C_Sn_carga,derivada__m6_dosis_C_sn,derivada__m6_exceso_C_pos,J_costo,J_temperatura,J_soporte,J_sn,J_feo,J_incertidumbre,J
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,3.294660545117927,1.3515452696981023,0.9552371047259037,1.7478534346703007,-0.13031406149557342,-0.20515237119809174,-0.05547575179305511,-4.042279516198017,-18.799560024254994,10.715000991858957,954.0510209040608,0.06801499588496557,-5.317912998767342,0.30299839894395225,0.007891585169898793,0.0,-37.32763803108292,-0.0,-731.6916486533271,2003.8854884337625,-1176.65969271128,-631.6686913931453,-573.4621823550729
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,5.916107315446935,1.3674150164731012,0.9711068515009026,1.7637231814452998,-0.13204992821667613,-0.20688823791919445,-0.05721161851415782,-3.924979522354973,-18.68226003041195,10.832300985702002,954.1683208979039,0.07635083950471451,-5.317912998767342,0.5440836832848472,0.014170644931324689,0.0,-41.25980818657643,-0.0,-715.0199614138293,2027.4149668615491,-1192.3335530698555,-631.6686913931453,-552.8670472018573
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,8.537554085775941,1.3832847632481,0.9869765982759015,1.7795929282202985,-0.13378579493777878,-0.2086241046402971,-0.05894748523526047,-3.8076795285119287,-18.564960036568905,10.949600979545046,954.2856208917469,0.08560971757258623,-5.317912998767342,0.7851689676257422,0.020449704692750578,0.0,-45.19197834206994,-0.0,-696.5022052780859,2050.944445289336,-1208.0074134284307,-631.6686913931453,-530.4258431523959
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,11.15900085610495,1.3991545100230989,1.0028463450509002,1.7954626749952975,-0.1355216616588815,-0.2103599713613998,-0.06068335195636318,-3.6903795346688852,-18.44766004272586,11.06690097338809,954.40292088559,0.09585480049075847,-5.317912998767342,1.0262542519666376,0.02672876445417648,0.0,-49.12414849756345,-0.0,-676.0120394417414,2074.4739237171225,-1223.6812737870061,-631.6686913931453,-506.0122294023339
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,13.780447626433958,1.4150242567980977,1.0187160918258993,1.8113324217702962,-0.13725752837998417,-0.21209583808250249,-0.06241921867746586,-3.573079540825841,-18.330360048882817,11.184200967231135,954.520220879433,0.10715263302881624,-5.317912998767342,1.2673395363075326,0.033007824215602374,0.0,-53.05631865305696,-0.0,-653.4163743656259,2098.0034021449096,-1239.3551341455816,-631.6686913931452,-479.49311641249994
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,16.401894396762966,1.4308940035730964,1.034585838600898,1.8272021685452948,-0.13899339510108685,-0.21383170480360517,-0.06415508539856854,-3.4557795469827974,-18.213060055039772,11.30150096107418,954.637520873276,0.11956209886237457,-5.317912998767342,1.5084248206484276,0.03928688397702827,0.0,-56.98848880855047,-0.0,-628.5974426985091,2121.532880572696,-1255.0289945041568,-631.6686913931452,-450.7507368316658
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,19.02334116709197,1.4467637503480952,1.0504555853758966,1.843071915320294,-0.14072926182218953,-0.21556757152470785,-0.06589095211967122,-3.338479553139753,-18.095760061196728,11.418800954917224,954.7548208671191,0.13312944954406938,-5.317912998767342,1.7495101049893225,0.045565943738454164,0.0,-60.92065896404398,-0.0,-601.4627413351194,2145.0623590004825,-1270.7028548627322,-631.6686913931453,-419.6925875545584
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,21.64478793742098,1.462633497123094,1.0663253321508956,1.8589416620952925,-0.1424651285432922,-0.21730343824581053,-0.0676268188407739,-3.221179559296709,-17.978460067353684,11.536100948760266,954.8721208609621,0.1478818803494043,-5.317912998767342,1.9905953893302177,0.05184500349988006,0.0,-64.8528291195375,-0.0,-571.9578797244496,2168.591837428269,-1286.3767152213077,-631.6686913931452,-386.2642780301709
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,24.266234707749987,1.478503243898093,1.0821950789258943,1.8748114088702916,-0.1442009952643949,-0.2190393049669132,-0.06936268556187658,-3.1038795654536653,-17.86116007351064,11.65340094260331,954.9894208548052,0.16381938790385334,-5.317912998767342,2.231680673671113,0.05812406326130596,0.0,-68.78499927503101,-0.0,-540.0828646155516,2192.1213158560563,-1302.050575579883,-631.6686913931453,-350.4658150075545
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,26.887681478078996,1.4943729906730918,1.0980648257008934,1.8906811556452903,-0.14593686198549755,-0.22077517168801586,-0.07109855228297923,-2.986579571610621,-17.7438600796676,11.770700936446355,955.1067208486483,0.18099685504908392,-5.317912998767342,2.472765958012008,0.06440312302273185,0.0,-72.71716943052452,-0.0,-505.7279303250904,2215.650794283843,-1317.724435938458,-631.6686913931452,-312.1874328033753
