metric,tipo,n,pearson_r,pearson_p,spearman_rho,spearman_p,media_v5,media_v6,pct_mismo_signo
dist_total,continuo,362,0.8955529648253294,1.16109449723418e-128,0.8645460922455174,1.293998734871252e-109,0.257781686291033,0.2764860720087284,
dist_R,continuo,362,0.8664217368790983,1.257662187221375e-110,0.6621755206123193,4.866656179481142e-47,0.22063137513554634,0.24771370040673577,
dist_F,continuo,360,0.9193587725235457,4.165516237344405e-147,0.9259187241322788,1.931652757896499e-153,0.29614568541706765,0.3065385548971101,
uplift_fisico_total_kg,continuo,362,0.8334488780177852,9.311692660153455e-95,0.7627944915506679,3.79300656768824e-70,181.99724872126936,243.3178607210622,
uplift_fisico_fusion_kg,continuo,362,0.9689512410010857,1.4701600361380198e-220,0.9524765691121387,6.213858943924167e-188,67.25229553947393,83.44004430712147,
uplift_fisico_reduccion_kg,continuo,362,0.7912431950664519,6.723550139202521e-79,0.6125459653759514,1.1646232855355835e-38,114.74495318179544,159.87781641394076,
dir_Fusión_tasa_aire_nm3_min,direccion_palanca,360,0.904786452754816,8.860216008777057e-135,0.8619305083282287,1.229589892398465e-107,-0.04240724744488678,-0.03839624439235459,86.11111111111111
dir_Fusión_tasa_feed_Carbon_kg_min,direccion_palanca,360,0.960155976396689,2.674761570008163e-200,0.9485034891763978,8.170741205977201e-181,-0.48395995241255163,-0.49885659778818725,99.72222222222223
dir_Fusión_tasa_gn_nm3_min,direccion_palanca,360,0.9024043826203806,5.919076174445146e-133,0.942269630619829,3.541180444293971e-172,-0.15247724355245548,-0.13273383791399215,91.94444444444444
dir_Fusión_tasa_o2_nm3_min,direccion_palanca,360,0.9158094443982522,6.696781933521243e-144,0.946330793716173,1.0942048126939045e-177,-0.10961954373267323,-0.0814704015659689,92.5
dir_Reducción_tasa_aire_nm3_min,direccion_palanca,362,0.9352099774164824,2.1623545835028114e-164,0.6816434776550689,8.813341844642261e-51,0.15225443778253853,0.23956408874039356,76.79558011049724
dir_Reducción_tasa_feed_Carbon_kg_min,direccion_palanca,362,0.2734590207412168,1.2501339217831764e-07,0.21360124889030424,4.178707293930014e-05,0.010533536933679578,-0.126330619395807,51.657458563535904
dir_Reducción_tasa_gn_nm3_min,direccion_palanca,362,0.7758069611911548,5.4470521658851826e-74,0.742948322408421,9.692856181465931e-65,-0.23698527494610216,-0.11601491125542983,77.34806629834254
dir_Reducción_tasa_o2_nm3_min,direccion_palanca,362,0.695424020406292,1.3040146074473219e-53,0.664182547355942,2.0627831812717023e-47,-0.08896527364123026,-0.10418635374234435,75.96685082872928
