muestra,spec,variable,coef,lo,hi,p,n,r2adj
dev,fase,R_sum_m6_ln_sn_dep,2.8529187261012376,1.6683476154116956,4.03748983679078,2.3541209817209845e-06,297,0.10685163380005991
dev,fase,R_sum_m6_ln_feo_ret,17.26175737892262,11.043557121284932,23.479957636560307,5.3020826621642376e-08,297,0.10685163380005991
dev,grupos_R,m6_ln_sn_dep__R0,2.973915501021767,1.1224778305176475,4.825353171525887,0.001642576396323602,298,0.12093878140397285
dev,grupos_R,m6_ln_sn_dep__R1,4.211229622963986,2.3615824374722747,6.0608768084556965,8.104822887480091e-06,298,0.12093878140397285
dev,grupos_R,m6_ln_sn_dep__R23,1.4406382315667858,-0.2562171678947378,3.1374936310283097,0.09610870036927249,298,0.12093878140397285
dev,grupos_R,m6_ln_feo_ret__R0,24.5989181981624,13.527230672093442,35.670605724231365,1.3329784678782116e-05,298,0.12093878140397285
dev,grupos_R,m6_ln_feo_ret__R1,24.066562313003004,14.768501700617177,33.36462292538883,3.9147431233833463e-07,298,0.12093878140397285
dev,grupos_R,m6_ln_feo_ret__R23,11.902957382818112,3.705329076004661,20.100585689631565,0.004429055530567852,298,0.12093878140397285
dev,wald_homogeneidad,m6_ln_sn_dep,7.370946521411104,,,0.025085300026932357,298,
dev,wald_homogeneidad,m6_ln_feo_ret,5.228268374662236,,,0.07323116572674823,298,
dev,fase+F,R_sum_m6_ln_sn_dep,2.476604327217361,1.2524202726477343,3.700788381786987,7.335435816162462e-05,296,0.09961380644043483
dev,fase+F,R_sum_m6_ln_feo_ret,17.347520586528578,11.096472999172352,23.598568173884804,5.3529116327291334e-08,296,0.09961380644043483
dev,fase+F,F_sum_m6_ln_sn_dep,-0.457627078862084,-1.2974939827995935,0.38223982507542553,0.2855448214032119,296,0.09961380644043483
dev,fase+F_grupos,R_sum_m6_ln_sn_dep,2.950223058117331,1.629464819436468,4.270981296798194,1.1975198247989247e-05,297,0.10515293093941436
dev,fase+F_grupos,R_sum_m6_ln_feo_ret,17.846182636265937,11.426502639578274,24.2658626329536,5.078532753078444e-08,297,0.10515293093941436
dev,fase+F_grupos,F_m6_ln_sn_dep__F123,-0.9196901554606298,-2.435451729173793,0.5960714182525335,0.23435684299800497,297,0.10515293093941436
dev,fase+F_grupos,F_m6_ln_sn_dep__F456,0.31152029356030614,-1.0379932110665118,1.661033798187124,0.6509548832503559,297,0.10515293093941436
dev,fase+F+heel,R_sum_m6_ln_sn_dep,2.3791891536699907,1.248184846579379,3.5101934607606022,3.739778904342187e-05,296,0.19581304562451196
dev,fase+F+heel,R_sum_m6_ln_feo_ret,14.835168852294402,9.298258946787971,20.372078757800832,1.5096702161102162e-07,296,0.19581304562451196
