forma,clave,n_parametros,r2_oof,mae_oof,r2_lockbox,mae_lockbox,identificacion_carbon,estable_tercios,signo_ok
ref_PLM,sn_dep,4,0.7652489876932658,0.2443034825679934,0.7996825168326529,0.235090907111354,True,,
ref_PLM,feo_ret,5,0.3293346891031186,0.0470486542512465,0.4861429695459459,0.0418241260041347,False,,
tasa,sn_dep,4,0.759267313241853,0.2495389589219598,0.8012261056849537,0.2418054503399083,,,
tasa,feo_ret,5,0.3222216817686386,0.0470487863733098,0.4963172248277682,0.0421652843273289,,,
estructural,sn_dep,7,0.3415255367781321,0.414105679235281,0.4576031960338693,0.4155764049969633,True,True,
estructural,feo_ret,7,0.134634396652036,0.0530556956725726,0.2704459465454407,0.0510555510278857,True,True,
loglineal,sn_dep,12,0.4087942652866673,0.3273557630008497,0.6761821883740622,0.2984069917763403,,,
loglineal,feo_ret,12,0.1350681144955466,0.0533726172156607,0.2767252514938222,0.0501099232246018,,,
hibrido_a_estruct_hgb,sn_dep,7,0.6344544801230484,0.2939448367126477,0.6923851177245937,0.294008284615228,,,
hibrido_a_estruct_hgb,feo_ret,7,0.3204044809240453,0.047272069639866,0.4755836267431093,0.0433177160799848,,,
hibrido_b_plm_offset,sn_dep,5,0.7669115601690858,0.2438754836675853,0.8020379569102305,0.2411969279651143,,,
hibrido_b_plm_offset,feo_ret,6,0.3211938122657136,0.0473055109316122,0.4726721685614947,0.0419942752953686,,,
