forma,clave,tercio,r2_oof,mae_oof,n
ref,sn_dep,0,0.7334639353519266,0.2560377656417807,355
ref,sn_dep,1,0.7781923847538377,0.2516455874747494,345
ref,sn_dep,2,0.7821111426425619,0.22559203931652624,358
ref,feo_ret,0,0.4019984270980429,0.04565180539528166,355
ref,feo_ret,1,0.2962617049610603,0.04664421513694592,345
ref,feo_ret,2,0.284047170345301,0.048823550447618796,358
estructural,sn_dep,0,0.08698982152010071,0.4738182682402161,363
estructural,sn_dep,1,0.4856250276455828,0.39540047670266737,355
estructural,sn_dep,2,0.44048511188893225,0.37291301372921637,365
estructural,feo_ret,0,0.09753315277974373,0.05627136431679805,363
estructural,feo_ret,1,0.21967620315291314,0.04792826574978389,355
estructural,feo_ret,2,0.10312371248450436,0.054844599521164994,365
