forma,clave,bloque_desde,n_train_batches,n_test,r2,mae
ref,sn_dep,50,50,181,0.6770036075485534,0.32132846842017343
ref,sn_dep,100,100,175,0.7648624244374964,0.2582241672628122
ref,sn_dep,150,150,184,0.7552991656548474,0.273679595099175
ref,sn_dep,200,200,178,0.7195525029526977,0.23448345666051243
ref,sn_dep,250,250,183,0.8172114625415088,0.22734492395300598
ref,feo_ret,50,50,181,0.3364897416368844,0.051061128227032904
ref,feo_ret,100,100,175,0.1582245680058495,0.0503973689808641
ref,feo_ret,150,150,184,0.3180897947566492,0.046755609120360205
ref,feo_ret,200,200,178,-0.010460321702210784,0.05294690113636637
ref,feo_ret,250,250,183,0.34032734282940524,0.05277519860532261
estructural,sn_dep,50,50,181,0.002863121319452988,0.5447040405770932
estructural,feo_ret,50,50,181,0.11180891451137898,0.05720129709967638
estructural,sn_dep,100,100,175,0.282225448947947,0.45679134131516913
estructural,feo_ret,100,100,175,0.18857105869930435,0.046149619934603335
estructural,sn_dep,150,150,184,0.551394795575096,0.3804612346797484
estructural,feo_ret,150,150,184,0.23486554595036802,0.04966296904303557
estructural,sn_dep,200,200,178,0.10047599026178389,0.41188730238343174
estructural,feo_ret,200,200,178,0.009920825266738209,0.050089016900732704
estructural,sn_dep,250,250,183,0.5163901358124408,0.36861779621913265
estructural,feo_ret,250,250,183,0.13850950639735649,0.060315495541675326
