variable,kpi,rho_dev,p_dev,ci_lo_dev,ci_hi_dev,n_dev,ols_dev,ols_p_dev,ols_lo_dev,ols_hi_dev,ols_r2adj_dev,rho_lockbox,p_lockbox,ci_lo_lockbox,ci_hi_lockbox,n_lockbox,rho_total,p_total,ci_lo_total,ci_hi_total,n_total,ols_total,ols_p_total,ols_lo_total,ols_hi_total,ols_r2adj_total,quintiles_crecientes,dQ5Q1,target
cal_por_carga_F,kpi_v6,-0.01116069224035375,0.8475980471214378,-0.12393702007747329,0.10931487854326755,299,-0.519098531339091,0.14477880806210416,-1.2168064414142679,0.17860937873608584,0.0074866994946963805,-0.06115591397849462,0.6339776406123658,-0.3281500279408726,0.20543218771036675,63,-0.06518568005786805,0.21598723207147372,-0.16330088723439393,0.040784813859928264,362,-0.5307778395179954,0.07117821028464535,-1.1073355499980628,0.04577987096207203,0.016270662633262267,2,-0.07482951866956,kpi_v6
cal_por_sn_F,kpi_v6,0.024813808893178607,0.6691321089426489,-0.0864779934127303,0.15217250661436668,299,-0.5865844194790815,0.09857547560036646,-1.2826038149554533,0.10943497599729046,0.009340091404745676,-0.07498079877112135,0.5591886381592939,-0.3488670065997794,0.20184089820366244,63,-0.04353069042370344,0.4089431401676481,-0.14162322590086937,0.06317019214317891,362,-0.6013317805373894,0.03895173454263234,-1.1721608027870425,-0.03050275828773641,0.018539239709277067,3,0.3581468668956944,kpi_v6
b2_media_F,kpi_v6,0.057793485572884454,0.3200726510972926,-0.06375772779608346,0.17809626878723758,298,0.1293064497780143,0.6532483165244364,-0.43481961313795925,0.6934325126939879,0.0023901202054462667,0.011184715821812595,0.930670810678789,-0.19581349730596048,0.2517090102035356,63,0.03284614560536263,0.5338890931688024,-0.06437918181269461,0.14065771594061047,361,0.05053217187623549,0.8400171034076231,-0.44008283296136574,0.5411471767138367,0.009193852869327057,3,0.9191242758187599,kpi_v6
b2_fin_F,kpi_v6,0.11432159579226983,0.04864714045156135,0.00994573331785035,0.23594642576535876,298,0.4092284261421233,0.1099267033466229,-0.09253047265059944,0.910987324934846,0.00930719059024443,0.0031682027649769587,0.9803394678947547,-0.24088732515586972,0.2695250954789588,63,0.09358748718262651,0.07575025286904997,-0.004986844001578608,0.20953521184082238,361,0.35712356312539395,0.13086838469727785,-0.10620843628552412,0.820455562536312,0.015034482136542682,3,1.1994616509517328,kpi_v6
cal_por_carga_F,f_dross,-0.023662319588785886,0.6836386013650323,-0.13248255972130288,0.0869924447234494,299,0.003094951452838864,0.25293990394163346,-0.002211025825050056,0.008400928730727784,0.06677584608958598,-0.057315668202764986,0.6554627633795193,-0.3101645349854965,0.1993395495988847,63,0.05647309138921672,0.2838938348290516,-0.05509234094768391,0.15392270972501082,362,0.004084063830343534,0.07711223266419179,-0.0004442212259257259,0.008612348886612794,0.03531512612449883,1,-0.00848801915515457,f_dross
cal_por_sn_F,f_dross,-0.08369553994298669,0.14882243436665266,-0.19823077741897638,0.025968848331828182,299,0.003230657275714385,0.23252980089965092,-0.002073090323474921,0.00853440487490369,0.0670858461292887,-0.045122887864823345,0.7254692239407239,-0.2990806405617876,0.1896586585266391,63,0.01867191078058263,0.7232942705674417,-0.08925979950814777,0.12725386529595475,362,0.004634529131697025,0.0425050780306971,0.00015667493296737164,0.009112383330426677,0.03735015944171349,2,-0.007173174968764934,f_dross
b2_media_F,f_dross,0.1012914718779907,0.0808621221766093,-0.013115653624581974,0.23044053922130694,298,0.0035319101267325447,0.11568549257492526,-0.0008684606653577192,0.00793228091882281,0.07381664695495482,0.010704685099846392,0.9336394620149681,-0.2334449094037889,0.26449777669951235,63,0.10404110742106792,0.04823536958633834,-0.004714194606608144,0.2062526848362382,361,0.0041584201427999345,0.0425174320281067,0.00014033959167160295,0.008176500693928265,0.04209015539865857,3,0.003884654816234012,f_dross
b2_fin_F,f_dross,0.06858715320927168,0.23783626726404172,-0.043400204675725945,0.18618842549960293,298,0.0025193627658422375,0.25721338620314904,-0.0018388466658221959,0.006877572197506671,0.06938763715447749,0.04416282642089094,0.7310869989775433,-0.24334523918117607,0.2961534361583912,63,0.06648148431561601,0.20761093914676876,-0.04185308490640386,0.1757623796205525,361,0.0028664501734795744,0.16798877059318496,-0.0012085182274720898,0.006941418574431238,0.035814453203355634,3,0.007689701342233707,f_dross
cal_por_carga_F,f_polvo,0.03146506251262598,0.5878618881733942,-0.07756718421726162,0.13849591825950688,299,0.0024844975781771663,0.29127769379995727,-0.0021297546102183136,0.007098749766572646,0.03468341962571653,0.14770545314900155,0.24798859721269909,-0.10195106763630035,0.3621031328258876,63,0.022666972415911892,0.6673176820005946,-0.07374581677290347,0.12212919340681902,362,0.001909273991255411,0.35881766387239256,-0.002168783223066103,0.0059873312055769255,0.019958785004613566,3,0.008186125485042162,f_polvo
cal_por_sn_F,f_polvo,0.0452416331844403,0.43573037255235797,-0.06022006818429168,0.15404043359353636,299,0.0029910421444299083,0.20645651109423724,-0.0016491965642294474,0.007631280853089264,0.036011792835109024,0.15466589861751154,0.22614907631647913,-0.08203808830949283,0.3761621585613071,63,0.03348321033165993,0.5254047337828448,-0.056870875856704084,0.12723248508702611,362,0.0020785653443764194,0.3194964505081581,-0.0020137913082318563,0.0061709219969846955,0.020336294371618435,3,0.0027618056881225372,f_polvo
