palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,en_cota,tercio,n,target
tasa_feed_CaO_kg_min,0.002467633142132821,-0.002583263902064078,0.008490588159199763,14.362303968724255,0.03544089727060972,-0.03710162139287702,0.12194440801567792,False,0,,False,0,496,m6_ln_sn_dep
relacion_C_Sn_carga,0.3240744366487127,8.226612797748668e-29,1.35275052194786,0.03742593529162004,0.01212878889568294,3.0788867823775493e-30,0.05062795350012584,False,1,True,False,0,496,m6_ln_sn_dep
tasa_gn_nm3_min,0.028604188329229827,1.2173697465224863e-14,0.052906008343416515,1.7243974327764933,0.049324988921579244,2.0992292656431456e-14,0.09123098496583917,False,1,True,False,0,496,m6_ln_sn_dep
exceso_o2_combustion_pct,-0.004080842308802901,-0.01654730872997131,-3.2891319844137745e-19,2.8225000266855513,-0.011518177525495716,-0.04670477933191808,-9.28357511378018e-19,False,-1,True,False,0,496,m6_ln_sn_dep
tasa_aire_nm3_min,-0.0038414629013035495,-0.013188091416723207,0.003124783714563123,3.5253650853316723,-0.013542559188852442,-0.046492837022678306,0.011016003406533845,False,0,,False,0,496,m6_ln_sn_dep
tasa_feed_CaO_kg_min,0.004388920069583662,-0.0017739655470930416,0.01285175973535836,4.358646344443957,0.019129750417347546,-0.00773208844700661,0.056016275590191754,False,0,,False,1,489,m6_ln_sn_dep
relacion_C_Sn_carga,0.42247929030179066,8.101704661464676e-27,1.1031610304977866,0.050409425053845276,0.021296938121269857,4.084022739404925e-28,0.0556097132892009,False,1,True,False,1,489,m6_ln_sn_dep
tasa_gn_nm3_min,0.010160192448353752,1.4432432642790762e-16,0.032965647735045955,1.2413593527395117,0.012612449921397288,1.791583524391134e-16,0.0409222151350154,False,1,True,False,1,489,m6_ln_sn_dep
exceso_o2_combustion_pct,-2.529586490964209e-20,-9.116248967319713e-13,-9.248423180016413e-25,3.5035840539799805,-8.862618892905377e-20,-3.193954451401281e-12,-3.2402627977964328e-24,False,-1,,True,1,489,m6_ln_sn_dep
tasa_aire_nm3_min,0.001969680678941217,-0.005713991201849921,0.009380153933641451,6.069147563618786,0.011954282693703085,-0.03467905578124663,0.05692953839272919,False,0,,False,1,489,m6_ln_sn_dep
tasa_feed_CaO_kg_min,-0.021434969315663827,-0.03214808098403491,-0.009156306262065119,4.6392705706011235,-0.09944262232789729,-0.14914364601053476,-0.042478582177009484,True,0,,False,2,484,m6_ln_sn_dep
relacion_C_Sn_carga,0.021434927249403317,4.475251206900828e-31,0.850079449705558,0.030384636175290167,0.000651292465916933,1.359788797147099e-32,0.025829354799394258,False,1,True,False,2,484,m6_ln_sn_dep
tasa_gn_nm3_min,0.04408274025433434,0.0046841192059898186,0.07146423889145621,0.966662951766595,0.04261315181621493,0.004527964498088718,0.06908183211256816,True,1,True,False,2,484,m6_ln_sn_dep
exceso_o2_combustion_pct,-1.70028534722506e-11,-0.0114146038239227,-2.887433051332111e-20,2.3822685703222746,-4.0505363432737556e-11,-0.027192651932411497,-6.878641007098232e-20,False,-1,,True,2,484,m6_ln_sn_dep
tasa_aire_nm3_min,0.009132577573362421,0.0047694375035005655,0.01950009748564361,5.890555472934084,0.053795954806765085,0.02809463618906233,0.11486640596680613,True,0,,False,2,484,m6_ln_sn_dep
tasa_feed_CaO_kg_min,-0.030510531134402524,-0.13355973732350357,-5.550328614788018e-24,14.341371485738906,-0.43756286122566945,-1.9154298084940724,-7.95993245326016e-23,False,-1,True,False,0,499,d_temperatura_horno_celsius
relacion_C_Sn_carga,-19.653215263340353,-59.584686332980105,7.317855765983966,0.037415376622668466,-0.7353324509242557,-2.229383480092017,0.2738003295546561,False,0,,False,0,499,d_temperatura_horno_celsius
tasa_gn_nm3_min,2.3256153489808203e-15,5e-324,1.9198629912979573e-12,1.7377962912414386,4.041445728313034e-15,1e-323,3.3363307859692847e-12,False,1,,True,0,499,d_temperatura_horno_celsius
exceso_o2_combustion_pct,-0.12335054153336077,-0.5277930634022229,0.18422064284572148,2.8143068005203875,-0.3471462678852097,-1.4853716076003638,0.5184534079569515,False,0,,False,0,499,d_temperatura_horno_celsius
tasa_aire_nm3_min,-0.027802616943754067,-0.39046262773813617,-1.9404423734822825e-26,3.5149154395500326,-0.09772384755549651,-1.3724431188040516,-6.820490858109986e-26,False,-1,True,False,0,499,d_temperatura_horno_celsius
tasa_feed_CaO_kg_min,-1.6137000877305672e-20,-1.612437643416687e-14,-1.945725269255082e-34,4.347201019825741,-7.01507866707521e-20,-7.009590567866437e-14,-8.458458874806408e-34,False,-1,,True,1,492,d_temperatura_horno_celsius
relacion_C_Sn_carga,-24.09092942855349,-63.71200215376561,37.282730138103574,0.05026260428781436,-1.2108728527930457,-3.202331152639097,1.8739271117008702,False,0,,False,1,492,d_temperatura_horno_celsius
tasa_gn_nm3_min,1.3631516442219084e-27,5e-324,0.0834768198868206,1.2384327511195965,1.6881716409469395e-27,5e-324,0.10338042770715028,False,1,,True,1,492,d_temperatura_horno_celsius
exceso_o2_combustion_pct,0.19582002718602554,-0.13764518431915268,0.6518431373056203,3.493023932064829,0.6840040413383726,-0.4807979229602748,2.276903678560752,False,0,,False,1,492,d_temperatura_horno_celsius
tasa_aire_nm3_min,-2.888711828582853e-16,-0.44458150329156376,-5e-324,6.051845210991988,-1.7482036845745048e-15,-2.6905384415906686,-3e-323,False,-1,,True,1,492,d_temperatura_horno_celsius
tasa_feed_CaO_kg_min,-0.17623967252356917,-0.5583357473995735,-5.647576099211443e-22,4.623239167677134,-0.8147981569095567,-2.581319696091995,-2.611009502431159e-21,False,-1,True,False,2,491,d_temperatura_horno_celsius
relacion_C_Sn_carga,15.559059833898496,-20.606690734403667,43.255103633482676,0.030240612925187312,0.4705155059167536,-0.6231589581681451,1.3080608460190128,False,0,,False,2,491,d_temperatura_horno_celsius
tasa_gn_nm3_min,1.6155871338926322e-27,5e-324,0.9174930998300147,0.9615948768163484,1.553540311001563e-27,5e-324,0.8822566643108926,False,1,,True,2,491,d_temperatura_horno_celsius
exceso_o2_combustion_pct,0.37299073823106954,-0.008946112102996874,0.8308268373932264,2.3659547560178398,0.8824792110684041,-0.021166096477954213,1.9656987073577643,False,0,,False,2,491,d_temperatura_horno_celsius
tasa_aire_nm3_min,-2.5029066204116206e-19,-0.4805735653634769,-7.993133122151859e-29,5.8494683229363265,-1.4640672991365392e-18,-2.811099847434228,-4.675557899904043e-28,False,-1,,True,2,491,d_temperatura_horno_celsius
tasa_feed_CaO_kg_min,0.00010942516890945229,1.2045842490956346e-16,0.0010023824589108748,14.362303968724255,0.0015715975377065487,1.730060514144896e-15,0.014396521567795235,False,1,True,False,0,496,d_basicidad_B2
relacion_C_Sn_carga,-0.03324703827867521,-0.1980629008136153,0.08865762794022561,0.03742593529162004,-0.0012443015032557129,-0.007412689309520925,0.0033180946463994086,False,0,,False,0,496,d_basicidad_B2
tasa_gn_nm3_min,0.0015440555092998904,-0.002237964263687326,0.005178852792633005,1.7243974327764933,0.002662565356301132,-0.0038591398309479603,0.008930400460343726,False,0,,False,0,496,d_basicidad_B2
exceso_o2_combustion_pct,-0.000666279369953773,-0.0020429478499079273,0.000809471886422252,2.8225000266855513,-0.0018805735394745566,-0.005766220360882314,0.00228473442102801,False,0,,False,0,496,d_basicidad_B2
