variable,kpi,rho_dev,p_dev,ci_lo_dev,ci_hi_dev,n_dev,ols_dev,ols_p_dev,ols_lo_dev,ols_hi_dev,ols_r2adj_dev,rho_lockbox,p_lockbox,ci_lo_lockbox,ci_hi_lockbox,n_lockbox,rho_total,p_total,ci_lo_total,ci_hi_total,n_total,ols_total,ols_p_total,ols_lo_total,ols_hi_total,ols_r2adj_total,quintiles_crecientes,dQ5Q1
F_gn_total_nm3_por_t,f_polvo,-0.005002356849453435,0.9313574634318257,-0.11368695125920612,0.11299206527793626,299,-0.0018990015813367973,0.3023382060805231,-0.0055075517606335,0.001709548597959906,0.034596183549607806,-0.010128648233486944,0.9372030284349474,-0.26880221529709214,0.2387551288687069,63,-0.006371026709085369,0.9038502086730509,-0.10117681737054965,0.09871664970119773,362,-0.0013774313932583776,0.4216020666544621,-0.004736770598320366,0.001981907811803611,0.01957273077145949,2,-0.0006132663428755347
F_o2_total_nm3_por_t,f_polvo,0.013254921326120626,0.8194526657180626,-0.0929855560724239,0.130277644381183,299,-0.0010128869078740682,0.5952637500857807,-0.004749959904416947,0.0027241860886688105,0.03247630357132614,-0.005664362519201229,0.9648569703717127,-0.27446117845526485,0.24456131947806292,63,0.002580360046297485,0.9609790786241449,-0.08884973334790104,0.10510945055047267,362,-0.0005582464979627259,0.7522552527966175,-0.004024376691233943,0.0029078836953084913,0.01817574163872504,1,-0.001734585836912772
F_aire_total_nm3_por_t,f_polvo,0.04980584049740746,0.39081028599992623,-0.06551614354653021,0.15891006673973562,299,-0.004839166367344346,0.14550698735635895,-0.011355160015016671,0.0016768272803279792,0.0394085841116556,0.035330261136712754,0.7833964756036116,-0.20653348078710473,0.26397466043658624,63,0.03664450237602831,0.4870356532458529,-0.06346666904410428,0.1335306792506953,362,-0.002653027417128066,0.32170607598099943,-0.007900311404891973,0.0025942565706358403,0.020912934598749766,2,0.0011093472136683713
F_gas_total_nm3_por_t,f_polvo,0.03173037642252699,0.5847161428164482,-0.0875444211341635,0.14144038213204782,299,-0.002900060781417742,0.21572994585762528,-0.007491487772864937,0.0016913662100294532,0.03646694446235843,0.033074116743471584,0.7969231558488075,-0.21129290654794097,0.276373453355662,63,0.029691784776647263,0.5733701374825826,-0.07428312042949597,0.13723112262031578,362,-0.0018503873154490987,0.36745994993165065,-0.005874494777652046,0.002173720146753849,0.020114211161473605,2,0.003890386462756107
T_media_F,f_polvo,0.15941370564072638,0.005733191565916405,0.04986921103776187,0.25333449909108674,299,0.008126892985202357,0.026758905261636726,0.0009357886504210728,0.015317997319983642,0.051713161279798414,0.19604454685099848,0.12358950509836089,-0.07716572349237999,0.3944170136676346,63,0.13435491188565618,0.010495920583368892,0.031416779721840704,0.2194091964637153,362,0.00943420349734428,0.004486257240524427,0.0029274699358097156,0.015940937058878845,0.043391503181001156,2,0.005852016302294399
F_gn_total_nm3_por_t,recuperacion_refinada_pct,0.03122219478799578,0.5907483038907949,-0.08732398500791004,0.1514063746203314,299,-0.011423273254369981,0.9666577804452088,-0.547044467828719,0.524197921319979,-0.0004917582558261469,-0.07651689708141321,0.5511437736075246,-0.309205096145579,0.19052190009577147,63,0.015758017601493295,0.76509390303437,-0.08311223088273302,0.11563367728014945,362,0.02716963437494297,0.9112959032739291,-0.4508334320595163,0.5051727008094022,0.008154343696072708,2,0.5459018249555925
F_o2_total_nm3_por_t,recuperacion_refinada_pct,-0.05577383223721129,0.33648760134033334,-0.17143678542435695,0.06382411385805839,299,-0.31177201312296826,0.2849857127976999,-0.8832925183857301,0.2597484921397936,0.003658996079782262,-0.20482910906298005,0.10732162603391804,-0.44863756410099254,0.05213761658444833,63,-0.049610429000509854,0.3465931841209964,-0.15456178568530587,0.04944198553385641,362,-0.30928552790102426,0.24335226978685032,-0.8288836711084271,0.21031261530637857,0.012193038236670062,2,-0.6524670581000009
F_aire_total_nm3_por_t,recuperacion_refinada_pct,0.035622096024780586,0.5394940078922553,-0.07606960611949566,0.14777680363182472,299,0.4557867395871127,0.3317904144536511,-0.4646798516810061,1.3762533308552314,0.0031894161024119683,-0.16234639016897082,0.20364565547333538,-0.4078575809822554,0.11887505910178903,63,-0.03301902125416806,0.5311655691695525,-0.12575652065782608,0.07236304684227697,362,0.3021523010708414,0.3707489294553725,-0.35947942797849136,0.9637840301201741,0.010144018867865645,2,0.9374342426603164
F_gas_total_nm3_por_t,recuperacion_refinada_pct,0.03336805009988553,0.5654733793831531,-0.07478649857167657,0.15453963047307323,299,0.0858975056575058,0.7953066364462444,-0.5630585450126041,0.7348535563276156,-0.0002712383984868616,-0.18260368663594473,0.1520227560078283,-0.4157723385705039,0.08611537741505278,63,-0.022613344032027274,0.668057844605782,-0.11832485666992294,0.08032412194803841,362,0.060930472729466036,0.8328777346575376,-0.5050155717044409,0.626876517163373,0.008244815163073294,3,-0.16142833116738586
T_media_F,recuperacion_refinada_pct,-0.003993176359677672,0.9451810345518001,-0.11243483231996444,0.11335184429202051,299,-0.12643381977545154,0.7975607624347089,-1.0925184414213693,0.8396508018704663,-0.00023717261942390877,-0.2780337941628264,0.027360588755407592,-0.5028115240136235,-0.002198026199297025,63,-0.07067955383714247,0.17966153567908894,-0.16974521797604017,0.034189558940859656,362,-0.08964070705937056,0.8444790630905867,-0.9852659005185692,0.8059844863998281,0.008240734933496974,2,0.2982826581155962
