target,fase,clave,orden,sigma_sn,sigma_feo,n,var_total,var_ruido,r2_max,r2_oof_plm,r2_lockbox_plm,r2_relativa_oof,autocorr_lag1_res_oof,n_autocorr
R_sn_dep,Reducción,sn_dep,todos,0.01,0.028,1086,0.45815234817456885,0.0003264268490272341,0.9992875146218767,0.7652489876932658,0.7996825168326529,0.7657946051520823,,
R_feo_ret,Reducción,feo_ret,todos,0.01,0.028,1086,0.005695374463182525,0.002430730673957578,0.5732096827573112,0.3293346891031186,0.48614296954594594,0.5745448812359895,,
F_sn_dep,Fusión,sn_dep,todos,0.01,0.028,1769,0.04820096075013844,0.00033676396703694104,0.993013334966856,0.16089265341975356,-0.4664194481539703,0.16202466548460168,,
R_sn_dep,Reducción,sn_dep,todos,0.02,0.028,1086,0.45815234817456885,0.0010202805079190629,0.9977730540681845,0.7652489876932658,0.7996825168326529,0.7669569593738209,-0.04984766244536237,768.0
R_sn_dep,Reducción,sn_dep,0,0.02,0.028,296,0.18023778060075432,0.0012134064190430164,0.9932677465568063,,,,,
R_sn_dep,Reducción,sn_dep,1,0.02,0.028,294,0.18244685126367793,0.0009787217978143136,0.9946355785751554,,,,,
R_sn_dep,Reducción,sn_dep,2,0.02,0.028,292,0.1027493753535328,0.0009333977146880771,0.990915782101093,,,,,
R_sn_dep,Reducción,sn_dep,3,0.02,0.028,204,0.09304885707793026,0.0009243136780247193,0.9900663618334336,,,,,
R_feo_ret,Reducción,feo_ret,todos,0.02,0.028,1086,0.005695374463182525,0.0024414555249352506,0.5713266018384001,0.3293346891031186,0.48614296954594594,0.5764385695386735,-0.11440601551195703,768.0
R_feo_ret,Reducción,feo_ret,0,0.02,0.028,296,0.004447681217950631,0.0025652270343991057,0.4232439537154842,,,,,
R_feo_ret,Reducción,feo_ret,1,0.02,0.028,294,0.005320772834179197,0.0024357002215231083,0.5422281128266118,,,,,
R_feo_ret,Reducción,feo_ret,2,0.02,0.028,292,0.004075162273405952,0.0023823109408438164,0.4154070976779236,,,,,
R_feo_ret,Reducción,feo_ret,3,0.02,0.028,204,0.0027763051944670494,0.0023548178335458755,0.15181593211047695,,,,,
F_sn_dep,Fusión,sn_dep,todos,0.02,0.028,1769,0.04820096075013844,0.0010776408334942098,0.9776427519965748,0.16089265341975356,-0.4664194481539703,0.1645720311342494,-0.03855221561765365,1171.0
F_sn_dep,Fusión,sn_dep,1,0.02,0.028,295,0.039403539170727635,0.0009829274511818928,0.9750548435021772,,,,,
F_sn_dep,Fusión,sn_dep,2,0.02,0.028,297,0.022057184229602293,0.0011045670785664256,0.9499225709379523,,,,,
F_sn_dep,Fusión,sn_dep,3,0.02,0.028,297,0.02710530182185656,0.001154784661616804,0.9573963548088723,,,,,
F_sn_dep,Fusión,sn_dep,4,0.02,0.028,297,0.026751737751360905,0.0011264662207868645,0.9578918486994529,,,,,
F_sn_dep,Fusión,sn_dep,5,0.02,0.028,292,0.04285927626279879,0.0011121016321517573,0.9740522535814016,,,,,
F_sn_dep,Fusión,sn_dep,6,0.02,0.028,291,0.09552979071024231,0.000983028953113978,0.989709713108284,,,,,
R_sn_dep,Reducción,sn_dep,todos,0.03,0.028,1086,0.45815234817456885,0.002176526780765966,0.995249338370876,0.7652489876932658,0.7996825168326529,0.7689017798754854,,
R_feo_ret,Reducción,feo_ret,todos,0.03,0.028,1086,0.005695374463182525,0.0024594276505060103,0.5681710366184238,0.3293346891031186,0.48614296954594594,0.5796400518111863,,
F_sn_dep,Fusión,sn_dep,todos,0.03,0.028,1769,0.04820096075013844,0.002313672667790632,0.9519994491440923,0.16089265341975356,-0.4664194481539703,0.1690049858373408,,
R_sn_dep,Reducción,sn_dep,todos,0.04,0.028,1086,0.45815234817456885,0.003795397014372335,0.9917158625738918,0.7652489876932658,0.7996825168326529,0.7716413708530833,,
R_feo_ret,Reducción,feo_ret,todos,0.04,0.028,1086,0.005695374463182525,0.002484719158931167,0.5637303262509752,0.3293346891031186,0.48614296954594594,0.584206088917234,,
F_sn_dep,Fusión,sn_dep,todos,0.04,0.028,1769,0.04820096075013844,0.004046704624884298,0.9160451459492397,0.16089265341975356,-0.4664194481539703,0.17563834504360665,,
R_sn_dep,Reducción,sn_dep,todos,0.02,0.02,1086,0.45815234817456885,0.0009734876506818103,0.9978751879051575,0.7652489876932658,0.7996825168326529,0.7668784603210301,,
R_feo_ret,Reducción,feo_ret,todos,0.02,0.02,1086,0.005695374463182525,0.001252468489800752,0.7800902297298844,0.3293346891031186,0.48614296954594594,0.42217512353302344,,
F_sn_dep,Fusión,sn_dep,todos,0.02,0.02,1769,0.04820096075013844,0.0010334915531812737,0.9785586939119609,0.16089265341975356,-0.4664194481539703,0.1644179898668692,,
R_sn_dep,Reducción,sn_dep,todos,0.02,0.04,1086,0.45815234817456885,0.001119860248518773,0.9975557033528679,0.7652489876932658,0.7996825168326529,0.7671240664768896,,
R_feo_ret,Reducción,feo_ret,todos,0.02,0.04,1086,0.005695374463182525,0.0049692938153610075,0.12748602440721513,0.3293346891031186,0.48614296954594594,2.583300331424248,,
F_sn_dep,Fusión,sn_dep,todos,0.02,0.04,1769,0.04820096075013844,0.0011718655175929065,0.9756879219966681,0.16089265341975356,-0.4664194481539703,0.16490175781872904,,
