config,clave,tercio,palanca,theta_1sd,ci_lo,ci_hi,n,tabla,bloque,n_train,n_test,r2_bloque,r2_global_walkforward
FULL,sn_dep,0.0,Cx_sn_v6,6.054592765197192e-16,3.467758719227465e-21,0.09395197886873903,355.0,tercio,,,,,
FULL,sn_dep,0.0,tasa_gn_nm3_min,0.05242383187239599,3.600017244057443e-16,0.10602448582192477,355.0,tercio,,,,,
FULL,sn_dep,0.0,exceso_o2_combustion_pct,-4.851250874730177e-24,-0.004419318545371032,-1.5769616007093505e-36,355.0,tercio,,,,,
FULL,sn_dep,0.0,tasa_aire_nm3_min,0.012360890016367972,-0.023109183515686107,0.038821920519424916,355.0,tercio,,,,,
FULL,sn_dep,1.0,Cx_sn_v6,0.23326279113845702,1.7659222373650117e-12,0.41639476497805694,345.0,tercio,,,,,
FULL,sn_dep,1.0,tasa_gn_nm3_min,0.02541207601953259,1.9529269713649247e-22,0.1468194041217039,345.0,tercio,,,,,
FULL,sn_dep,1.0,exceso_o2_combustion_pct,-0.05606545743192772,-0.09156592993969416,-0.01824082675384725,345.0,tercio,,,,,
FULL,sn_dep,1.0,tasa_aire_nm3_min,0.06249136455711634,0.034906319076768895,0.10176414184723558,345.0,tercio,,,,,
FULL,sn_dep,2.0,Cx_sn_v6,0.4124445012597804,0.12276722479462007,0.815286114451666,358.0,tercio,,,,,
FULL,sn_dep,2.0,tasa_gn_nm3_min,0.06159035557226767,0.0008626342285237781,0.11589724059716679,358.0,tercio,,,,,
FULL,sn_dep,2.0,exceso_o2_combustion_pct,-0.0018274514748065722,-0.03226176353269348,-6.675313667538466e-19,358.0,tercio,,,,,
FULL,sn_dep,2.0,tasa_aire_nm3_min,-0.00482178146015406,-0.05229895188759794,0.022237178407577503,358.0,tercio,,,,,
FULL,feo_ret,0.0,tasa_feed_Carbon_kg_min,-1.015961133700952e-70,-0.008157630436727273,-1.1e-322,355.0,tercio,,,,,
FULL,feo_ret,0.0,Cx_av_v6,-3.665447872993817e-33,-0.007443262234784621,-8e-323,355.0,tercio,,,,,
FULL,feo_ret,0.0,tasa_gn_nm3_min,-0.008068636380583872,-0.01990579989472873,-9.720726130994173e-11,355.0,tercio,,,,,
FULL,feo_ret,0.0,exceso_o2_combustion_pct,1.7885232218950987e-09,2.742522834342862e-40,0.004370029880607395,355.0,tercio,,,,,
FULL,feo_ret,0.0,tasa_aire_nm3_min,2.3826422793075544e-15,2.7169794463026644e-42,0.005999633336615808,355.0,tercio,,,,,
FULL,feo_ret,1.0,tasa_feed_Carbon_kg_min,-0.00043632675662884406,-0.08423358921332025,-2.821632094731576e-34,345.0,tercio,,,,,
FULL,feo_ret,1.0,Cx_av_v6,-0.040504950501911115,-0.07171502602185635,-8.4e-323,345.0,tercio,,,,,
FULL,feo_ret,1.0,tasa_gn_nm3_min,-0.009035944948147584,-0.026288903407185628,-4.327461816577617e-18,345.0,tercio,,,,,
FULL,feo_ret,1.0,exceso_o2_combustion_pct,0.009947861746263456,0.003631564850815343,0.01641509766591803,345.0,tercio,,,,,
FULL,feo_ret,1.0,tasa_aire_nm3_min,6.531382667365854e-36,4.573897312190412e-29,2.7953524097264182e-05,345.0,tercio,,,,,
FULL,feo_ret,2.0,tasa_feed_Carbon_kg_min,-0.03402566503139553,-0.0653075212110242,-8.72095494961122e-21,358.0,tercio,,,,,
FULL,feo_ret,2.0,Cx_av_v6,-3.992698442031161e-31,-0.02272461204226608,-2.1017049857783837e-36,358.0,tercio,,,,,
FULL,feo_ret,2.0,tasa_gn_nm3_min,-0.021137127926945564,-0.033778169941524265,-0.009715393501923948,358.0,tercio,,,,,
FULL,feo_ret,2.0,exceso_o2_combustion_pct,0.00016370410540703873,5.401376360513239e-18,0.00911941403502629,358.0,tercio,,,,,
FULL,feo_ret,2.0,tasa_aire_nm3_min,0.00826224051145262,3.631710240296007e-14,0.022575844391427867,358.0,tercio,,,,,
CURADO,sn_dep,0.0,Cx_sn_v6,0.0012700707843717985,2.438115382763265e-25,0.15481601743707346,362.0,tercio,,,,,
CURADO,sn_dep,0.0,tasa_gn_nm3_min,0.040117603422451326,7.574116616756422e-19,0.10373442744327732,362.0,tercio,,,,,
CURADO,sn_dep,0.0,exceso_o2_combustion_pct,-2.0750828422077495e-42,-2.926278778598105e-14,-4.423685277039775e-38,362.0,tercio,,,,,
CURADO,sn_dep,0.0,tasa_aire_nm3_min,0.03638462155211397,-0.006444764147626156,0.06415373581735476,362.0,tercio,,,,,
CURADO,sn_dep,1.0,Cx_sn_v6,0.21444747121612986,8.678458768459439e-15,0.39754481101681904,355.0,tercio,,,,,
CURADO,sn_dep,1.0,tasa_gn_nm3_min,0.004128991200638526,7.205224216230888e-26,0.08887342764512607,355.0,tercio,,,,,
CURADO,sn_dep,1.0,exceso_o2_combustion_pct,-0.039680263525878855,-0.06489230619422176,-0.0020257122920948594,355.0,tercio,,,,,
CURADO,sn_dep,1.0,tasa_aire_nm3_min,0.0589552815042732,0.0379188450458186,0.08406146347553223,355.0,tercio,,,,,
CURADO,sn_dep,2.0,Cx_sn_v6,0.3291850009955128,0.07857033762665859,0.6798517328892396,365.0,tercio,,,,,
CURADO,sn_dep,2.0,tasa_gn_nm3_min,0.05832675443646338,1.0288026393557744e-17,0.13168245571569223,365.0,tercio,,,,,
CURADO,sn_dep,2.0,exceso_o2_combustion_pct,-9.460021194955169e-17,-0.032194090036467726,-8.976326503008896e-21,365.0,tercio,,,,,
