subset,kpi,variable,n,coef_por_sd,ci_lo,ci_hi,p_hc3,p_perm,spearman,p_spearman,r2_adj
DEV,recuperacion_refinada_pct,dist_total,298,0.002977015676244768,-0.5768206576221612,0.5827746889746507,0.9919705559674844,,-0.024318298841393374,0.6758765957012253,-0.00369777057028986
DEV,recuperacion_refinada_pct,dist_F,297,0.14840439199542566,-0.3584104839500115,0.6552192679408628,0.5660271861779796,,0.003344056484271303,0.9542364700742012,-0.0005793266997142776
DEV,recuperacion_refinada_pct,dist_R,298,-0.24833779341141385,-0.8586793407041684,0.36200375388134076,0.42517425994282554,,-0.05959158279762984,0.3052224805066849,-0.0006320838788254068
DEV,rendimiento_proxy_batch,dist_total,298,-0.019197572592772036,-0.6119650754919789,0.5735699303064349,0.9493874150351806,,-0.027766850687683992,0.6330718168747438,-0.0033309268177281748
DEV,rendimiento_proxy_batch,dist_F,297,0.12212667932809772,-0.3998789111478448,0.6441322698040403,0.6465597852665872,,-0.007297788905884582,0.9003342394861282,0.0004326468179365328
DEV,rendimiento_proxy_batch,dist_R,298,-0.24284639782585632,-0.8907258203287041,0.40503302467699137,0.46254743593050796,,-0.05513543809512285,0.3428715113412458,-0.000570548798395798
DEV,recuperacion_refinada_pct_next,dist_total,298,-0.37663769129212865,-0.8681865366645329,0.11491115408027569,0.13315494153184476,,-0.048377446153509286,0.40535153641034316,0.0045981441419451485
DEV,recuperacion_refinada_pct_next,dist_F,297,0.07361937430546911,-0.5242081622519073,0.6714469108628456,0.8092765421888238,,-0.013756414538132426,0.8133665545065434,-0.0021597850315262512
DEV,recuperacion_refinada_pct_next,dist_R,298,-0.14898618640156913,-0.6106741292755182,0.31270175647238,0.5270744483975176,,-0.028862005301467052,0.6197216363791678,-0.0012237295404682325
DEV,recuperacion_refinada_pct_media2,dist_total,298,-0.18683033780793903,-0.5790247148232002,0.20536403920732207,0.35047334292789256,,-0.03605017699619034,0.5353179506581486,0.016742067210340106
DEV,recuperacion_refinada_pct_media2,dist_F,297,0.11101188315044871,-0.2995391197611952,0.5215628860620927,0.5961334440081025,,-0.010881639043948916,0.8518601819821624,0.015892055285663398
DEV,recuperacion_refinada_pct_media2,dist_R,298,-0.1986619899064926,-0.6078773824686268,0.21055340265564154,0.3413482635645233,,-0.03582714040175274,0.5378477448350429,0.017215104162106587
DEV,f_dross,dist_total,298,-0.0005922485981805383,-0.004470360299505675,0.0032858631031445987,0.7646979560738053,,-0.023459901912395588,0.6867023975339475,0.0746028950796852
DEV,f_dross,dist_F,297,-0.0032175251450727574,-0.007006181356278188,0.0005711310661326735,0.09601175313475754,,-0.05105520659364145,0.38063272379436824,0.08351804695906728
DEV,f_dross,dist_R,298,0.002602048553561981,-0.0031373722290996752,0.008341469336223636,0.37423006778560886,,0.03234049171776207,0.5781543844243816,0.07940687175280725
DEV,f_polvo,dist_total,298,0.0007842243241082201,-0.0030197890815154543,0.004588237729731895,0.686168255300815,,0.038337421639542076,0.5097240008668191,0.048988777891114776
DEV,f_polvo,dist_F,297,0.001996258351791789,-0.001953026523342308,0.005945543226925886,0.3218273978071825,,0.0798128097944193,0.1701075835557331,0.05358402500176951
DEV,f_polvo,dist_R,298,-0.00017358457530343224,-0.004073066485653396,0.003725897335046532,0.9304748921993305,,-0.015091352780277215,0.7952980627106447,0.04845982854100095
LOCKBOX,recuperacion_refinada_pct,dist_total,63,-0.3315458936989155,-1.5862312586786331,0.9231394712808021,0.6045188882659032,,-0.0627400153609831,0.6252006433409257,0.054417118321149816
LOCKBOX,recuperacion_refinada_pct,dist_F,62,-0.10274420038144383,-1.3384015161072766,1.132913115344389,0.8705421448307044,,0.05094306363476115,0.6941582837260091,0.045852961591124175
