subset,kpi,variable,n,coef_por_sd,ci_lo,ci_hi,p_hc3,p_perm,spearman,p_spearman,r2_adj
DEV,recuperacion_refinada_pct,dist_total,298,-0.13471252586960297,-0.650647082567761,0.38122203082855516,0.6088230172395102,0.602,-0.0597161757940743,0.3042106147785061,-0.002860208689142718
DEV,recuperacion_refinada_pct,dist_F,297,-0.48529269793554564,-1.1131680929253776,0.14258269705428617,0.129802662346956,0.06,-0.09342310365335407,0.10810898038014082,0.006700595736398474
DEV,recuperacion_refinada_pct,dist_R,298,0.12996023597939055,-0.28418375368020243,0.5441042256389835,0.5385246967921477,0.634,-0.03845266984385262,0.5084514642671806,-0.002857179071823035
DEV,recuperacion_refinada_pct,uplift_fisico_total_kg,298,-0.0033446307513136653,-0.5648601824375646,0.5581709209349374,0.9906853899751779,0.992,-0.06879713559339265,0.2363992998721265,-0.0036976539811377496
DEV,recuperacion_refinada_pct,uplift_batch_pp,298,0.12244342490742363,-0.3876360306789659,0.6325228804938132,0.6380085900928031,0.645,-0.05177022260504728,0.3731792395524081,-0.0029581003995173827
DEV,rendimiento_proxy_batch,dist_total,298,-0.07236072852599018,-0.6048958456805638,0.4601743886285834,0.7899932494253646,0.794,-0.056749196868330784,0.32890945982305353,-0.003118848494820803
DEV,rendimiento_proxy_batch,dist_F,297,-0.48022632628483536,-1.1300506807550832,0.16959802818541242,0.14749630749565334,0.078,-0.10151127259671694,0.08071531184312344,0.0064143262497019515
DEV,rendimiento_proxy_batch,dist_R,298,0.2045289077687259,-0.20555058906115165,0.6146084045986034,0.32830166578567455,0.441,-0.030657704194509458,0.5981007307610593,-0.0013747437112572314
DEV,rendimiento_proxy_batch,uplift_fisico_total_kg,298,0.04244493922684148,-0.5082190316671076,0.5931089101207905,0.8799179960501639,0.892,-0.06453281191653308,0.2667900735221111,-0.0032644446255121196
DEV,rendimiento_proxy_batch,uplift_batch_pp,298,0.17222705715335287,-0.30820928967853845,0.6526634039852441,0.4822995456506476,0.552,-0.04707465990046616,0.4181308414305279,-0.001960855472934231
DEV,recuperacion_refinada_pct_next,dist_total,298,0.060147305457518285,-0.5538795775122674,0.6741741884273038,0.8477506366042116,0.83,0.0006087680280927231,0.9916504501081266,-0.002166314742311215
DEV,recuperacion_refinada_pct_next,dist_F,297,-0.21703960098095756,-0.8515436916898745,0.41746448972795946,0.5025844955445922,0.38,-0.060498083714832174,0.29873003945837745,-0.001345880312632941
DEV,recuperacion_refinada_pct_next,dist_R,298,0.2756388123106108,-0.3031103412738857,0.8543879658951073,0.35057987433578075,0.276,-0.008832707294981437,0.879314464302433,0.0014733805623460272
DEV,recuperacion_refinada_pct_next,uplift_fisico_total_kg,298,0.17136790253581988,-0.5156763898362915,0.8584121949079313,0.6249341751797692,0.499,-0.035136911589427784,0.5457143150723084,-0.0008893623229766501
DEV,recuperacion_refinada_pct_next,uplift_batch_pp,298,0.26273119150874613,-0.3743130933679769,0.8997754763854692,0.4188991316267071,0.315,-0.03054791163091876,0.5994128538531638,0.0010952298294767404
DEV,recuperacion_refinada_pct_media2,dist_total,298,-0.03728261020604212,-0.4416097461459439,0.36704452573385965,0.85658236383785,0.837,-0.038443530927120245,0.5085523129468194,0.01385627715183868
DEV,recuperacion_refinada_pct_media2,dist_F,297,-0.3511661494582509,-0.8454778254296511,0.14314552651314932,0.1638053283750257,0.07,-0.1122871001143503,0.053226575738449584,0.022301439220341224
DEV,recuperacion_refinada_pct_media2,dist_R,298,0.2027995241450013,-0.13513981859934932,0.5407388668893519,0.23952027442002888,0.273,-0.025034355211524896,0.6668965626646042,0.017366947303727787
DEV,recuperacion_refinada_pct_media2,uplift_fisico_total_kg,298,0.08401163589225133,-0.4236018953698827,0.5916251671543854,0.7456502053953742,0.674,-0.05892534418067117,0.31067091304892824,0.014353353569904304
DEV,recuperacion_refinada_pct_media2,uplift_batch_pp,298,0.192587308208088,-0.2591931037729849,0.6443677201891609,0.4034341867768253,0.339,-0.03997803447055844,0.49176622410237675,0.016982905806191995
DEV,f_dross,dist_total,298,-0.0036384637519279745,-0.008116651667966152,0.0008397241641102029,0.11128525544556021,0.077,-0.03227921616071989,0.5788752029415307,0.08353604303245787
DEV,f_dross,dist_F,297,-0.0010715008561804746,-0.005789592223401424,0.003646590511040474,0.6562351408768555,0.599,-0.007773024657193599,0.8938809949904519,0.07846413901531524
DEV,f_dross,dist_R,298,-0.003413630797272122,-0.007590832210564998,0.0007635706160207538,0.10922355856216069,0.106,-0.004453197216950237,0.9389804228244217,0.08306926426942507
DEV,f_dross,uplift_fisico_total_kg,298,-0.0036095038952115525,-0.007763733444989355,0.0005447256545662504,0.08857506400419583,0.071,-0.07509340678152483,0.1961179505587246,0.08392182119170843
DEV,f_dross,uplift_batch_pp,298,-0.0034767625265699808,-0.0075076622516456965,0.000554137198505735,0.09092791154605381,0.085,-0.05577380764790065,0.3373039774396664,0.08331673963843866
DEV,f_polvo,dist_total,298,0.00436207103718786,0.00020780495857382255,0.008516337115801898,0.03958961254047234,0.027,0.15564078559871838,0.0071044490651059776,0.06481731567870663
DEV,f_polvo,dist_F,297,0.0058737641190288485,0.0012195500989782395,0.010527978139079457,0.013378330883376584,0.001,0.16341376384264641,0.004752480223622954,0.07384729975340953
DEV,f_polvo,dist_R,298,0.001368341719584849,-0.001918796510809289,0.004655479949978987,0.4145704860902917,0.47,0.0940227486937687,0.10526382650700877,0.050170587753616824
DEV,f_polvo,uplift_fisico_total_kg,298,0.0031850545029430814,-0.0017327606759725274,0.00810286968185869,0.20430441454210324,0.094,0.2042791971154808,0.00038657603180248287,0.05768115614223934
DEV,f_polvo,uplift_batch_pp,298,0.0017544919550364318,-0.0021703467332998432,0.005679330643372707,0.3809493767794524,0.371,0.16542369914663077,0.004191108686820115,0.05126570180920165
LOCKBOX,recuperacion_refinada_pct,dist_total,63,-0.12976520420041693,-1.3195720685189403,1.0600416601181064,0.8307329009561427,,0.06278801843317973,0.6249354728661876,0.04874361322631804
LOCKBOX,recuperacion_refinada_pct,dist_F,63,-0.0328195524049284,-1.219005050348835,1.1533659455389782,0.9567530603501553,,0.12917626728110598,0.31297059954624606,0.04787767668486931
LOCKBOX,recuperacion_refinada_pct,dist_R,63,-0.1483214785835847,-1.6753813000652238,1.3787383428980544,0.8490200366111731,,0.010848694316436253,0.9327487702617793,0.049088994496663485
LOCKBOX,recuperacion_refinada_pct,uplift_fisico_total_kg,63,0.14780289490158338,-1.1080237954860777,1.4036295852892442,0.8175669695971335,,0.055299539170506916,0.6668562158671623,0.04905425692772125
LOCKBOX,recuperacion_refinada_pct,uplift_batch_pp,63,0.21426553278562444,-1.3637865696310234,1.7923176352022723,0.7901460594816477,,0.04421082949308756,0.7308057731305531,0.050439784555267986
LOCKBOX,rendimiento_proxy_batch,dist_total,63,-0.2266593748712773,-1.3914249045958393,0.9381061548532847,0.7029047804094486,,0.04181067588325653,0.744909571224085,0.043741528992873424
LOCKBOX,rendimiento_proxy_batch,dist_F,63,-0.09363635393479397,-1.2393256917577247,1.0520529838881367,0.8727342210979909,,0.12610407066052226,0.32471488039790825,0.041229340885056365
LOCKBOX,rendimiento_proxy_batch,dist_R,63,-0.22653621635526378,-1.7667831859383076,1.31371075322778,0.7731421409965662,,-0.010224654377880185,0.9366090136139451,0.04389592311256807
LOCKBOX,rendimiento_proxy_batch,uplift_fisico_total_kg,63,0.0439552633918065,-1.185905885569132,1.2738164123527451,0.9441545363566202,,0.031442012288786486,0.8067458783253104,0.04088902279177398
LOCKBOX,rendimiento_proxy_batch,uplift_batch_pp,63,0.09444274796118579,-1.426537302094873,1.6154227980172446,0.9031360339359128,,0.02136136712749616,0.868019811399171,0.04131175915666374
LOCKBOX,recuperacion_refinada_pct_next,dist_total,62,-1.1215557038387938,-2.5605460733272496,0.3174346656496623,0.1266106563877749,,-0.10876079675656619,0.4000929481529645,0.019655199173881033
LOCKBOX,recuperacion_refinada_pct_next,dist_F,62,-1.3330786827407723,-2.7587792109748044,0.09262184549325991,0.0668571284994503,,0.00234192037470726,0.9855869693490956,0.03963089202237402
LOCKBOX,recuperacion_refinada_pct_next,dist_R,62,-0.34065541789266185,-1.8105964466367968,1.1292856108514733,0.6496725769677125,,-0.2231875299035532,0.08121411594456159,-0.046433743747636536
LOCKBOX,recuperacion_refinada_pct_next,uplift_fisico_total_kg,62,-0.7785085590145728,-2.1251447682154683,0.5681276501863226,0.2571799791819174,,-0.1779607665382388,0.16641309697402193,-0.017301278305223988
LOCKBOX,recuperacion_refinada_pct_next,uplift_batch_pp,62,-0.18921473274158984,-1.5182284606994563,1.1397989952162766,0.7802106223267051,,-0.17478784215960314,0.17422328924989836,-0.05136799885314769
LOCKBOX,recuperacion_refinada_pct_media2,dist_total,62,-0.6650453302248065,-1.419774286817897,0.08968362636828409,0.08415624512558088,,-0.05487144619878624,0.6718686717811458,0.13766899713850433
LOCKBOX,recuperacion_refinada_pct_media2,dist_F,62,-0.6701080648807873,-1.5627602919002008,0.22254416213862627,0.1412013877185781,,0.03603535544307623,0.780967430013161,0.13337531871206387
LOCKBOX,recuperacion_refinada_pct_media2,dist_R,62,-0.31068057588019526,-1.1092993206575268,0.48793816889713626,0.44577961250342624,,-0.10860970511948832,0.4007518005952017,0.09876771899386061
