combo,sn_forma,feo_forma,estado_id,orden,q_avance,C_hist,C_p5,C_p95,C_opt,interior,J_hist_aprox,J_opt
F0+G0,F0,G0,0,0,0.25,66.13052374726982,48.855764194260715,66.18783296974756,66.18783296974756,False,1023.3431059904635,1023.3431059904635
F0+G1,F0,G1,0,0,0.25,66.13052374726982,48.855764194260715,66.18783296974756,66.18783296974756,False,1023.3431062719949,1023.3431062719949
F0+G2,F0,G2,0,0,0.25,66.13052374726982,48.855764194260715,66.18783296974756,66.18783296974756,False,1023.3431067645665,1023.3431067645665
F2+G0,F2,G0,0,0,0.25,66.13052374726982,48.855764194260715,66.18783296974756,48.855764194260715,False,975.3828864191257,992.0805116363074
F2+G1,F2,G1,0,0,0.25,66.13052374726982,48.855764194260715,66.18783296974756,48.855764194260715,False,975.3828867006571,992.080509503556
F2+G2,F2,G2,0,0,0.25,66.13052374726982,48.855764194260715,66.18783296974756,48.855764194260715,False,975.382887193229,992.0805099961276
F3+G0,F3,G0,0,0,0.25,66.13052374726982,48.855764194260715,66.18783296974756,48.855764194260715,False,981.253778651725,991.377665376958
F3+G1,F3,G1,0,0,0.25,66.13052374726982,48.855764194260715,66.18783296974756,48.855764194260715,False,981.2537789332566,991.3776632442064
F3+G2,F3,G2,0,0,0.25,66.13052374726982,48.855764194260715,66.18783296974756,48.855764194260715,False,981.2537794258283,991.3776637367782
F4+G0,F4,G0,0,0,0.25,66.13052374726982,48.855764194260715,66.18783296974756,48.855764194260715,False,984.062306680943,988.7764418248289
F4+G1,F4,G1,0,0,0.25,66.13052374726982,48.855764194260715,66.18783296974756,48.855764194260715,False,984.0623069624744,988.7764396920772
F4+G2,F4,G2,0,0,0.25,66.13052374726982,48.855764194260715,66.18783296974756,48.855764194260715,False,984.062307455046,988.7764401846491
F0+G0,F0,G0,1,0,0.5,63.00670914188507,48.855764194260715,66.18783296974756,66.18783296974756,False,1278.3657606576091,1302.1654389034293
F0+G1,F0,G1,1,0,0.5,63.00670914188507,48.855764194260715,66.18783296974756,66.18783296974756,False,1278.3657609423117,1302.1654396214649
F0+G2,F0,G2,1,0,0.5,63.00670914188507,48.855764194260715,66.18783296974756,66.18783296974756,False,1278.3657606968484,1302.1654393760016
F2+G0,F2,G0,1,0,0.5,63.00670914188507,48.855764194260715,66.18783296974756,48.855764194260715,False,1284.9993595609228,1297.6156699297824
F2+G1,F2,G1,1,0,0.5,63.00670914188507,48.855764194260715,66.18783296974756,48.855764194260715,False,1284.9993598456256,1297.615668233535
F2+G2,F2,G2,1,0,0.5,63.00670914188507,48.855764194260715,66.18783296974756,48.855764194260715,False,1284.999359600162,1297.6156679880717
F3+G0,F3,G0,1,0,0.5,63.00670914188507,48.855764194260715,66.18783296974756,48.855764194260715,False,1285.667361453214,1292.2629576694671
F3+G1,F3,G1,1,0,0.5,63.00670914188507,48.855764194260715,66.18783296974756,48.855764194260715,False,1285.6673617379165,1292.2629559732197
F3+G2,F3,G2,1,0,0.5,63.00670914188507,48.855764194260715,66.18783296974756,48.855764194260715,False,1285.6673614924532,1292.2629557277564
F4+G0,F4,G0,1,0,0.5,63.00670914188507,48.855764194260715,66.18783296974756,48.855764194260715,False,1285.7646422361163,1289.2189386898483
F4+G1,F4,G1,1,0,0.5,63.00670914188507,48.855764194260715,66.18783296974756,48.855764194260715,False,1285.764642520819,1289.218936993601
F4+G2,F4,G2,1,0,0.5,63.00670914188507,48.855764194260715,66.18783296974756,48.855764194260715,False,1285.7646422753558,1289.2189367481376
F0+G0,F0,G0,2,0,0.75,58.868734408394495,48.855764194260715,66.18783296974756,66.18783296974756,False,1015.227511138501,1057.592879409015
F0+G1,F0,G1,2,0,0.75,58.868734408394495,48.855764194260715,66.18783296974756,66.18783296974756,False,1015.227510903598,1057.5928801645873
F0+G2,F0,G2,2,0,0.75,58.868734408394495,48.855764194260715,66.18783296974756,66.18783296974756,False,1015.2275109105052,1057.5928801714942
F2+G0,F2,G0,2,0,0.75,58.868734408394495,48.855764194260715,66.18783296974756,48.855764194260715,False,1021.2628518515008,1029.1758017628424
F2+G1,F2,G1,2,0,0.75,58.868734408394495,48.855764194260715,66.18783296974756,48.855764194260715,False,1021.2628516165979,1029.175800104132
F2+G2,F2,G2,2,0,0.75,58.868734408394495,48.855764194260715,66.18783296974756,48.855764194260715,False,1021.2628516235051,1029.1758001110388
F3+G0,F3,G0,2,0,0.75,58.868734408394495,48.855764194260715,66.18783296974756,48.855764194260715,False,1016.7449666861788,1019.7210220281954
F3+G1,F3,G1,2,0,0.75,58.868734408394495,48.855764194260715,66.18783296974756,48.855764194260715,False,1016.7449664512761,1019.7210203694847
F3+G2,F3,G2,2,0,0.75,58.868734408394495,48.855764194260715,66.18783296974756,48.855764194260715,False,1016.7449664581831,1019.7210203763918
F4+G0,F4,G0,2,0,0.75,58.868734408394495,48.855764194260715,66.18783296974756,48.855764194260715,False,1023.5244164403272,1025.5325909412693
F4+G1,F4,G1,2,0,0.75,58.868734408394495,48.855764194260715,66.18783296974756,48.855764194260715,False,1023.5244162054245,1025.5325892825588
F4+G2,F4,G2,2,0,0.75,58.868734408394495,48.855764194260715,66.18783296974756,48.855764194260715,False,1023.5244162123314,1025.5325892894657
F0+G0,F0,G0,3,1,0.25,19.181326059194713,20.15412033081055,42.052539756481465,42.052539756481465,False,229.5254970858496,244.5116018884837
F0+G1,F0,G1,3,1,0.25,19.181326059194713,20.15412033081055,42.052539756481465,42.052539756481465,False,229.52549935226764,244.51159989886173
F0+G2,F0,G2,3,1,0.25,19.181326059194713,20.15412033081055,42.052539756481465,42.052539756481465,False,229.52549588973682,244.5116037427199
F2+G0,F2,G0,3,1,0.25,19.181326059194713,20.15412033081055,42.052539756481465,42.052539756481465,False,239.459059297368,261.35598721754735
F2+G1,F2,G1,3,1,0.25,19.181326059194713,20.15412033081055,42.052539756481465,42.052539756481465,False,239.45906156378604,261.3559852279254
F2+G2,F2,G2,3,1,0.25,19.181326059194713,20.15412033081055,42.052539756481465,42.052539756481465,False,239.45905810125518,261.3559890717835
F3+G0,F3,G0,3,1,0.25,19.181326059194713,20.15412033081055,42.052539756481465,42.052539756481465,False,237.46214701523533,279.40085454730297
F3+G1,F3,G1,3,1,0.25,19.181326059194713,20.15412033081055,42.052539756481465,42.052539756481465,False,237.46214928165338,279.40085255768105
F3+G2,F3,G2,3,1,0.25,19.181326059194713,20.15412033081055,42.052539756481465,42.052539756481465,False,237.46214581912258,279.40085640153916
F4+G0,F4,G0,3,1,0.25,19.181326059194713,20.15412033081055,42.052539756481465,42.052539756481465,False,215.67723043939688,241.96090070803228
F4+G1,F4,G1,3,1,0.25,19.181326059194713,20.15412033081055,42.052539756481465,42.052539756481465,False,215.67723270581493,241.96089871841036
F4+G2,F4,G2,3,1,0.25,19.181326059194713,20.15412033081055,42.052539756481465,42.052539756481465,False,215.6772292432841,241.96090256226847
F0+G0,F0,G0,4,1,0.5,28.131135128705928,20.15412033081055,42.052539756481465,42.052539756481465,False,677.5527320242076,682.5614630212812
F0+G1,F0,G1,4,1,0.5,28.131135128705928,20.15412033081055,42.052539756481465,42.052539756481465,False,677.5527328341991,682.5614611030419
F0+G2,F0,G2,4,1,0.5,28.131135128705928,20.15412033081055,42.052539756481465,42.052539756481465,False,677.5527315330977,682.5614644855231
F2+G0,F2,G0,4,1,0.5,28.131135128705928,20.15412033081055,42.052539756481465,42.052539756481465,False,683.9110642279124,701.307793913564
