palanca,signo_teorico,sd_palanca,theta_libre_1sd,ci_lo_libre_1sd,ci_hi_libre_1sd,theta_acot_1sd,ci_lo_acot_1sd,ci_hi_acot_1sd,frac_replicas_en_cota,r2_balance_oof,identificado_libre,interior,r2_oof_plm_interno,forma,target
Cx_sn_v6,1,329.83099338858494,0.1786478814184529,0.03292834700188681,0.292009634480198,0.1786478814184529,0.03294715320752834,0.28991648675180787,0.008,0.9632865666650351,True,True,0.7677329564677862,F0,sn_dep
tasa_gn_nm3_min,1,4.926183847561063,0.05629118759708198,0.020039007560208957,0.09724935887716568,0.05629118759708198,0.020039007560208957,0.09057429037765079,0.002,0.666528387394829,True,True,0.7677329564677862,F0,sn_dep
exceso_o2_combustion_pct,-1,11.210335231916272,-0.003864932425360909,-0.021916107218108306,0.013750830618914517,-0.003864932425360909,-0.021916107218108306,-7.944211275197419e-22,0.316,-0.06178469342655224,False,False,0.7677329564677862,F0,sn_dep
tasa_aire_nm3_min,0,9.73829806488448,0.0059119986649346,-0.011633539034122252,0.021720276044125946,0.0059119986649346,-0.011633539034122252,0.021720276044125946,0.0,-0.032193384979474216,False,True,0.7677329564677862,F0,sn_dep
m8_dosis,1,0.16384805099233618,0.020041318406573708,-0.008997678030033875,0.050526654602953545,0.020041318406573708,5.2482451810865795e-21,0.05146998759851318,0.05,0.46220389120589,False,False,0.7658418430231759,F1,sn_dep
tasa_gn_nm3_min,1,4.926183847561063,0.05415067898611601,0.014158101829026683,0.09458760678964816,0.05415067898611601,0.014158101829026683,0.08910582265429262,0.002,0.666528387394829,True,True,0.7658418430231759,F1,sn_dep
exceso_o2_combustion_pct,-1,11.210335231916272,-0.007110946657426746,-0.02388110953503715,0.009737401423639396,-0.007110946657426746,-0.024329378497521252,-3.2796916609196946e-17,0.22,-0.06178469342655224,False,False,0.7658418430231759,F1,sn_dep
tasa_aire_nm3_min,0,9.73829806488448,0.01449553366411178,-0.001977446930984095,0.028995162186648136,0.01449553366411178,-0.0017517383435125583,0.028995162186648136,0.0,-0.032193384979474216,False,True,0.7658418430231759,F1,sn_dep
m8_ln1p_dosis,1,0.12119330548164614,0.023430502736580962,-0.006022587770216146,0.055661069463251486,0.023430502736580962,1.75616973362569e-21,0.055661069463251486,0.044,0.4983798994318466,False,True,0.7659410985105727,F2,sn_dep
tasa_gn_nm3_min,1,4.926183847561063,0.051864667870187654,0.010751948424661895,0.09205552298840401,0.051864667870187654,0.010751948424661895,0.0882992539426905,0.006,0.666528387394829,True,True,0.7659410985105727,F2,sn_dep
exceso_o2_combustion_pct,-1,11.210335231916272,-0.007746076147163171,-0.024970265340903613,0.009313213546140313,-0.007746076147163171,-0.025108804622507554,-5.4595947247268526e-17,0.188,-0.06178469342655224,False,False,0.7659410985105727,F2,sn_dep
tasa_aire_nm3_min,0,9.73829806488448,0.01429316549156725,-0.002229772497338248,0.028824271164385323,0.01429316549156725,-0.0017560947935248614,0.028824271164385323,0.0,-0.032193384979474216,False,True,0.7659410985105727,F2,sn_dep
m8_dosis,1,0.16384805099233618,0.05691093724018828,0.012759429724995937,0.1294330417380748,0.05691093724018828,0.01665173365714416,0.1294330417380748,0.002,0.46220389120589,True,True,0.7664055077399603,F3,sn_dep
m8_dosis_sq,-1,0.1547878915394004,-0.0338907020459385,-0.12975923398781136,0.0057544272390674745,-0.0338907020459385,-0.12975923398781136,-1.3512987702493387e-18,0.042,0.18127149123340125,False,True,0.7664055077399603,F3,sn_dep
tasa_gn_nm3_min,1,4.926183847561063,0.047891296156254155,0.008363775520699565,0.09082093615784313,0.047891296156254155,0.008363775520699565,0.0862192919630294,0.01,0.666528387394829,True,True,0.7664055077399603,F3,sn_dep
