comparacion,variante,grupo,n,spearman,p_spearman,pearson,p_pearson
m6_ln_feo_ret vs m8_ln_feo_ret_dross40,m8_ln_feo_ret_dross40,global,1328,0.9820980598991282,0.0,0.9798489121723352,0.0
m6_ln_feo_ret vs m8_ln_feo_ret_dross40,m8_ln_feo_ret_dross40,orden_0,359,0.9101487164324656,1.0977816338563946e-138,0.9218393777206983,5.038399918379928e-149
m6_ln_feo_ret vs m8_ln_feo_ret_dross40,m8_ln_feo_ret_dross40,orden_1,357,0.9990315377924444,0.0,0.9993221901897852,0.0
m6_ln_feo_ret vs m8_ln_feo_ret_dross40,m8_ln_feo_ret_dross40,orden_2,355,0.9999975859728931,0.0,0.9999996946700934,0.0
m6_ln_feo_ret vs m8_ln_feo_ret_dross40,m8_ln_feo_ret_dross40,orden_3,257,0.9999858610080534,0.0,0.999924498293216,0.0
m6_ln_feo_ret vs m8_ln_feo_ret_dross50,m8_ln_feo_ret_dross50,global,1328,0.9757746959812216,0.0,0.9701969746055701,0.0
m6_ln_feo_ret vs m8_ln_feo_ret_dross50,m8_ln_feo_ret_dross50,orden_0,359,0.8649997665769285,5.87156633783258e-109,0.8827238102842552,3.8238724544190265e-119
m6_ln_feo_ret vs m8_ln_feo_ret_dross50,m8_ln_feo_ret_dross50,orden_1,357,0.9986153522359292,0.0,0.9989485096408405,0.0
m6_ln_feo_ret vs m8_ln_feo_ret_dross50,m8_ln_feo_ret_dross50,orden_2,355,0.9999975859728931,0.0,0.9999995229798013,0.0
m6_ln_feo_ret vs m8_ln_feo_ret_dross50,m8_ln_feo_ret_dross50,orden_3,257,0.9999802054112749,0.0,0.999882206908851,0.0
m6_ln_feo_ret vs m8_ln_feo_ret_dross60,m8_ln_feo_ret_dross60,global,1328,0.9696779141893287,0.0,0.9594234484070101,0.0
m6_ln_feo_ret vs m8_ln_feo_ret_dross60,m8_ln_feo_ret_dross60,orden_0,359,0.8130903658517609,6.740205818747689e-86,0.839518675418773,1.3144360023271193e-96
m6_ln_feo_ret vs m8_ln_feo_ret_dross60,m8_ln_feo_ret_dross60,orden_1,357,0.9980127007805195,0.0,0.9984968124289489,0.0
m6_ln_feo_ret vs m8_ln_feo_ret_dross60,m8_ln_feo_ret_dross60,orden_2,355,0.9999975859728931,0.0,0.999999313174133,0.0
m6_ln_feo_ret vs m8_ln_feo_ret_dross60,m8_ln_feo_ret_dross60,orden_3,257,0.9999752567640936,0.0,0.9998306361560277,0.0
m8_ln_feo_ret_dross40 vs m8_ln_feo_ret_dross50,m8_ln_feo_ret_dross50,global,1328,0.9994750008828207,0.0,0.9990467282336317,0.0
m8_ln_feo_ret_dross40 vs m8_ln_feo_ret_dross50,m8_ln_feo_ret_dross50,orden_0,359,0.9945122235881795,0.0,0.9958453457852396,0.0
m8_ln_feo_ret_dross40 vs m8_ln_feo_ret_dross50,m8_ln_feo_ret_dross50,orden_1,357,0.9999554275291185,0.0,0.9999591253340873,0.0
m8_ln_feo_ret_dross40 vs m8_ln_feo_ret_dross50,m8_ln_feo_ret_dross50,orden_2,355,1.0,0.0,0.9999999809284317,0.0
m8_ln_feo_ret_dross40 vs m8_ln_feo_ret_dross50,m8_ln_feo_ret_dross50,orden_3,257,0.9999985861008053,0.0,0.9999953165269334,0.0
m8_ln_feo_ret_dross40 vs m8_ln_feo_ret_dross60,m8_ln_feo_ret_dross60,global,1328,0.9982164919610638,0.0,0.9964093687319484,0.0
m8_ln_feo_ret_dross40 vs m8_ln_feo_ret_dross60,m8_ln_feo_ret_dross60,orden_0,359,0.9793897802192103,4.2548503767742423e-250,0.9844752258873908,7.241474170483977e-272
m8_ln_feo_ret_dross40 vs m8_ln_feo_ret_dross60,m8_ln_feo_ret_dross60,orden_1,357,0.9997884785701364,0.0,0.9998377035706669,0.0
m8_ln_feo_ret_dross40 vs m8_ln_feo_ret_dross60,m8_ln_feo_ret_dross60,orden_2,355,1.0,0.0,0.999999923722972,0.0
m8_ln_feo_ret_dross40 vs m8_ln_feo_ret_dross60,m8_ln_feo_ret_dross60,orden_3,257,0.9999950513528185,0.0,0.9999812948882627,0.0
m8_ln_feo_ret_dross50 vs m8_ln_feo_ret_dross60,m8_ln_feo_ret_dross60,global,1328,0.99960874592455,0.0,0.9991554823624262,0.0
m8_ln_feo_ret_dross50 vs m8_ln_feo_ret_dross60,m8_ln_feo_ret_dross60,orden_0,359,0.994726972813993,0.0,0.9963682641141732,0.0
m8_ln_feo_ret_dross50 vs m8_ln_feo_ret_dross60,m8_ln_feo_ret_dross60,orden_1,357,0.9999248334070935,0.0,0.9999597236190209,0.0
m8_ln_feo_ret_dross50 vs m8_ln_feo_ret_dross60,m8_ln_feo_ret_dross60,orden_2,355,1.0,0.0,0.9999999809330541,0.0
m8_ln_feo_ret_dross50 vs m8_ln_feo_ret_dross60,m8_ln_feo_ret_dross60,orden_3,257,0.999997879151208,0.0,0.9999953308891498,0.0
