n_dev,n_lockbox,r2_oof,mae_oof,r2_oof_cronologico,r2_walk_forward,n_walk_forward,r2_lockbox,mae_lockbox,estado,familia,target,k_estado
1045,238,0.8042568362508857,0.2300129652435061,0.7989352154306835,0.80121769138189,697,0.8212610374709471,0.2341620228349238,k16_v7,sn_dep,m6_ln_sn_dep,16
1045,238,0.5502019492097943,0.4052883904840138,0.5435693383179779,0.5365386518734334,697,0.5931804789746347,0.4018191039792764,k16_v7,sn_dep,m8_ln_sn_dep_cstar,16
1083,242,0.3328694517022018,0.0465927005679288,0.3050695869922152,0.2461470964176535,720,0.4828525380344691,0.0421738987661316,k16_v7,feo_ret,m6_ln_feo_ret,16
1083,242,0.4294956430851195,0.0460980881806265,0.3992724245284846,0.317000952483346,720,0.5404181377549009,0.0427595743831733,k16_v7,feo_ret,m8_ln_feo_ret_dross40,16
1083,242,0.4469881617212191,0.0466335011027401,0.4153706291708424,0.3340449318982835,720,0.5540280428542862,0.0430808578510362,k16_v7,feo_ret,m8_ln_feo_ret_dross50,16
1083,242,0.4642109226294292,0.0469449789590956,0.4339536372925706,0.3487923212780388,720,0.5613343455095352,0.0438290440937805,k16_v7,feo_ret,m8_ln_feo_ret_dross60,16
1083,242,0.325266715975522,0.0469313858852606,0.303704832256301,0.2554345309109349,720,0.4692280423255723,0.0423002141001532,k15_sin_espesor,feo_ret,m6_ln_feo_ret,15
1083,242,0.4244471153281037,0.0464648667763308,0.3954213148152343,0.3253161750351443,720,0.5555300987822323,0.0419738979577031,k15_sin_espesor,feo_ret,m8_ln_feo_ret_dross40,15
1083,242,0.4382728875595018,0.0469138293103938,0.4164079140751521,0.3328873883610429,720,0.5659236330083317,0.0425474713373673,k15_sin_espesor,feo_ret,m8_ln_feo_ret_dross50,15
1083,242,0.4604539831244564,0.0471175998860832,0.4302433349120093,0.3508896717242967,720,0.5740787203334525,0.0432549582550142,k15_sin_espesor,feo_ret,m8_ln_feo_ret_dross60,15
1045,238,0.5501135626227157,0.4062979195314584,0.544218798868368,0.5378451097333051,697,0.5901976011751251,0.4039771842314449,k15_sin_espesor,sn_dep,m8_ln_sn_dep_cstar,15
1083,242,0.3256634842311124,0.0471770831768235,0.2985929518892349,0.2275056352357138,720,0.4615789754212149,0.0426924185045075,k17,feo_ret,m6_ln_feo_ret,17
1083,242,0.426909143278644,0.0464703460782036,0.396213180085792,0.3130277723610353,720,0.5498586659612815,0.0421703581776822,k17,feo_ret,m8_ln_feo_ret_dross40,17
1083,242,0.4406713383298734,0.0470464453867262,0.4138505652785257,0.3301865551831006,720,0.562247924644178,0.0428200845431141,k17,feo_ret,m8_ln_feo_ret_dross50,17
1083,242,0.4628367526205024,0.0470118779710844,0.4269089924044917,0.3350267913058617,720,0.5714361029960774,0.0432949783621375,k17,feo_ret,m8_ln_feo_ret_dross60,17
1045,238,0.5473211930371465,0.4040184813104999,0.5488559022679952,0.5391374309115697,697,0.5910451877486066,0.4058820625306052,k17,sn_dep,m8_ln_sn_dep_cstar,17
1045,238,0.8030182481147087,0.230778707010417,0.8000086193614918,0.8020090986633457,697,0.8223173427315172,0.2332738964989821,k15_sin_espesor,sn_dep,m6_ln_sn_dep,15
1045,238,0.804812844195576,0.22953928538577179,0.802966465372494,0.805191297816684,697,0.8175631595652537,0.23660282438688784,k17,sn_dep,m6_ln_sn_dep,17
