palanca,signo_teorico,sd_palanca,theta_libre_1sd,ci_lo_libre_1sd,ci_hi_libre_1sd,theta_acot_1sd,ci_lo_acot_1sd,ci_hi_acot_1sd,frac_replicas_en_cota,r2_balance_oof,identificado_libre,interior,r2_oof_plm_interno,estado,target,tercio,n
Cx_sn_v6,1,343.08324451531877,-0.01837817231929032,-0.22372960691765978,0.15434974882497374,1.9638789172462897e-11,6.1792134597714715e-21,0.1392616110808374,0.652,0.9463167817914728,False,False,0.7174190342205671,k15_sin_espesor,sn_dep,0,363
Cx_sn_v6,1,345.1534011318483,0.18367861428554355,-0.0446579073454334,0.334408744285749,0.18027698638298006,3.29987630447219e-13,0.3248516631742398,0.046,0.9583487565932185,False,True,0.7654840342465363,k15_sin_espesor,sn_dep,1,355
Cx_sn_v6,1,299.5896065246087,0.2813340367333492,0.012494648818810657,0.5536883187527565,0.2813340367333492,0.015640826213144905,0.5579459524108994,0.02,0.9699007242091304,True,True,0.7660710230989454,k15_sin_espesor,sn_dep,2,365
tasa_gn_nm3_min,-1,4.271578593952382,-0.01741536026588381,-0.031114042216497807,-0.004671129379049009,-0.008394299507039267,-0.018720889714592556,-0.0004154921443794131,0.022,0.5513663194955261,True,True,0.4124502600595231,k15_sin_espesor,feo_ret,0,363
tasa_gn_nm3_min,-1,4.876651971589145,0.012849300846972628,-0.00382526756137037,0.029598996507082597,-1.7857737480802851e-22,-0.00915726361371764,-3.0654497541140566e-34,0.82,0.7399799765432711,False,False,0.19668477117022098,k15_sin_espesor,feo_ret,1,355
tasa_gn_nm3_min,-1,5.502884052465836,-0.01535735359235887,-0.03148054766718756,-0.0025389054130268065,-0.012152587932999835,-0.02273646610037247,-0.0006852769918562593,0.02,0.6507911016859691,True,True,0.23043612217408882,k15_sin_espesor,feo_ret,2,365
Cx_sn_v6,1,343.08324451531877,-0.050886763213376006,-0.23165550268609572,0.11885508461871463,6.634196479382185e-12,2.297226436604553e-22,0.10449036406048844,0.784,0.9454989086782203,False,False,0.7198374935051874,k17,sn_dep,0,363
Cx_sn_v6,1,345.1534011318483,0.16293425866572345,-0.08766213703452089,0.3104970399230734,0.16293425866572345,7.628705658498084e-17,0.30854329599448305,0.066,0.957138590373171,False,False,0.7706923432115323,k17,sn_dep,1,355
Cx_sn_v6,1,299.5896065246087,0.26791743779467664,-0.0025415389681126147,0.5427956476966382,0.26791743779467664,1.7202777268375618e-09,0.5459599807326682,0.028,0.969849123453218,False,True,0.7655918479097579,k17,sn_dep,2,365
tasa_gn_nm3_min,-1,4.271578593952382,-0.014011957023508022,-0.02746445463980238,-0.0022939097580794454,-0.006995927147454452,-0.017353647500499624,-5.110868445077971e-12,0.038,0.5677845789216749,True,True,0.4051569193743343,k17,feo_ret,0,363
tasa_gn_nm3_min,-1,4.876651971589145,0.007783987749397286,-0.007844455432724957,0.023873472993023417,-6.201890508709501e-10,-0.012832452535607258,-1.0833436346278774e-25,0.604,0.7402330829109585,False,False,0.2422889211089485,k17,feo_ret,1,355
tasa_gn_nm3_min,-1,5.502884052465836,-0.008786614064008295,-0.0256703362210802,0.004913156064009102,-0.006207474084827177,-0.01886200589652784,-2.261870616214704e-19,0.182,0.6596422298458868,False,False,0.24091673855508766,k17,feo_ret,2,365
