palanca,signo_teorico,sd_palanca,theta_libre_1sd,ci_lo_libre_1sd,ci_hi_libre_1sd,theta_acot_1sd,ci_lo_acot_1sd,ci_hi_acot_1sd,frac_replicas_en_cota,r2_balance_oof,identificado_libre,interior,r2_oof_plm_interno,estado,target
Cx_sn_v6,1,329.17809612400623,0.14454825029672755,0.04359165688988847,0.24831197707605787,0.14454825029672755,0.04274328065342678,0.24831197707605787,0.006,0.9645276401567571,True,True,0.7872193148218134,A_k15,sn_dep
tasa_gn_nm3_min,1,5.003838422754737,0.06769628173204685,0.02289394507302897,0.11692046262819188,0.06769628173204685,0.02289394507302897,0.10752376773311038,0.002,0.6826543040567326,True,True,0.7872193148218134,A_k15,sn_dep
exceso_o2_combustion_pct,-1,11.105018439726289,-0.001592748135932589,-0.02082067621691157,0.01624195167072784,-0.001592748135932589,-0.020711836887942724,-5.875460746200473e-23,0.418,-0.018819169121452983,False,False,0.7872193148218134,A_k15,sn_dep
tasa_aire_nm3_min,0,9.679795990869465,0.014503870348942384,-0.004226709188188121,0.03318888248176104,0.014503870348942384,-0.003528202529940651,0.033364285768383704,0.0,-0.04626391182074596,False,True,0.7872193148218134,A_k15,sn_dep
Cx_sn_online,1,294.8017908415049,0.08346964376930359,-0.06459618957121734,0.22392273609071933,0.08519811476246442,5.710559465328393e-18,0.22623684278612335,0.108,0.9557203492074712,False,False,0.6976823746234385,B_online,sn_dep
tasa_gn_nm3_min,1,5.003838422754737,0.09130327298136308,0.03893361346314956,0.15193784850395195,0.07745570975367569,0.031410892521738676,0.1261469629302522,0.004,0.745001985107022,True,True,0.6976823746234385,B_online,sn_dep
exceso_o2_combustion_pct,-1,11.105018439726289,0.01072747259525195,-0.013526614937293848,0.03503836810191142,-1.202847926848796e-17,-0.013526614937293848,-8.162976278204408e-31,0.788,0.02878831826583983,False,False,0.6976823746234385,B_online,sn_dep
tasa_aire_nm3_min,0,9.679795990869465,0.0032442510947224487,-0.025524294024980427,0.024328816057560137,0.005966093820520783,-0.023320740926872276,0.02624157867989127,0.0,-0.07242845536622866,False,True,0.6976823746234385,B_online,sn_dep
Cx_sn_F6,1,290.512735679453,0.11807240887639393,0.027687345055552877,0.2089379966074093,0.11840031344475177,0.028430244576705593,0.20949295732589177,0.01,0.926881312188886,True,True,0.7262590410534051,C_plan,sn_dep
tasa_gn_nm3_min,1,5.003838422754737,0.06421117665452816,0.007418582916810949,0.12098281655984754,0.06144670047661975,0.0030934960440893184,0.10989152697607239,0.018,0.7311900356841393,True,True,0.7262590410534051,C_plan,sn_dep
exceso_o2_combustion_pct,-1,11.105018439726289,0.0021768418361199355,-0.017537735571805334,0.0252598399672611,-6.29482128925483e-14,-0.01725480822363643,-5.731997769558278e-23,0.584,0.018686007958685913,False,False,0.7262590410534051,C_plan,sn_dep
tasa_aire_nm3_min,0,9.679795990869465,0.011612287078763533,-0.014493789265352004,0.03213387586890373,0.01210964467432863,-0.012146946426259244,0.03213599652482412,0.0,-0.03450708198397634,False,True,0.7262590410534051,C_plan,sn_dep
tasa_feed_Carbon_kg_min,0,21.997762147856875,0.038132218417685576,-0.02698225317118443,0.10742137821650506,0.038132218417685576,-0.00738183608814916,0.10703237073804209,0.0,0.8960188342077702,False,True,0.3170503219357258,A_k15,feo_ret
Cx_av_v6,-1,16.52022438316784,-0.035520616068161266,-0.09065562268396427,0.02089073359038237,-0.035520616068161266,-0.09065562268396427,-3.116492779867392e-23,0.1,0.851187402217319,False,False,0.3170503219357258,A_k15,feo_ret
