w,muestra,tercio,rho,p,n
1.0,dev,todos,0.14310758139179497,0.013406744842617512,298
1.0,lockbox,todos,0.3474942396313364,0.0052634757701499855,63
1.0,total,todos,0.1901225876555302,0.0002801538360098829,361
1.0,total,tercio_0,0.027807885110418637,0.762065003252108,121
1.0,total,tercio_1,0.1838461004236405,0.04442903941875863,120
1.0,total,tercio_2,0.3883116883116882,1.173464807409422e-05,120
2.0,dev,todos,0.20043287128201046,0.0004998173270382358,298
2.0,lockbox,todos,0.30280337941628266,0.01585545180639424,63
2.0,total,todos,0.23156670390719453,8.786249969340549e-06,361
2.0,total,tercio_0,0.09152553854491259,0.31807186733113746,121
2.0,total,tercio_1,0.22648100562539064,0.012867426377997308,120
2.0,total,tercio_2,0.40238210986874084,5.217664105626874e-06,120
4.0,dev,todos,0.284465040519899,5.928497825489626e-07,298
4.0,lockbox,todos,0.24097542242703537,0.05710296017094938,63
4.0,total,todos,0.28577590384801776,3.265221892595361e-08,361
4.0,total,tercio_0,0.1799078715621189,0.0483150189736007,121
4.0,total,tercio_1,0.29455517744287796,0.001092001486787709,120
4.0,total,tercio_2,0.388839502743246,1.1390798297660104e-05,120
6.09,dev,todos,0.3186993274533397,1.8459120167028943e-08,298
6.09,lockbox,todos,0.1982046850998464,0.11942517799792246,63
6.09,total,todos,0.2978617305112155,7.867882740504401e-09,361
6.09,total,tercio_0,0.23800298062593137,0.008570061243142779,121
6.09,total,tercio_1,0.3180498645739287,0.00040016344009612495,120
6.09,total,tercio_2,0.3556705326758802,6.703850653980414e-05,120
7.86,dev,todos,0.3236937170406677,1.0712745895308026e-08,298
7.86,lockbox,todos,0.12927227342549924,0.3126080423562237,63
7.86,total,todos,0.2862990567433413,3.074365807415859e-08,361
7.86,total,tercio_0,0.25444384229779154,0.00485745732044015,121
7.86,total,tercio_1,0.3099312452253628,0.000571439525420935,120
7.86,total,tercio_2,0.2968470032641155,0.0009937250993959658,120
11.0,dev,todos,0.3162243521158023,2.408371735778362e-08,298
11.0,lockbox,todos,0.07032450076804915,0.5839084570879147,63
11.0,total,todos,0.2654591553032042,3.0821964222214854e-07,361
11.0,total,tercio_0,0.26994309714130865,0.002750332794684271,121
11.0,total,tercio_1,0.2826724078060976,0.001759013561521847,120
11.0,total,tercio_2,0.23085630946593508,0.011187124045995405,120
