muestra,spec,variable,coef,lo,hi,p,n,r2adj,y,K_Sn,K_Sn_lo,K_Sn_hi,K_Sn_p,K_FeO,K_FeO_lo,K_FeO_hi,K_FeO_p,w,w_boot_lo,w_boot_hi,frac_ambos_positivos
dev,next_controlando_actual,R_sum_m6_ln_sn_dep,0.49721709306500006,-0.9134271103692183,1.9078612964992185,0.489666918015654,297,0.03335184310439798,,,,,,,,,,,,,
dev,next_controlando_actual,R_sum_m6_ln_feo_ret,9.374176007019837,3.58734597254482,15.161006041494854,0.0014984881579926993,297,0.03335184310439798,,,,,,,,,,,,,
dev,next_controlando_actual,KPI_actual,0.06037598126192609,-0.045557282848690706,0.16630924537254288,0.26396489095833797,297,0.03335184310439798,,,,,,,,,,,,,
dev,placebo_prev,R_sum_m6_ln_sn_dep,0.38825090727219314,-0.9153423342240283,1.6918441487684146,0.5593961408676116,296,0.016663716687674968,,,,,,,,,,,,,
dev,placebo_prev,R_sum_m6_ln_feo_ret,2.0874419039007845,-4.852546952395132,9.027430760196701,0.5555077918111981,296,0.016663716687674968,,,,,,,,,,,,,
lockbox,next_controlando_actual,R_sum_m6_ln_sn_dep,-0.669700808953027,-4.564608478570699,3.225206860664646,0.7361158198704789,62,0.08976388048907857,,,,,,,,,,,,,
lockbox,next_controlando_actual,R_sum_m6_ln_feo_ret,19.751353354493034,4.279827894396131,35.22287881458993,0.012344468198115927,62,0.08976388048907857,,,,,,,,,,,,,
lockbox,next_controlando_actual,KPI_actual,0.006891456433510745,-0.22929363964239044,0.24307655250941193,0.9543952579168025,62,0.08976388048907857,,,,,,,,,,,,,
lockbox,placebo_prev,R_sum_m6_ln_sn_dep,-2.1546095316782736,-5.113185726198827,0.8039666628422801,0.1534757875614872,63,0.1367706139339646,,,,,,,,,,,,,
lockbox,placebo_prev,R_sum_m6_ln_feo_ret,-13.217015631054913,-30.882650693839924,4.448619431730098,0.1425395410996402,63,0.1367706139339646,,,,,,,,,,,,,
total,next_controlando_actual,R_sum_m6_ln_sn_dep,0.5818216811553308,-0.7171354919631493,1.880778854273811,0.3800000623479428,359,0.051859817736413794,,,,,,,,,,,,,
total,next_controlando_actual,R_sum_m6_ln_feo_ret,10.424239150658018,5.043653694751756,15.80482460656428,0.0001463425459222032,359,0.051859817736413794,,,,,,,,,,,,,
total,next_controlando_actual,KPI_actual,0.059852205992279764,-0.035060127369918884,0.15476453935447843,0.21647217682749542,359,0.051859817736413794,,,,,,,,,,,,,
total,placebo_prev,R_sum_m6_ln_sn_dep,0.2514972201180221,-0.9397503091018156,1.4427447493378598,0.6790284132223969,359,0.01760131623936534,,,,,,,,,,,,,
total,placebo_prev,R_sum_m6_ln_feo_ret,0.7321114919329066,-5.8449790574114076,7.309202041277221,0.8272980431914735,359,0.01760131623936534,,,,,,,,,,,,,
dev,KPI_actual,,,,,,297,0.10685163380005991,KPI_actual,2.8529187261012376,1.6683476154116956,4.03748983679078,2.3541209817209845e-06,17.26175737892262,11.043557121284932,23.479957636560307,5.3020826621642376e-08,6.050560508785442,4.017340275608433,10.214082855125076,1.0
dev,KPI_sum2,,,,,,297,0.12639778998350504,KPI_sum2,3.5223835867151205,1.7592693718074077,5.285497801622833,9.015952695003703e-05,27.67812892600021,19.144610138897185,36.21164771310323,2.0564463881524577e-10,7.85778386839807,5.110832654276986,13.264460440308891,1.0
lockbox,KPI_actual,,,,,,63,0.1858530202129297,KPI_actual,4.052506000452812,1.4207048625495644,6.6843071383560595,0.002544521033930148,2.8194815698965243,-12.744663106564516,18.383626246357565,0.7225505565524208,0.6957377902911152,-8.630863803998027,4.177900227457821,0.539
lockbox,KPI_sum2,,,,,,62,0.12403796191042682,KPI_sum2,2.9549843536347904,-2.13679073036878,8.04675943763836,0.2553483002019582,22.09072048869065,-0.6961857689283342,44.87762674630963,0.057422208989058476,7.475748716407879,-46.55519320111121,36.27848227193542,0.864
total,KPI_actual,,,,,,360,0.11358134401266873,KPI_actual,3.218311733952804,2.1843831639616993,4.252240303943909,1.0554932727780986e-09,15.70791164689501,10.002305514657134,21.413517779132885,6.817685613130798e-08,4.880792460586841,3.4181911926218698,6.878109942382647,1.0
total,KPI_sum2,,,,,,359,0.13459133445845017,KPI_sum2,3.823097229422095,2.1837127117176722,5.4624817471265175,4.861004875787068e-06,26.9426627790554,19.001022376642936,34.884303181467864,2.9441485360501404e-11,7.047339149971892,4.989567031494679,10.424766100646167,1.0
