      n    K_sn  K_sn_lo  K_sn_hi  K_sn_p    K_feo  K_feo_lo  K_feo_hi  K_feo_p        w  w_boot_lo  w_boot_hi   r2adj                 target  muestra         y  rho_sum_feo_kpi   p_sum  rho_J_w6.09     p_J  sd_sum
0   297  2.8529   1.6683   4.0375  0.0000  17.2618   11.0436   23.4800   0.0000   6.0506     4.1084     9.6251  0.1069          m6_ln_feo_ret      dev       KPI              NaN     NaN          NaN     NaN     NaN
1    63  4.0525   1.4207   6.6843  0.0025   2.8195  -12.7447   18.3836   0.7226   0.6957    -5.9018     3.8607  0.1859          m6_ln_feo_ret  lockbox       KPI              NaN     NaN          NaN     NaN     NaN
2   360  3.2183   2.1844   4.2522  0.0000  15.7079   10.0023   21.4135   0.0000   4.8808     3.4142     6.8273  0.1136          m6_ln_feo_ret    total       KPI              NaN     NaN          NaN     NaN     NaN
3   297  0.6695  -0.7424   2.0813  0.3527  10.4164    4.9794   15.8533   0.0002  15.5593     4.8817   123.5214  0.0334          m6_ln_feo_ret      dev  KPI_next              NaN     NaN          NaN     NaN     NaN
4   359  0.7649  -0.5236   2.0533  0.2446  11.3571    6.2332   16.4810   0.0000  14.8485     5.7142   112.6324  0.0514          m6_ln_feo_ret    total  KPI_next              NaN     NaN          NaN     NaN     NaN
5   298     NaN      NaN      NaN     NaN      NaN       NaN       NaN      NaN      NaN        NaN        NaN     NaN          m6_ln_feo_ret      dev  spearman           0.2298  0.0001       0.3187  0.0000  0.0929
6    63     NaN      NaN      NaN     NaN      NaN       NaN       NaN      NaN      NaN        NaN        NaN     NaN          m6_ln_feo_ret  lockbox  spearman          -0.1389  0.2775       0.1982  0.1194  0.0816
7   361     NaN      NaN      NaN     NaN      NaN       NaN       NaN      NaN      NaN        NaN        NaN     NaN          m6_ln_feo_ret    total  spearman           0.1555  0.0031       0.2979  0.0000  0.0914
8   297  2.8264   1.6417   4.0111  0.0000  16.9617   10.6936   23.2298   0.0000   6.0012     4.0628     9.5836  0.1018  m8_ln_feo_ret_dross40      dev       KPI              NaN     NaN          NaN     NaN     NaN
9    63  4.0999   1.3433   6.8565  0.0036   3.3204  -13.2866   19.9274   0.6952   0.8099    -6.5530     4.0077  0.1865  m8_ln_feo_ret_dross40  lockbox       KPI              NaN     NaN          NaN     NaN     NaN
10  360  3.2396   2.2061   4.2730  0.0000  15.9175   10.1289   21.7060   0.0000   4.9135     3.4370     6.8448  0.1139  m8_ln_feo_ret_dross40    total       KPI              NaN     NaN          NaN     NaN     NaN
11  297  0.6388  -0.7365   2.0140  0.3626  10.0857    4.5754   15.5959   0.0003  15.7894     4.5824   149.6281  0.0306  m8_ln_feo_ret_dross40      dev  KPI_next              NaN     NaN          NaN     NaN     NaN
12  359  0.7750  -0.4870   2.0370  0.2287  11.5036    6.3262   16.6810   0.0000  14.8439     5.6436   133.7448  0.0515  m8_ln_feo_ret_dross40    total  KPI_next              NaN     NaN          NaN     NaN     NaN
13  298     NaN      NaN      NaN     NaN      NaN       NaN       NaN      NaN      NaN        NaN        NaN     NaN  m8_ln_feo_ret_dross40      dev  spearman           0.2333  0.0000       0.3333  0.0000  0.0921
14   63     NaN      NaN      NaN     NaN      NaN       NaN       NaN      NaN      NaN        NaN        NaN     NaN  m8_ln_feo_ret_dross40  lockbox  spearman          -0.1018  0.4272       0.2426  0.0554  0.0809
15  361     NaN      NaN      NaN     NaN      NaN       NaN       NaN      NaN      NaN        NaN        NaN     NaN  m8_ln_feo_ret_dross40    total  spearman           0.1644  0.0017       0.3206  0.0000  0.0906
