n,K_sn,K_sn_lo,K_sn_hi,K_sn_p,K_feo,K_feo_lo,K_feo_hi,K_feo_p,w,w_boot_lo,w_boot_hi,r2adj,target,muestra,y,rho_sum_feo_kpi,p_sum,rho_J_w6.09,p_J,sd_sum
297,2.852918726101266,1.668347615411755,4.037489836790777,2.354120981719016e-06,17.261757378922596,11.043557121284966,23.479957636560226,5.302082662162967e-08,6.050560508785374,4.108425742839473,9.625059529481979,0.10685163380006024,m6_ln_feo_ret,dev,KPI,,,,,
63,4.052506000452807,1.42070486255282,6.684307138352794,0.0025445210338987828,2.81948156989651,-12.744663106556105,18.383626246349124,0.7225505565522783,0.6957377902911125,-5.901831582695957,3.860738372114495,0.18585302021292982,m6_ln_feo_ret,lockbox,KPI,,,,,
360,3.2183117339527616,2.1843831639616305,4.252240303943893,1.0554932727796601e-09,15.707911646894944,10.00230551465717,21.413517779132718,6.817685613127974e-08,4.8807924605868855,3.4141995332879183,6.827312791297694,0.11358134401266862,m6_ln_feo_ret,total,KPI,,,,,
297,0.6694648606138824,-0.7424009788640968,2.0813307000918617,0.3527042457800468,10.416371547077556,4.9793972481403745,15.853345846014738,0.00017335744274438351,15.559250619257305,4.881684551232874,123.52135811006241,0.033425239591173384,m6_ln_feo_ret,dev,KPI_next,,,,,
359,0.7648637040862474,-0.5235761519011595,2.053303560073654,0.24462495440557508,11.357071189016633,6.233191484677576,16.48095089335569,1.3974780865056596e-05,14.84849016673432,5.714228966751083,112.63244745172223,0.051360076033131086,m6_ln_feo_ret,total,KPI_next,,,,,
298,,,,,,,,,,,,,m6_ln_feo_ret,dev,spearman,0.2298378274450641,6.210089023507517e-05,0.3186993274533397,1.8459120167028943e-08,0.09290635246473666
63,,,,,,,,,,,,,m6_ln_feo_ret,lockbox,spearman,-0.13892089093701998,0.27754740694037555,0.1982046850998464,0.11942517799792246,0.0816085571929938
361,,,,,,,,,,,,,m6_ln_feo_ret,total,spearman,0.15547410252878485,0.003058529891296253,0.2978617305112155,7.867882740504401e-09,0.0914370893138744
297,2.826392362105201,1.6416609625441219,4.011123761666281,2.927374223126668e-06,16.961703817128615,10.693579346517303,23.229828287739927,1.1347112388884505e-07,6.0011851307491195,4.0628006328443815,9.583556313759116,0.10178636423408671,m8_ln_feo_ret_dross40,dev,KPI,,,,,
63,4.099885157175038,1.3432992581856706,6.8564710561644056,0.003556143966134489,3.3203886497330615,-13.286635872086084,19.927413171552207,0.6951521582227982,0.809873575098119,-6.552952613521675,4.007711710908155,0.18647561433555593,m8_ln_feo_ret_dross40,lockbox,KPI,,,,,
360,3.2395514068959814,2.2061330287244703,4.272969785067493,8.042884332250531e-10,15.917454491398967,10.128917455582098,21.705991527215836,7.063244264934322e-08,4.913474889614573,3.4370279115000324,6.844807363672271,0.11386407996614856,m8_ln_feo_ret_dross40,total,KPI,,,,,
297,0.6387631018610501,-0.7364779445230384,2.0140041482451387,0.3626371955418467,10.085673039493907,4.575425359542387,15.595920719445427,0.0003339700574296808,15.789379521310922,4.582414464814601,149.62809885182676,0.030602166717431545,m8_ln_feo_ret_dross40,dev,KPI_next,,,,,
359,0.7749685647132537,-0.4870155843692877,2.0369527137957952,0.22874840086418058,11.503558231488734,6.326152288085412,16.680964174892054,1.3318935320506752e-05,14.843903037209216,5.643587070199684,133.74484804958158,0.05149955110640325,m8_ln_feo_ret_dross40,total,KPI_next,,,,,
298,,,,,,,,,,,,,m8_ln_feo_ret_dross40,dev,spearman,0.23325146143938089,4.78590104249861e-05,0.33325987309062877,3.6739917685037972e-09,0.09208353910395471
63,,,,,,,,,,,,,m8_ln_feo_ret_dross40,lockbox,spearman,-0.10181451612903228,0.4271887832405949,0.24260752688172046,0.055389862071274,0.08090852853475461
361,,,,,,,,,,,,,m8_ln_feo_ret_dross40,total,spearman,0.16442560311800145,0.0017208104024661998,0.32059962351356724,4.4998253837954953e-10,0.09058924642280539
297,2.7808134983848376,1.5993260262863374,3.962300970483338,3.967486170401353e-06,16.488732867497713,10.296318400627648,22.68114733436778,1.800311648952815e-07,5.929463761979997,3.959480161290998,9.619786080644747,0.0984494441343513,m8_ln_feo_ret_dross50,dev,KPI,,,,,
63,4.107634839724437,1.3275731288743056,6.887696550574567,0.0037805741236669405,3.4056255007151606,-13.352441645003822,20.163692646434143,0.6904017955740999,0.8290964590571126,-6.733604027092093,4.069875542981529,0.1866103065649195,m8_ln_feo_ret_dross50,lockbox,KPI,,,,,
360,3.2069861357673766,2.1764973391834728,4.23747493235128,1.0632914554498106e-09,15.578931335667576,9.850086667603811,21.30777600373134,9.826920778746811e-08,4.857810628464038,3.3381415507440666,6.838610708038282,0.1120433162320078,m8_ln_feo_ret_dross50,total,KPI,,,,,
297,0.6084022044917639,-0.7552747125554071,1.9720791215389348,0.38188156992299804,9.771268989166002,4.299196478874557,15.243341499457447,0.0004655512026451823,16.06054172227819,4.45434019849755,172.06542098151593,0.02920285944911305,m8_ln_feo_ret_dross50,dev,KPI_next,,,,,
359,0.7501707384600897,-0.5025510612468715,2.002892538167051,0.24051903145867015,11.262043062829305,6.126805181810855,16.397280943847754,1.720517648176932e-05,15.012639770444023,5.5788740083848944,121.51660465458806,0.05056447874544989,m8_ln_feo_ret_dross50,total,KPI_next,,,,,
298,,,,,,,,,,,,,m8_ln_feo_ret_dross50,dev,spearman,0.23171423784204642,5.384179887866598e-05,0.3312002655451736,4.64047022928999e-09,0.09303289176606643
63,,,,,,,,,,,,,m8_ln_feo_ret_dross50,lockbox,spearman,-0.10584677419354839,0.40901285320096364,0.23084677419354838,0.06871793556108559,0.08197281286757634
361,,,,,,,,,,,,,m8_ln_feo_ret_dross50,total,spearman,0.1642230758635466,0.001743910534209612,0.3203399601067221,4.655748987461382e-10,0.09153734460614502
297,2.7241079436341606,1.5463410540945324,3.901874833173789,5.8073260612939465e-06,15.90251993136462,9.805349194536479,21.999690668192763,3.1886839984211366e-07,5.837698160429534,3.809491734230372,9.675348415663109,0.09457175210226632,m8_ln_feo_ret_dross60,dev,KPI,,,,,
63,4.113646784716153,1.3137391341189106,6.913554435313395,0.003981865519642047,3.473604893817182,-13.388089202712166,20.33529899034653,0.6863864708523401,0.8444101002358825,-6.843281241985565,4.089401303504152,0.18673342498888457,m8_ln_feo_ret_dross60,lockbox,KPI,,,,,
360,3.1629725493604077,2.1358864337016072,4.190058665019208,1.5815235988907004e-09,15.12240344244337,9.473216467595286,20.771590417291453,1.5488093234347119e-07,4.781073248802398,3.2201311945524953,6.789075265135287,0.10966215067971852,m8_ln_feo_ret_dross60,total,KPI,,,,,
297,0.5717643457628155,-0.7802445600926621,1.923773251618293,0.40717885027869505,9.393017037020268,3.976514005896723,14.809520068143813,0.0006766553520950779,16.42812656408059,4.338153397436493,160.7295051223942,0.02763713982376681,m8_ln_feo_ret_dross60,dev,KPI_next,,,,,
359,0.7171933453924706,-0.5259716165701751,1.9603583073551163,0.2581724048874512,10.93667593191274,5.86075467781296,16.01259718601252,2.410980704301176e-05,15.24927134666573,5.466963415698237,127.78184793921271,0.04934213902118789,m8_ln_feo_ret_dross60,total,KPI_next,,,,,
298,,,,,,,,,,,,,m8_ln_feo_ret_dross60,dev,spearman,0.22974532195425101,6.253744103580045e-05,0.3262684532016309,8.060966504000185e-09,0.09437986528918332
63,,,,,,,,,,,,,m8_ln_feo_ret_dross60,lockbox,spearman,-0.10555875576036867,0.4102960515190664,0.22326228878648238,0.07859805803969569,0.08345855959704467
361,,,,,,,,,,,,,m8_ln_feo_ret_dross60,total,spearman,0.16331808002122195,0.0018506431225416545,0.31535993225284786,8.891810654222013e-10,0.09288464887420628
