subset,kpi,variable,n,coef_por_sd,ci_lo,ci_hi,p_hc3,p_perm,spearman,p_spearman,r2_adj
DEV,recuperacion_refinada_pct,dist_Reducción_tasa_feed_Carbon_kg_min,287,0.26533307707092024,-0.27389104701024747,0.804557201152088,0.33483098891607577,,0.015737095886488243,0.7906580056458046,-0.001346499181734906
DEV,recuperacion_refinada_pct,dir_Reducción_tasa_feed_Carbon_kg_min,287,-0.19394285835052538,-0.6780967094211121,0.29021099272006134,0.43238061610543743,,-0.051306538161945796,0.3865093050456642,-0.0029715711927553734
DEV,recuperacion_refinada_pct,dir_R_temprano_tasa_feed_Carbon_kg_min,264,0.23159507820900904,-0.3273406636216222,0.7905308200396403,0.41672778988378023,,0.03892784744051497,0.5288646695965503,-0.00956402639088516
DEV,recuperacion_refinada_pct,dir_R_tardio_tasa_feed_Carbon_kg_min,276,0.1358121662577494,-0.43574216017836254,0.7073664926938613,0.6414125858905693,,-0.007876703991800725,0.8963561654620431,-0.0048358311619220995
DEV,recuperacion_refinada_pct,dist_Reducción_tasa_gn_nm3_min,287,0.08469274478108452,-0.5243637739424849,0.6937492635046538,0.7852037266386768,,0.007971083695621783,0.8930455384029987,-0.004488019975256163
DEV,recuperacion_refinada_pct,dir_Reducción_tasa_gn_nm3_min,287,0.12937185829131886,-0.4059413275896953,0.6646850441723331,0.6357320705469318,,0.019668419697465984,0.7400537978131712,-0.004003348452912059
DEV,recuperacion_refinada_pct,dir_R_temprano_tasa_gn_nm3_min,267,-0.10241017206369807,-0.6006399466224353,0.39581960249503906,0.6870461955825651,,0.015441618312146087,0.8016986959935662,-0.0019526644470178045
DEV,recuperacion_refinada_pct,dir_R_tardio_tasa_gn_nm3_min,275,-0.23252960089014776,-0.8191107977086639,0.35405159592836843,0.437182856570433,,-0.003294040974989813,0.9566349476516758,-0.005282106918499174
DEV,recuperacion_refinada_pct,dist_R,287,0.1902683317673507,-0.39616172054289245,0.7766983840775938,0.5248324800536435,,0.014414927252451498,0.807888235598413,-0.003044906950657511
DEV,recuperacion_refinada_pct,dist_total,287,0.12110327091171041,-0.3765904571557079,0.6187969989791287,0.6334220133920283,,0.05070491024205852,0.39210980011142427,-0.004105091725590038
DEV,recuperacion_refinada_pct,uplift_batch_pp,287,-0.14105843425165684,-0.6754868801926222,0.3933700116893084,0.6049341959616947,,-0.06583878024465152,0.2662591549042552,-0.0038511876762823416
DEV,rendimiento_proxy_batch,dist_Reducción_tasa_feed_Carbon_kg_min,287,0.33254768463495693,-0.2217713954010983,0.8868667646710122,0.23966535288803648,,0.023456897366405778,0.6923224838621035,-0.00027713803652762437
DEV,rendimiento_proxy_batch,dir_Reducción_tasa_feed_Carbon_kg_min,287,-0.20106277691456587,-0.6963882197979974,0.29426266596886563,0.4262705776968936,,-0.052770877309902216,0.3730822933976627,-0.0035755470881297935
DEV,rendimiento_proxy_batch,dir_R_temprano_tasa_feed_Carbon_kg_min,264,0.2843914244656607,-0.29344204429326015,0.8622248932245815,0.33472890991103577,,0.045983873900438545,0.45687780170997117,-0.010913677778425557
DEV,rendimiento_proxy_batch,dir_R_tardio_tasa_feed_Carbon_kg_min,276,0.11735402112536186,-0.4683414194525849,0.7030494617033086,0.6945321725543383,,-0.013298991332041911,0.8259128662571369,-0.0060166008190445375
DEV,rendimiento_proxy_batch,dist_Reducción_tasa_gn_nm3_min,287,0.1529092911944473,-0.4805949648288318,0.7864135472177264,0.6361577827155886,,0.00858293280477442,0.8848907295253154,-0.004427800035635032
DEV,rendimiento_proxy_batch,dir_Reducción_tasa_gn_nm3_min,287,0.09932523541764315,-0.44984613563085973,0.648496606466146,0.7229742554368622,,0.01775925518250808,0.764504035421989,-0.005007438535173936
DEV,rendimiento_proxy_batch,dir_R_temprano_tasa_gn_nm3_min,267,-0.11954486229924433,-0.6415460292280473,0.4024563046295586,0.6535351668731926,,0.01184494930644003,0.8472356347746914,0.0004507050710608196
DEV,rendimiento_proxy_batch,dir_R_tardio_tasa_gn_nm3_min,275,-0.23084105576565442,-0.8310357686354429,0.36935365710413415,0.45095593514228305,,-0.008215623483382983,0.8921197836464992,-0.005943533853908445
DEV,rendimiento_proxy_batch,dist_R,287,0.19817529443763113,-0.4029041516137525,0.7992547404890148,0.5181510227484939,,0.021130981568547747,0.7214968140510537,-0.0036334220774902892
DEV,rendimiento_proxy_batch,dist_total,287,0.12101935763690713,-0.3930479939679649,0.6350867092417791,0.6445075960432478,,0.04981166127418088,0.4005147184255316,-0.004785125193056183
DEV,rendimiento_proxy_batch,uplift_batch_pp,287,-0.13902695669491252,-0.6862904528558599,0.4082365394660349,0.6185476581494551,,-0.0710350329937399,0.23026598882673635,-0.00456934016800048
DEV,recuperacion_refinada_pct_next,dist_Reducción_tasa_feed_Carbon_kg_min,287,-0.06988774330122455,-0.6807133631611537,0.5409378765587045,0.8225630158137486,,-0.03923114805810477,0.5079890413005558,-0.006879008228050543
DEV,recuperacion_refinada_pct_next,dir_Reducción_tasa_feed_Carbon_kg_min,287,-0.1832184559467222,-0.77428140683211,0.40784449493866554,0.5434845354941237,,-0.06469256602167242,0.27469105221844287,-0.005457335892461446
DEV,recuperacion_refinada_pct_next,dir_R_temprano_tasa_feed_Carbon_kg_min,264,0.4407820682374277,-0.1988577995946289,1.0804219360694844,0.17681389356998933,,0.04854952306669714,0.4321273230907532,-0.0007414335495361524
DEV,recuperacion_refinada_pct_next,dir_R_tardio_tasa_feed_Carbon_kg_min,276,-0.19521726671394934,-0.7302391731782691,0.33980463975037045,0.4745187912412153,,-0.0656388060275399,0.2771707382881948,-0.004557624226692258
DEV,recuperacion_refinada_pct_next,dist_Reducción_tasa_gn_nm3_min,287,0.14934534187445975,-0.37564460332927024,0.6743352870781898,0.577147352275407,,-0.009121258257983144,0.8777258416167152,-0.006071412645070495
DEV,recuperacion_refinada_pct_next,dir_Reducción_tasa_gn_nm3_min,287,0.05002751561913299,-0.45323030923579566,0.5532853404740616,0.8455222915550333,,0.006061992211559026,0.9185587050360209,-0.0069984501146445055
DEV,recuperacion_refinada_pct_next,dir_R_temprano_tasa_gn_nm3_min,267,-0.2473940331918297,-0.7724924301179026,0.2777043637342431,0.3557913161669416,,-0.05981570515400127,0.33021392049533016,-0.009970692565881567
DEV,recuperacion_refinada_pct_next,dir_R_tardio_tasa_gn_nm3_min,275,-0.19408049706048913,-0.741181439384555,0.3530204452635768,0.48687704979829605,,-0.06851197668323973,0.257508989940655,0.0022320469504065743
DEV,recuperacion_refinada_pct_next,dist_R,287,0.1630713274508089,-0.32631398484890306,0.6524566397505208,0.513696579073526,,-0.007210132257079828,0.9032032228327204,-0.005806132332046854
DEV,recuperacion_refinada_pct_next,dist_total,287,-0.1385765236019545,-0.6958488958875009,0.4186958486835919,0.625987046918296,,-0.004956985092164697,0.9333659757779648,-0.006174580370009064
DEV,recuperacion_refinada_pct_next,uplift_batch_pp,287,-0.11883189205963424,-0.6499084780495143,0.41224469393024593,0.6609840962202528,,0.02017959517155511,0.7335502418239227,-0.006426993161603445
DEV,recuperacion_refinada_pct_media2,dist_Reducción_tasa_feed_Carbon_kg_min,287,0.09772266688484804,-0.3399318529374567,0.5353771867071528,0.6616509419880902,,-0.02449392360773309,0.679456818245011,0.010472137208509036
DEV,recuperacion_refinada_pct_media2,dir_Reducción_tasa_feed_Carbon_kg_min,287,-0.1885806571486241,-0.6003473807193954,0.22318606642214722,0.36938655406355203,,-0.06009206451030317,0.310344991647898,0.012723172405066041
DEV,recuperacion_refinada_pct_media2,dir_R_temprano_tasa_feed_Carbon_kg_min,264,0.3361885732232155,-0.08541801011976258,0.7577951565661936,0.11808249748836809,,0.058568458386352815,0.3431685839505586,0.011221981530145975
DEV,recuperacion_refinada_pct_media2,dir_R_tardio_tasa_feed_Carbon_kg_min,276,-0.029702550228099867,-0.4505765134413785,0.39117141298517877,0.8899863140248627,,-0.022274687854391687,0.7125592301908796,0.010109592557841718
DEV,recuperacion_refinada_pct_media2,dist_Reducción_tasa_gn_nm3_min,287,0.1170190433277708,-0.3059859965313371,0.5400240831868788,0.5876810971085402,,0.014131551960956952,0.8115935271070532,0.010769058499389361
DEV,recuperacion_refinada_pct_media2,dir_Reducción_tasa_gn_nm3_min,287,0.08969968695522645,-0.28547891288442756,0.46487828679488047,0.6393565987237343,,0.03950345183058482,0.5050464989793102,0.010335970693542307
DEV,recuperacion_refinada_pct_media2,dir_R_temprano_tasa_gn_nm3_min,267,-0.1749021026277644,-0.573315833534648,0.22351162827911913,0.38955939117634475,,-0.034178539009187436,0.5781943453210905,0.00983622783381144
