Batch,n_escalones,uplift_J_total_kg,pct_escalones_con_mejora,es_lockbox,fold,J_R_temprano_hist_pp,J_R_tardio_hist_pp,J_R_hist_pp,dSn_hist,dFeO_hist,J_F_hist_pp,J_batch_hist_pp,J_R_temprano_rec_pp,J_R_tardio_rec_pp,J_R_rec_pp,dSn_rec,dFeO_rec,J_F_rec_pp,J_batch_rec_pp,uplift_batch_pp,uplift_batch_kg,dist_Reducción_tasa_feed_Carbon_kg_min,dir_Reducción_tasa_feed_Carbon_kg_min,dir_R_temprano_tasa_feed_Carbon_kg_min,dir_R_tardio_tasa_feed_Carbon_kg_min,dist_Reducción_tasa_gn_nm3_min,dir_Reducción_tasa_gn_nm3_min,dir_R_temprano_tasa_gn_nm3_min,dir_R_tardio_tasa_gn_nm3_min,dist_R,dist_total,rendimiento_proxy_batch,recuperacion_refinada_pct,recuperacion_real_pct,f_metal,f_dross,f_polvo,ley_sn_conc_batch_pct,espesor_ladrillo_norm_mm,sn_cargado_batch_kg,temperatura_media_fusion,frac_carga_secundaria_media_fusion,feed_dross_Fe_total_t,fecha_inicio_batch,idx_cronologico,recuperacion_refinada_pct_next,recuperacion_refinada_pct_media2,rendimiento_proxy_batch_next,rendimiento_proxy_batch_media2,recuperacion_real_pct_next,recuperacion_real_pct_media2
AP0001,3,0.0,0.0,False,0,0.20763590304925905,0.3459746522424714,0.5536105552917304,1.9296264761260136,-0.2918309605601679,0.0,0.5536105552917304,0.20763590304925905,0.3459746522424714,0.5536105552917304,1.9296264761260136,-0.2918309605601679,0.0,0.5536105552917304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.91765201995008,78.4385053607697,67.62373749669,0.7991765201995008,0.08263694984335675,0.11818652995714247,41.43282990669513,299.99971591319826,49907.386443483614,1199.8433943567873,7.04913158954446e-05,0.008429022004681047,2026-04-21 18:36:00,1,72.14314023686171,75.2908227988157,73.05531072136027,76.48648137065518,67.26438959007012,67.44406354338005
AP0002,1,0.0,0.0,False,0,0.0,-0.13387682822802155,-0.13387682822802155,0.2894056086885527,-0.0569216567730369,0.0,-0.13387682822802155,0.0,-0.13387682822802155,-0.13387682822802155,0.2894056086885527,-0.0569216567730369,0.0,-0.13387682822802155,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,73.05531072136027,72.14314023686171,67.26438959007012,0.7305531072136027,0.12935509971758247,0.14009179306881472,41.43282990669513,299.99971591319826,49489.247137855884,1309.4844819802286,3.2638419299333144e-05,0.0025644468226412665,2026-04-22 03:22:00,2,78.14326293566891,75.14320158626532,79.15175258246624,76.10353165191326,74.59717483983012,70.93078221495011
AP0003,3,0.0,0.0,False,2,0.1305953699059389,-0.5097230695147404,-0.37912769960880155,1.3650965197738918,-0.2531912902779821,0.0,-0.37912769960880155,0.1305953699059389,-0.5097230695147404,-0.37912769960880155,1.3650965197738918,-0.2531912902779821,0.0,-0.37912769960880155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.15175258246624,78.14326293566891,74.59717483983012,0.7915175258246625,0.07712140760278896,0.13136106657254842,41.432829906695126,299.99971591319826,50071.225995084955,1267.0349252921192,3.2441315410357124e-05,0.034214071363375904,2026-04-22 12:29:00,3,71.85093529025706,74.99709911296299,72.52505027310832,75.83840142778729,71.4049721091537,73.0010734744919
AP0004,3,26.642014207538537,66.66666666666666,False,4,0.5049602269772254,-0.2292714435619217,0.27568878341530373,1.1868947108803192,-0.1834336834896193,0.0,0.27568878341530373,0.5516680195710574,-0.2046431582500011,0.3470248613210563,1.212545943496555,-0.1834336834896193,0.0,0.3470248613210563,0.07133607790575258,36.5597399266982,0.34899933636340535,-0.3176673303032617,0.04699800909021542,-0.5000000000000003,0.3333333333333331,0.3333333333333331,0.6666666666666655,0.16666666666666693,0.3411663348483692,0.3411663348483692,72.52505027310832,71.85093529025706,71.4049721091537,0.7252505027310832,0.12284919932885231,0.1519002979400646,41.43282990669514,299.99971591319826,50407.47014784682,1216.3569351554343,2.62387222673284e-05,0.0022026860074982227,2026-04-22 21:08:00,4,72.57614671931469,72.21354100478587,73.67015516465584,73.09760271888209,66.61048864864914,69.00773037890141
AP0006,2,24.444185805288782,50.0,False,4,0.7593048888769584,0.48537216547947654,1.244677054356435,0.6617476224976031,-0.0361185594981969,0.0,1.244677054356435,0.8060126814707902,0.48537216547947654,1.2913848469502667,0.6785429452569817,-0.0361185594981969,0.0,1.2913848469502667,0.04670779259383173,23.93774370433876,0.41874449742383385,-0.41874449742383385,-0.8374889948476677,0.0,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.0,0.3760389153785836,0.3760389153785836,73.67015516465584,72.57614671931469,66.61048864864914,0.7367015516465584,0.08747735129382754,0.175821097059614,41.43282990669514,299.99971591319826,49795.58125591482,1230.02669141176,1.1348174603105027e-05,0.0010495267869860942,2026-04-23 14:40:00,5,58.92715260043539,65.75164965987504,59.56529046993668,66.61772281729625,56.917572411043004,61.76403052984607
AP0008,3,0.0,0.0,False,0,0.6599927720200739,-0.31854043473233307,0.3414523372877408,1.2021185516199482,-0.182013176303387,0.0,0.3414523372877408,0.6599927720200739,-0.31854043473233307,0.3414523372877408,1.2021185516199482,-0.182013176303387,0.0,0.3414523372877408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.56529046993668,58.92715260043539,56.917572411043004,0.5956529046993667,0.21681947670288612,0.18752761859774708,41.80029722790323,299.99971591319826,45648.046639036,1195.196995634653,,0.0017468299636686964,2026-04-24 07:23:00,6,76.67768621035799,67.80241940539669,77.74576970038642,68.65553008516154,65.78759067589957,61.35258154347129
AP0009,2,0.0,0.0,False,2,0.0,-0.6547815982538363,-0.6547815982538363,0.3842780195283533,-0.1045069603580904,0.0,-0.6547815982538363,0.0,-0.6547815982538363,-0.6547815982538363,0.3842780195283533,-0.1045069603580904,0.0,-0.6547815982538363,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,77.74576970038642,76.67768621035799,65.78759067589957,0.7774576970038642,0.07465371759361254,0.1478885854025233,42.415478561836736,299.99971591319826,49688.51977121447,1245.9461460727223,0.5889689319920993,26.167411716411905,2026-04-24 15:46:00,7,64.46025013766302,70.56896817401051,65.4900480917299,71.61790889605817,62.541515006437095,64.16455284116833
AP0011,1,0.0,0.0,False,0,0.0,0.13524709333876636,0.13524709333876636,0.4616204809261173,-0.0696438349191221,0.0,0.13524709333876636,0.0,0.13524709333876636,0.13524709333876636,0.4616204809261173,-0.0696438349191221,0.0,0.13524709333876636,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,65.4900480917299,64.46025013766302,62.541515006437095,0.654900480917299,0.16972232057438782,0.1753771985083131,42.415478561836736,299.99971591319826,47265.75618924079,1217.5851416267694,0.5845469354728394,25.43614016061114,2026-04-25 08:29:00,8,73.31810988860353,68.88918001313328,74.17638638591971,69.8332172388248,67.11446843772983,64.82799172208345
AP0012,2,64.94693149184172,50.0,False,3,1.5873315458504451,-0.04835613054761159,1.5389754153028334,1.9805869466470805,-0.2406741532261314,0.0,1.5389754153028334,1.7270992721844702,-0.04835613054761159,1.6787431416368586,2.032050624826665,-0.2408774577918274,0.0,1.6787431416368586,0.13976772633402512,71.63095974618787,0.46514176218391917,0.46514176218391917,0.9302835243678383,0.0,0.018082633689042626,0.018082633689042626,0.03616526737808525,0.0,0.2416121979364809,0.2416121979364809,74.17638638591971,73.31810988860353,67.11446843772983,0.7417638638591971,0.08719618006526553,0.17103995607553726,42.415478561836736,299.99971591319826,49077.048163706095,1185.7754967705264,0.5954572472179075,25.934385787613834,2026-04-25 15:58:00,9,63.40204397910659,68.36007693385505,64.58338515029256,69.37988576810613,66.82905218109707,66.97176030941344
AP0013,2,0.0,0.0,False,4,0.0,-0.5074639884986154,-0.5074639884986154,0.8057179488054091,-0.1666430545096398,0.0,-0.5074639884986154,0.0,-0.5074639884986154,-0.5074639884986154,0.8057179488054091,-0.1666430545096398,0.0,-0.5074639884986154,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,64.58338515029256,63.40204397910659,66.82905218109707,0.6458338515029256,0.1667433657228333,0.18742278277424107,42.41547856183673,299.99971591319826,48207.3573521556,1184.6326861353325,0.5966909974090269,24.735687578591122,2026-04-25 23:58:00,10,71.39812729827501,67.4000856386908,72.27735907223597,68.43037211126426,65.23930703730998,66.03417960920353
