variante,palanca,orden,n,pct_signo_opuesto,pct_mismo_signo_entre_los_que_cambian,pct_base_cambia,delta_medio_base,delta_medio_variante
base,tasa_feed_Carbon_kg_min,0,60,0.0,100.0,20.0,-0.728840743109092,-0.728840743109092
base,tasa_feed_Carbon_kg_min,1,60,0.0,100.0,21.666666666666668,-0.8319379963710414,-0.8319379963710414
base,tasa_feed_Carbon_kg_min,2,60,0.0,100.0,18.333333333333332,-0.6739945704008387,-0.6739945704008387
base,tasa_feed_Carbon_kg_min,3,60,0.0,93.33333333333333,25.0,-0.5744402370187361,-0.5744402370187361
base,tasa_gn_nm3_min,0,60,0.0,100.0,20.0,0.1247737555442739,0.1247737555442739
base,tasa_gn_nm3_min,1,60,0.0,100.0,21.666666666666668,0.3243093720681063,0.3243093720681063
base,tasa_gn_nm3_min,2,60,0.0,100.0,18.333333333333332,0.3722003292508055,0.3722003292508055
base,tasa_gn_nm3_min,3,60,0.0,93.33333333333333,25.0,0.35958244658736677,0.35958244658736677
w2,tasa_feed_Carbon_kg_min,0,60,3.3333333333333335,33.33333333333333,20.0,-0.728840743109092,-0.7181005713295766
w2,tasa_feed_Carbon_kg_min,1,60,1.6666666666666667,36.36363636363637,21.666666666666668,-0.8319379963710414,-1.9388551441222124
w2,tasa_feed_Carbon_kg_min,2,60,0.0,55.00000000000001,18.333333333333332,-0.6739945704008387,-0.8764267127852338
w2,tasa_feed_Carbon_kg_min,3,60,0.0,73.68421052631578,25.0,-0.5744402370187361,-0.6738785281579386
w2,tasa_gn_nm3_min,0,60,0.0,40.0,20.0,0.1247737555442739,0.4425197600830046
w2,tasa_gn_nm3_min,1,60,0.0,37.142857142857146,21.666666666666668,0.3243093720681063,0.9499132511381648
w2,tasa_gn_nm3_min,2,60,0.0,55.00000000000001,18.333333333333332,0.3722003292508055,0.6008863746033841
w2,tasa_gn_nm3_min,3,60,0.0,73.68421052631578,25.0,0.35958244658736677,0.5021353649986335
w4,tasa_feed_Carbon_kg_min,0,60,1.6666666666666667,57.89473684210527,20.0,-0.728840743109092,-0.9211938468292895
w4,tasa_feed_Carbon_kg_min,1,60,1.6666666666666667,42.857142857142854,21.666666666666668,-0.8319379963710414,-2.226083801216135
w4,tasa_feed_Carbon_kg_min,2,60,0.0,64.70588235294117,18.333333333333332,-0.6739945704008387,-0.9422923681576506
