variante,orden_escalon_fase,n,r2_oof,mae_oof
a_sin_F1,2,298,0.41791950532772804,8.314834182297746
a_sin_F1,3,297,0.48169201451590926,8.106256960567004
a_sin_F1,4,297,0.5342357418225967,7.412289218989061
a_sin_F1,5,298,0.5426127183518836,9.005738821313415
a_sin_F1,6,292,0.3563072635629372,11.902347173423893
b_F1_imputado_v7,1,296,0.05490670148878185,14.59914750094699
b_F1_imputado_v7,2,298,0.4177843805517879,8.3347739521546
b_F1_imputado_v7,3,297,0.4873373196582472,8.001796450946392
b_F1_imputado_v7,4,297,0.5359993547765292,7.316609122090676
b_F1_imputado_v7,5,298,0.5345847203511784,9.10286584847427
b_F1_imputado_v7,6,292,0.3341451798501943,12.114715040997835
c_F1_imputado_mas_esF1,1,296,0.0549121434247003,14.599116592150317
c_F1_imputado_mas_esF1,2,298,0.41778363967237175,8.334784481216822
c_F1_imputado_mas_esF1,3,297,0.4873359421268276,8.00177463380698
c_F1_imputado_mas_esF1,4,297,0.5359965582453212,7.316639087328842
c_F1_imputado_mas_esF1,5,298,0.5345853130396528,9.10282495840183
c_F1_imputado_mas_esF1,6,292,0.33414170138550137,12.114717662960357
d_b_sin_temperatura_prev,1,296,0.09134959545746146,14.37515150110032
d_b_sin_temperatura_prev,2,298,0.3592108655328655,8.61754641794921
d_b_sin_temperatura_prev,3,297,0.4183639427504031,8.31689310472811
d_b_sin_temperatura_prev,4,297,0.5340897620077165,7.543502853133761
d_b_sin_temperatura_prev,5,298,0.45399332629192757,9.649053816977233
d_b_sin_temperatura_prev,6,292,0.28256939878313225,12.31481758386151
