variable,kpi,rho_dev,p_dev,ci_lo_dev,ci_hi_dev,n_dev,ols_dev,ols_p_dev,ols_lo_dev,ols_hi_dev,ols_r2adj_dev,rho_lockbox,p_lockbox,ci_lo_lockbox,ci_hi_lockbox,n_lockbox,rho_total,p_total,ci_lo_total,ci_hi_total,n_total,ols_total,ols_p_total,ols_lo_total,ols_hi_total,ols_r2adj_total,quintiles_crecientes,dQ5Q1,y,x,p_dev_para_bh,q_bh_dev,signo_dev,signo_total,signo_lockbox_rho,replica_signo_total,replica_signo_lockbox,defendible
F_carbon_total_kg,recuperacion_refinada_pct,0.03691993445713901,0.5248102261411927,-0.07172758953753373,0.1564885589179288,299,0.10497285286683639,0.7203894936660368,-0.4698273724893404,0.6797730782230131,-2.615065475009004e-05,0.1795794930875576,0.1590413796985955,-0.08936628966615966,0.43497692496304485,63,0.10198739960646379,0.052526960955598466,0.004500743072860296,0.2086878140837262,362,0.3243210067981611,0.22620642443672678,-0.20093377264216727,0.8495757862384895,0.012289407997940649,2,-0.4543579184564521,recuperacion_refinada_pct,F_carbon_total_kg,0.7203894936660368,0.7962199666835144,1.0,1.0,1.0,True,True,False
F_c_sn_ratio,recuperacion_refinada_pct,0.11261834751184036,0.05172812266804391,0.005227701747018056,0.2270454801130243,299,0.17354164274203163,0.6531657310265062,-0.5833766634870433,0.9304599489711066,0.00029782772335673613,0.1390168970814132,0.2772122254870575,-0.1505903441681607,0.4055890344420904,63,0.09950961649254939,0.05856449050780544,0.0018466032785992524,0.20098603723952105,362,0.3975695901634492,0.20039121863305287,-0.21098952777609686,1.0061287081029953,0.01302267843059779,3,1.2823017805934427,recuperacion_refinada_pct,F_c_sn_ratio,0.6531657310265062,0.7844643305055831,1.0,1.0,1.0,True,True,False
T_media_F,recuperacion_refinada_pct,-0.003993176359677672,0.9451810345518001,-0.11243483231996444,0.11335184429202051,299,-0.12643381977545154,0.7975607624347089,-1.0925184414213693,0.8396508018704663,-0.00023717261942390877,-0.2780337941628264,0.027360588755407592,-0.5028115240136235,-0.002198026199297025,63,-0.07067955383714247,0.17966153567908894,-0.16974521797604017,0.034189558940859656,362,-0.08964070705937056,0.8444790630905867,-0.9852659005185692,0.8059844863998281,0.008240734933496974,2,0.2982826581155962,recuperacion_refinada_pct,T_media_F,0.7975607624347089,0.8374388005564444,-1.0,-1.0,-1.0,True,True,False
F_gn_total_nm3,recuperacion_refinada_pct,-0.10675585284280938,0.06525302665220709,-0.21502150874581252,0.01326210569195645,299,-0.16628649862725464,0.6441257797899091,-0.8718260857337057,0.5392530884791964,0.0003192951376731479,-0.04037058371735792,0.7534123993637658,-0.2790809259743836,0.20270664034032124,63,-0.04933950447626255,0.3492363111683784,-0.15857090427901452,0.055401823146792324,362,-0.19283004571379533,0.5644960438676958,-0.8487750493152553,0.46311495788766455,0.009114462559141279,1,-0.8686955662069664,recuperacion_refinada_pct,F_gn_total_nm3,0.6441257797899091,0.7844643305055831,-1.0,-1.0,-1.0,True,True,False
F_exceso_o2_media,recuperacion_refinada_pct,-0.10911090660142309,0.059506702829132896,-0.21807701432482487,0.003215116855099386,299,-0.19966825938867802,0.5642510132670281,-0.8784474818188228,0.4791109630414667,0.001471051664741041,-0.2712173579109063,0.03154806043360892,-0.5093284214421016,-0.00351148957176364,63,-0.11808578037077198,0.024650811239948254,-0.21267869249861374,-0.019208800816476804,362,-0.4058740786147051,0.1938903830467017,-1.0181935764496428,0.20644541922023257,0.016346432036088432,2,-2.2624957192091983,recuperacion_refinada_pct,F_exceso_o2_media,0.5642510132670281,0.7844643305055831,-1.0,-1.0,-1.0,True,True,False
F_tgas_prebhf_media,recuperacion_refinada_pct,-0.03506543063006442,0.5458542734947444,-0.16048044250939586,0.09617683403064035,299,-0.23636669057866705,0.4421978834323018,-0.8392007952866234,0.36646741412928935,0.0016764894671621455,-0.12869623655913978,0.3147874336430687,-0.366233321928695,0.14613487379645335,63,-0.061330001627823816,0.24444706579968203,-0.1589889384707277,0.036563088481977694,362,-0.27158066869891534,0.29448358368610017,-0.7793263334642884,0.23616499606645774,0.011340621129214745,1,-0.6877350278238055,recuperacion_refinada_pct,F_tgas_prebhf_media,0.4421978834323018,0.7738462960065282,-1.0,-1.0,-1.0,True,True,False
F_sum_m6_ln_sn_dep,recuperacion_refinada_pct,-0.0369552633923804,0.525113619814583,-0.14065413011577038,0.07502793769869479,298,-0.26897564718121086,0.34206223226654353,-0.8238471795721041,0.2858958852096823,0.0037628071804964858,-0.1412250384024578,0.2695772545670917,-0.3630862574352167,0.08749198975236304,63,-0.08739280594624099,0.09734210730953374,-0.19100324286444245,0.00901054133351073,361,-0.44365977254158784,0.07474150884545311,-0.9316137938267208,0.044294248743545206,0.01782580074794915,1,-0.9823217962993169,recuperacion_refinada_pct,F_sum_m6_ln_sn_dep,0.34206223226654353,0.6530278979634012,-1.0,-1.0,-1.0,True,True,False
F_carbon_total_kg,f_polvo,0.04737312293775672,0.41439430993960913,-0.06634634863627081,0.16673705160033994,299,0.005327598806811252,0.009650341994416084,0.0012930364578085003,0.009362161155814003,0.05429744784193702,-0.02236943164362519,0.8618512234922158,-0.2263189987133293,0.21829544165217205,63,0.04122871734186362,0.43418551906706443,-0.06207211049461297,0.14321335003347208,362,0.005512484589497225,0.0028611194817349524,0.0018896597542527502,0.0091353094247417,0.041019378240344184,2,0.010002290600920255,f_polvo,F_carbon_total_kg,0.009650341994416084,0.06785469253183371,1.0,1.0,-1.0,True,False,True
F_c_sn_ratio,f_polvo,0.2055020089335817,0.0003477892986794441,0.10022100097469715,0.30471713375494014,299,0.006379714825748358,0.01708943722120674,0.0011364544296277885,0.011622975221868927,0.05170138015489023,0.01944124423963134,0.8797909057014864,-0.22281436183937245,0.28954935047819935,63,0.1701723482187092,0.0011528728679644862,0.0702196770521429,0.25697522261865474,362,0.005827735404567801,0.0066486826013430035,0.001619048941571815,0.010036421867563787,0.03812247798121837,4,0.019483796206264947,f_polvo,F_c_sn_ratio,0.01708943722120674,0.0717756363290683,1.0,1.0,1.0,True,True,True
T_media_F,f_polvo,0.15941370564072638,0.005733191565916405,0.04986921103776187,0.25333449909108674,299,0.008126892985202357,0.026758905261636726,0.0009357886504210728,0.015317997319983642,0.051713161279798414,0.19604454685099848,0.12358950509836089,-0.07716572349237999,0.3944170136676346,63,0.13435491188565618,0.010495920583368892,0.031416779721840704,0.2194091964637153,362,0.00943420349734428,0.004486257240524427,0.0029274699358097156,0.015940937058878845,0.043391503181001156,2,0.005852016302294399,f_polvo,T_media_F,0.026758905261636726,0.09365616841572855,1.0,1.0,1.0,True,True,True
