exposicion,quintil,mediana_x,n,media_kpi_res,ci_lo,ci_hi
x_R_gn,1,-0.7973773553257513,60,1.0501953840628042,-0.004594957265262238,1.9542083424444838
x_R_gn,2,-0.23286367745878106,59,0.21221079817006455,-0.9260241521695821,1.2722334814678926
x_R_gn,3,0.07308675773456115,60,-0.01422965563710091,-1.2084327925254805,1.3186032035859987
x_R_gn,4,0.306991703353655,59,-0.3153181386249761,-1.3738924072500345,0.747668050094572
x_R_gn,5,0.693394757637781,60,-0.9345768436436398,-2.1649645102694977,0.20653392031141674
x_R_carbon,1,-0.4507002196737696,60,-0.5436743469330007,-1.7044160037158478,0.5467373821445439
x_R_carbon,2,-0.18086615959905533,59,-0.37250534622185993,-1.490890166240742,0.6079350719912007
x_R_carbon,3,-0.015895156788400883,60,-0.19257223814521146,-1.275391185875171,0.8545593571022992
x_R_carbon,4,0.1520006030122022,59,0.47283130659988987,-0.5939937637351799,1.6251912324849749
x_R_carbon,5,0.4363503901004515,60,0.6375927240412166,-0.6176452335897844,1.8488175146193437
x_F_carbon,1,-0.5903953532034807,60,0.09372446611385285,-0.988226114588515,1.1736886069522796
x_F_carbon,2,-0.23529527096864236,59,0.8840898031914859,-0.08108297341186055,1.8922646492933757
x_F_carbon,3,-0.03233774907597202,60,-0.4057253729521591,-1.6188124711982488,0.8673261220852165
x_F_carbon,4,0.21466175175396487,59,-0.8309542790659304,-1.9577883927047022,0.240172622458583
x_F_carbon,5,0.6535652811296765,60,0.25975097478291065,-1.0313630434400367,1.5002956941686292
x_F_exo2,1,-0.24853469184772675,60,0.35004826255618454,-0.7793013318576171,1.452060299279515
x_F_exo2,2,-0.0825929443851808,59,-0.3577240983985042,-1.5003255456920364,0.7670467679240907
x_F_exo2,3,-0.03570332966337597,60,0.06504463329099615,-1.0818298796830326,1.1756371987461833
x_F_exo2,4,0.05693096369209034,59,0.5665746620533956,-0.5101348740859171,1.6947539493462827
x_F_exo2,5,0.39061083314346956,60,-0.6204626167730899,-1.7364282533720794,0.5249728289428733
