exposicion,coef,ci_lo,ci_hi,p,n,tercio
x_F_carbon,-1.1142836586613427,-2.5245795754820906,0.2960122581594049,0.1214827528510931,100,T1
x_F_gn,-0.23338055485649822,-1.4887489857050251,1.0219878759920287,0.7155823964336474,100,T1
x_F_exo2,-2.0823329602324545,-4.717650978944382,0.5529850584794729,0.12145562525294878,100,T1
x_R_carbon,-0.30250261779750964,-2.3058765575414144,1.7008713219463951,0.7672698980244318,100,T1
x_R_gn,-0.3060388031772572,-1.7352089820981302,1.1231313757436159,0.6747034452106955,100,T1
x_R_exo2,0.05642005070469058,-1.0882004301335446,1.2010405315429258,0.9230364736891601,100,T1
x_F_carbon,-0.6479760366099026,-2.7155843113316833,1.4196322381118782,0.539056109306988,99,T2
x_F_gn,-1.4657324968656549,-3.2665868985134043,0.33512190478209436,0.11066007541301599,99,T2
x_F_exo2,-0.08291652370550873,-2.058543365419566,1.8927103180085485,0.9344406316381517,99,T2
x_R_carbon,0.9498704985014559,-2.4323432861714176,4.332084283174329,0.5820163601867843,99,T2
x_R_gn,-2.7722790949000014,-4.817786396103578,-0.726771793696424,0.00789934319400315,99,T2
x_R_exo2,-0.14422131131922572,-3.5513497505758442,3.2629071279373925,0.9338802645821088,99,T2
x_F_carbon,-0.4223321841399732,-3.9148098587431024,3.0701454904631564,0.812648202335001,99,T3
x_F_gn,1.80860913130013,-5.690704006078416,9.307922268678677,0.6364383170994736,99,T3
x_F_exo2,-1.3192419353802545,-5.3313354757280695,2.692851604967561,0.5192718756790238,99,T3
x_R_carbon,3.424280153216202,-0.3358593110849166,7.184419617517321,0.07427784744649943,99,T3
x_R_gn,-1.7196673976126018,-3.842005276045246,0.40267048082004253,0.112263581322121,99,T3
x_R_exo2,-1.161650584828331,-3.3894294128016376,1.0661282431449757,0.3067801893975737,99,T3
x_F_carbon,-0.537594370707566,-1.6080600774838003,0.5328713360686682,0.3249651781445141,298,DEV_completo
x_F_gn,-0.12079066327928115,-1.3762418737822684,1.134660547223706,0.8504267788982862,298,DEV_completo
x_F_exo2,-0.9135041861597714,-1.9989812709331214,0.17197289861357878,0.09905639754104242,298,DEV_completo
x_R_carbon,1.09000640820017,-0.38164741485922904,2.5616602312595687,0.14659005827901184,298,DEV_completo
x_R_gn,-1.504826855829121,-2.4270042382195562,-0.5826494734386855,0.0013823699732127656,298,DEV_completo
x_R_exo2,-0.5063192015373192,-1.702503456278809,0.6898650532041706,0.4067588576257499,298,DEV_completo
