exposicion,coef,ci_lo,ci_hi,p,n,variante,n_estado_R,n_estado_F
x_F_carbon,-0.537594370707566,-1.6080600774838003,0.5328713360686682,0.3249651781445141,298,a_libreria,17,16
x_F_gn,-0.12079066327928115,-1.3762418737822684,1.134660547223706,0.8504267788982862,298,a_libreria,17,16
x_F_exo2,-0.9135041861597714,-1.9989812709331214,0.17197289861357878,0.09905639754104242,298,a_libreria,17,16
x_R_carbon,1.09000640820017,-0.38164741485922904,2.5616602312595687,0.14659005827901184,298,a_libreria,17,16
x_R_gn,-1.504826855829121,-2.4270042382195562,-0.5826494734386855,0.0013823699732127656,298,a_libreria,17,16
x_R_exo2,-0.5063192015373192,-1.702503456278809,0.6898650532041706,0.4067588576257499,298,a_libreria,17,16
x_F_carbon,-0.6972485327549554,-1.9450344511326099,0.5505373856226992,0.2734266125227798,298,b_pobre,4,4
x_F_gn,0.11066364658637062,-1.1194904504737422,1.3408177436464834,0.8600451104012234,298,b_pobre,4,4
x_F_exo2,-0.31990781363747617,-1.28388937042091,0.6440737431459578,0.5154109744628774,298,b_pobre,4,4
x_R_carbon,1.252723851834565,-0.08450964467717692,2.5899573483463065,0.06634295575562071,298,b_pobre,4,4
x_R_gn,-1.4522533275075127,-2.384438575388845,-0.5200680796261804,0.0022624002785225313,298,b_pobre,4,4
x_R_exo2,-0.5372080117863027,-1.608997396034126,0.5345813724615205,0.3259108836099134,298,b_pobre,4,4
x_F_carbon,-0.6005490095118762,-1.7280118609018904,0.5269138418781381,0.29649227844389836,298,c_rico,22,21
x_F_gn,-0.1308854300006911,-1.483190069879744,1.2214192098783616,0.8495450676187075,298,c_rico,22,21
x_F_exo2,-0.9364723867252968,-2.047381188896014,0.17443641544542066,0.098492203809272,298,c_rico,22,21
x_R_carbon,0.8499231709815012,-0.686579049362517,2.3864253913255196,0.2782925486464095,298,c_rico,22,21
x_R_gn,-1.3345467363481938,-2.2758501262841886,-0.3932433464121987,0.005456551667594977,298,c_rico,22,21
x_R_exo2,-0.3128711384885516,-1.5917382434596625,0.9659959664825593,0.6315833094607968,298,c_rico,22,21
